evals.q.250.	_.mmIOneMax.100.2.cabea.e.11.best.fitness	_.mmIOneMax.100.2.cabea.e.11.best.fitness.min	_.mmIOneMax.100.2.cabea.e.11.best.fitness.max	_.mmIOneMax.100.2.cabea.cc.11.best.fitness	_.mmIOneMax.100.2.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.2.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.2.cabea.s.11.best.fitness	_.mmIOneMax.100.2.cabea.s.11.best.fitness.min	_.mmIOneMax.100.2.cabea.s.11.best.fitness.max	_.mmIOneMax.100.2.cabea.ttt.11.best.fitness	_.mmIOneMax.100.2.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.2.cabea.ttt.11.best.fitness.max	_.mmIOneMax.100.3.cabea.e.11.best.fitness	_.mmIOneMax.100.3.cabea.e.11.best.fitness.min	_.mmIOneMax.100.3.cabea.e.11.best.fitness.max	_.mmIOneMax.100.3.cabea.cc.11.best.fitness	_.mmIOneMax.100.3.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.3.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.3.cabea.s.11.best.fitness	_.mmIOneMax.100.3.cabea.s.11.best.fitness.min	_.mmIOneMax.100.3.cabea.s.11.best.fitness.max	_.mmIOneMax.100.3.cabea.ttt.11.best.fitness	_.mmIOneMax.100.3.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.3.cabea.ttt.11.best.fitness.max	_.mmIOneMax.100.5.cabea.e.11.best.fitness	_.mmIOneMax.100.5.cabea.e.11.best.fitness.min	_.mmIOneMax.100.5.cabea.e.11.best.fitness.max	_.mmIOneMax.100.5.cabea.cc.11.best.fitness	_.mmIOneMax.100.5.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.5.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.5.cabea.s.11.best.fitness	_.mmIOneMax.100.5.cabea.s.11.best.fitness.min	_.mmIOneMax.100.5.cabea.s.11.best.fitness.max	_.mmIOneMax.100.5.cabea.ttt.11.best.fitness	_.mmIOneMax.100.5.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.5.cabea.ttt.11.best.fitness.max	_.mmIOneMax.100.8.cabea.e.11.best.fitness	_.mmIOneMax.100.8.cabea.e.11.best.fitness.min	_.mmIOneMax.100.8.cabea.e.11.best.fitness.max	_.mmIOneMax.100.8.cabea.cc.11.best.fitness	_.mmIOneMax.100.8.cabea.cc.11.best.fitness.min	_.mmIOneMax.100.8.cabea.cc.11.best.fitness.max	_.mmIOneMax.100.8.cabea.s.11.best.fitness	_.mmIOneMax.100.8.cabea.s.11.best.fitness.min	_.mmIOneMax.100.8.cabea.s.11.best.fitness.max	_.mmIOneMax.100.8.cabea.ttt.11.best.fitness	_.mmIOneMax.100.8.cabea.ttt.11.best.fitness.min	_.mmIOneMax.100.8.cabea.ttt.11.best.fitness.max
2.500e+03	7.300e-01	7.200e-01	7.400e-01	7.000e-01	6.800e-01	7.100e-01	7.200e-01	7.100e-01	7.300e-01	7.200e-01	7.000e-01	7.300e-01	7.400e-01	7.200e-01	7.500e-01	6.900e-01	6.800e-01	7.000e-01	7.200e-01	7.100e-01	7.300e-01	7.100e-01	7.000e-01	7.200e-01	7.300e-01	7.200e-01	7.400e-01	6.800e-01	6.700e-01	6.900e-01	7.100e-01	7.000e-01	7.200e-01	7.000e-01	6.900e-01	7.100e-01	7.300e-01	7.200e-01	7.300e-01	6.700e-01	6.600e-01	6.800e-01	7.000e-01	6.900e-01	7.100e-01	7.000e-01	6.800e-01	7.100e-01
2.750e+03	7.300e-01	7.200e-01	7.400e-01	6.900e-01	6.700e-01	6.900e-01	7.100e-01	7.000e-01	7.200e-01	7.000e-01	6.800e-01	7.200e-01	7.300e-01	7.100e-01	7.400e-01	6.900e-01	6.700e-01	6.900e-01	7.100e-01	7.000e-01	7.200e-01	7.000e-01	6.800e-01	7.100e-01	7.200e-01	7.100e-01	7.300e-01	6.700e-01	6.600e-01	6.800e-01	7.000e-01	6.900e-01	7.100e-01	6.900e-01	6.800e-01	7.000e-01	7.100e-01	7.000e-01	7.200e-01	6.600e-01	6.500e-01	6.700e-01	6.900e-01	6.900e-01	7.000e-01	6.900e-01	6.800e-01	7.000e-01
3.000e+03	7.200e-01	7.100e-01	7.300e-01	6.700e-01	6.600e-01	6.800e-01	7.000e-01	6.800e-01	7.100e-01	7.000e-01	6.800e-01	7.000e-01	7.200e-01	7.100e-01	7.300e-01	6.700e-01	6.500e-01	6.800e-01	7.000e-01	6.900e-01	7.100e-01	6.900e-01	6.800e-01	7.000e-01	7.100e-01	7.000e-01	7.200e-01	6.600e-01	6.400e-01	6.700e-01	6.900e-01	6.800e-01	7.000e-01	6.800e-01	6.700e-01	6.900e-01	7.000e-01	6.800e-01	7.100e-01	6.500e-01	6.300e-01	6.600e-01	6.900e-01	6.800e-01	6.900e-01	6.800e-01	6.600e-01	6.900e-01
3.250e+03	7.200e-01	7.100e-01	7.300e-01	6.500e-01	6.400e-01	6.700e-01	6.800e-01	6.600e-01	7.000e-01	6.900e-01	6.800e-01	7.000e-01	7.100e-01	7.000e-01	7.200e-01	6.600e-01	6.400e-01	6.700e-01	6.900e-01	6.800e-01	7.000e-01	6.800e-01	6.700e-01	6.900e-01	7.100e-01	7.000e-01	7.100e-01	6.400e-01	6.300e-01	6.600e-01	6.800e-01	6.700e-01	6.900e-01	6.700e-01	6.600e-01	6.900e-01	6.900e-01	6.700e-01	7.100e-01	6.400e-01	6.200e-01	6.500e-01	6.800e-01	6.600e-01	6.800e-01	6.600e-01	6.500e-01	6.800e-01
3.500e+03	7.100e-01	7.000e-01	7.200e-01	6.500e-01	6.300e-01	6.600e-01	6.800e-01	6.600e-01	6.900e-01	6.800e-01	6.600e-01	6.900e-01	7.100e-01	6.900e-01	7.200e-01	6.400e-01	6.300e-01	6.600e-01	6.800e-01	6.700e-01	6.900e-01	6.800e-01	6.600e-01	6.900e-01	7.000e-01	6.900e-01	7.100e-01	6.400e-01	6.200e-01	6.500e-01	6.800e-01	6.600e-01	6.900e-01	6.700e-01	6.500e-01	6.700e-01	6.800e-01	6.700e-01	7.000e-01	6.300e-01	6.100e-01	6.400e-01	6.600e-01	6.500e-01	6.800e-01	6.600e-01	6.500e-01	6.700e-01
3.750e+03	7.000e-01	6.900e-01	7.100e-01	6.300e-01	6.200e-01	6.500e-01	6.600e-01	6.400e-01	6.800e-01	6.700e-01	6.600e-01	6.800e-01	7.000e-01	6.800e-01	7.100e-01	6.300e-01	6.100e-01	6.500e-01	6.700e-01	6.500e-01	6.800e-01	6.600e-01	6.500e-01	6.800e-01	6.900e-01	6.700e-01	7.000e-01	6.300e-01	6.100e-01	6.400e-01	6.700e-01	6.500e-01	6.800e-01	6.500e-01	6.400e-01	6.600e-01	6.700e-01	6.600e-01	6.900e-01	6.100e-01	5.900e-01	6.300e-01	6.500e-01	6.400e-01	6.600e-01	6.500e-01	6.400e-01	6.600e-01
4.000e+03	6.900e-01	6.800e-01	7.100e-01	6.200e-01	6.000e-01	6.400e-01	6.500e-01	6.400e-01	6.700e-01	6.600e-01	6.400e-01	6.700e-01	6.800e-01	6.700e-01	7.000e-01	6.200e-01	6.100e-01	6.400e-01	6.600e-01	6.400e-01	6.800e-01	6.600e-01	6.400e-01	6.600e-01	6.800e-01	6.600e-01	6.900e-01	6.100e-01	6.000e-01	6.300e-01	6.500e-01	6.400e-01	6.700e-01	6.400e-01	6.300e-01	6.600e-01	6.600e-01	6.600e-01	6.700e-01	5.900e-01	5.700e-01	6.100e-01	6.400e-01	6.300e-01	6.500e-01	6.400e-01	6.300e-01	6.500e-01
4.250e+03	6.800e-01	6.700e-01	7.000e-01	6.100e-01	5.900e-01	6.200e-01	6.400e-01	6.200e-01	6.600e-01	6.500e-01	6.300e-01	6.600e-01	6.800e-01	6.700e-01	6.900e-01	6.100e-01	5.900e-01	6.300e-01	6.600e-01	6.400e-01	6.600e-01	6.400e-01	6.400e-01	6.500e-01	6.700e-01	6.500e-01	6.800e-01	6.000e-01	5.800e-01	6.200e-01	6.400e-01	6.400e-01	6.500e-01	6.300e-01	6.200e-01	6.400e-01	6.600e-01	6.500e-01	6.700e-01	5.900e-01	5.700e-01	6.000e-01	6.300e-01	6.100e-01	6.400e-01	6.300e-01	6.200e-01	6.400e-01
4.500e+03	6.800e-01	6.700e-01	7.000e-01	6.000e-01	5.800e-01	6.100e-01	6.300e-01	6.000e-01	6.600e-01	6.300e-01	6.200e-01	6.500e-01	6.700e-01	6.500e-01	6.800e-01	6.000e-01	5.900e-01	6.200e-01	6.400e-01	6.400e-01	6.600e-01	6.400e-01	6.200e-01	6.500e-01	6.600e-01	6.400e-01	6.700e-01	5.900e-01	5.700e-01	6.100e-01	6.400e-01	6.200e-01	6.500e-01	6.200e-01	6.100e-01	6.300e-01	6.500e-01	6.500e-01	6.600e-01	5.800e-01	5.600e-01	5.900e-01	6.200e-01	6.100e-01	6.300e-01	6.200e-01	6.100e-01	6.300e-01
4.750e+03	6.700e-01	6.600e-01	6.800e-01	5.800e-01	5.700e-01	6.100e-01	6.200e-01	6.000e-01	6.500e-01	6.300e-01	6.000e-01	6.400e-01	6.700e-01	6.400e-01	6.800e-01	5.900e-01	5.700e-01	6.000e-01	6.400e-01	6.300e-01	6.400e-01	6.200e-01	6.100e-01	6.400e-01	6.500e-01	6.400e-01	6.600e-01	5.800e-01	5.600e-01	6.000e-01	6.300e-01	6.200e-01	6.400e-01	6.100e-01	6.000e-01	6.200e-01	6.500e-01	6.400e-01	6.600e-01	5.600e-01	5.400e-01	5.700e-01	6.100e-01	6.000e-01	6.200e-01	6.100e-01	5.900e-01	6.200e-01
