_.mt2mo.mmIOneMax.25.2.nsga2	_.mt2mo.mmIOneMax.25.2.cabea.cc.11	_.mt2mo.mmIOneMax.25.2.cabea.e.21	_.mt2mo.mmIOneMax.25.2.cabea.e.11	_.mt2mo.mmIOneMax.25.2.cabea.cc.21	_.mt2mo.mmIOneMax.25.2.ga	_.mt2mo.mmIOneMax.25.2.ga.33	_.mt2mo.mmIOneMax.25.2.me.2	_.mt2mo.mmIOneMax.100.2.nsga2	_.mt2mo.mmIOneMax.100.2.cabea.cc.11	_.mt2mo.mmIOneMax.100.2.cabea.e.21	_.mt2mo.mmIOneMax.100.2.cabea.e.11	_.mt2mo.mmIOneMax.100.2.cabea.cc.21	_.mt2mo.mmIOneMax.100.2.ga	_.mt2mo.mmIOneMax.100.2.ga.33	_.mt2mo.mmIOneMax.100.2.me.2	_.mt2mo.mmIOneMax.250.2.nsga2	_.mt2mo.mmIOneMax.250.2.cabea.cc.11	_.mt2mo.mmIOneMax.250.2.cabea.e.21	_.mt2mo.mmIOneMax.250.2.cabea.e.11	_.mt2mo.mmIOneMax.250.2.cabea.cc.21	_.mt2mo.mmIOneMax.250.2.ga	_.mt2mo.mmIOneMax.250.2.ga.33	_.mt2mo.mmIOneMax.250.2.me.2
4.744e-01	3.248e-01	3.464e-01	3.456e-01	3.464e-01	2.616e-01	2.608e-01	2.632e-01	3.800e-01	2.878e-01	1.745e-01	2.778e-01	2.119e-01	2.550e-01	2.800e-01	2.324e-01	2.860e-01	2.495e-01	1.343e-01	2.469e-01	1.458e-01	2.420e-01	2.440e-01	2.277e-01
4.968e-01	3.672e-01	3.592e-01	3.672e-01	3.664e-01	2.616e-01	2.616e-01	2.752e-01	3.700e-01	2.700e-01	1.988e-01	2.876e-01	2.322e-01	2.650e-01	2.550e-01	2.493e-01	3.112e-01	2.554e-01	1.303e-01	2.529e-01	1.483e-01	2.620e-01	2.540e-01	2.231e-01
4.752e-01	3.256e-01	3.304e-01	3.472e-01	3.808e-01	2.808e-01	2.808e-01	2.560e-01	3.600e-01	3.100e-01	1.780e-01	2.878e-01	2.057e-01	2.550e-01	2.450e-01	2.309e-01	3.120e-01	2.663e-01	1.423e-01	2.485e-01	1.551e-01	2.480e-01	2.520e-01	1.960e-01
4.960e-01	3.472e-01	3.592e-01	3.680e-01	3.856e-01	2.816e-01	2.616e-01	3.152e-01	3.700e-01	2.777e-01	1.867e-01	2.774e-01	2.118e-01	2.550e-01	2.350e-01	2.182e-01	3.300e-01	2.573e-01	1.329e-01	2.412e-01	1.451e-01	2.600e-01	2.580e-01	2.218e-01
4.984e-01	3.248e-01	3.992e-01	3.472e-01	3.536e-01	2.816e-01	2.816e-01	3.192e-01	3.850e-01	2.850e-01	1.945e-01	2.956e-01	2.072e-01	2.600e-01	2.400e-01	2.152e-01	3.233e-01	2.532e-01	1.362e-01	2.314e-01	1.445e-01	2.460e-01	2.500e-01	2.192e-01
4.968e-01	3.456e-01	3.216e-01	3.664e-01	4.096e-01	2.608e-01	3.016e-01	3.328e-01	3.500e-01	2.927e-01	2.001e-01	2.828e-01	1.991e-01	2.800e-01	2.550e-01	2.484e-01	3.140e-01	2.496e-01	1.186e-01	2.281e-01	1.508e-01	2.540e-01	2.560e-01	1.998e-01
4.568e-01	3.672e-01	3.584e-01	3.672e-01	3.464e-01	2.816e-01	2.808e-01	3.056e-01	3.534e-01	2.850e-01	2.001e-01	3.000e-01	2.174e-01	2.550e-01	2.700e-01	2.248e-01	2.880e-01	2.610e-01	1.451e-01	2.463e-01	1.493e-01	2.500e-01	2.520e-01	2.057e-01
5.184e-01	3.264e-01	3.648e-01	3.672e-01	4.080e-01	2.808e-01	2.608e-01	3.152e-01	3.750e-01	2.850e-01	1.894e-01	2.711e-01	2.059e-01	2.450e-01	2.750e-01	2.286e-01	2.760e-01	2.596e-01	1.311e-01	2.448e-01	1.519e-01	2.520e-01	2.520e-01	2.103e-01
4.968e-01	3.464e-01	4.104e-01	3.680e-01	3.672e-01	3.032e-01	2.608e-01	2.736e-01	3.700e-01	2.850e-01	2.001e-01	2.858e-01	2.280e-01	2.600e-01	2.550e-01	2.554e-01	3.105e-01	2.553e-01	1.497e-01	2.367e-01	1.635e-01	2.420e-01	2.660e-01	2.292e-01
4.552e-01	3.256e-01	3.464e-01	3.680e-01	3.816e-01	2.616e-01	2.808e-01	3.040e-01	3.600e-01	2.800e-01	1.902e-01	2.928e-01	2.265e-01	2.500e-01	2.450e-01	2.472e-01	3.140e-01	2.653e-01	1.337e-01	2.479e-01	1.579e-01	2.420e-01	2.600e-01	2.237e-01
5.184e-01	3.472e-01	3.520e-01	3.464e-01	4.288e-01	2.608e-01	2.616e-01	3.040e-01	3.600e-01	2.800e-01	1.984e-01	2.737e-01	2.068e-01	2.450e-01	2.700e-01	2.321e-01	3.020e-01	2.587e-01	1.302e-01	2.438e-01	1.481e-01	2.560e-01	2.540e-01	2.135e-01
4.976e-01	3.464e-01	3.704e-01	3.472e-01	3.696e-01	2.808e-01	2.808e-01	3.448e-01	3.700e-01	2.750e-01	1.644e-01	2.855e-01	2.043e-01	2.600e-01	2.500e-01	2.255e-01	3.020e-01	2.592e-01	1.334e-01	2.387e-01	1.540e-01	2.540e-01	2.420e-01	2.156e-01
4.976e-01	3.472e-01	3.752e-01	3.672e-01	3.472e-01	2.816e-01	3.016e-01	3.560e-01	3.650e-01	2.750e-01	1.939e-01	3.072e-01	2.214e-01	2.550e-01	2.650e-01	2.180e-01	3.132e-01	2.472e-01	1.238e-01	2.476e-01	1.428e-01	2.480e-01	2.700e-01	2.220e-01
4.976e-01	3.456e-01	2.968e-01	3.464e-01	4.088e-01	2.616e-01	2.816e-01	3.432e-01	3.600e-01	2.850e-01	1.859e-01	2.880e-01	2.069e-01	2.550e-01	2.450e-01	2.451e-01	3.100e-01	2.561e-01	1.308e-01	2.444e-01	1.277e-01	2.600e-01	2.500e-01	2.190e-01
4.968e-01	3.456e-01	3.584e-01	3.680e-01	3.464e-01	2.608e-01	2.816e-01	3.208e-01	3.600e-01	2.700e-01	1.966e-01	2.854e-01	2.167e-01	2.600e-01	2.350e-01	2.398e-01	3.052e-01	2.529e-01	1.374e-01	2.409e-01	1.321e-01	2.480e-01	2.540e-01	2.191e-01
