x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	4.017e+00	5.143e+00	2.690e+00	3.895e+00	2.555e+00	3.547e+00	2.555e+00	3.547e+00	2.286e+00	3.522e+00	2.286e+00	3.522e+00
0	1	4.835e+00	5.730e+00	2.730e+00	3.381e+00	2.710e+00	3.236e+00	2.710e+00	3.236e+00	2.635e+00	3.165e+00	2.635e+00	3.165e+00
0	2	4.251e+00	4.985e+00	2.641e+00	3.261e+00	2.641e+00	3.261e+00	2.641e+00	3.261e+00	2.641e+00	3.261e+00	2.641e+00	3.261e+00
0	3	4.128e+00	5.013e+00	2.837e+00	3.686e+00	2.744e+00	3.435e+00	2.721e+00	3.261e+00	2.721e+00	3.261e+00	2.721e+00	3.261e+00
0	4	4.129e+00	5.007e+00	3.468e+00	3.787e+00	3.055e+00	2.972e+00	3.055e+00	2.972e+00	3.055e+00	2.972e+00	3.031e+00	2.775e+00
0	5	5.099e+00	5.653e+00	3.192e+00	3.772e+00	2.497e+00	3.252e+00	2.497e+00	3.252e+00	2.497e+00	3.252e+00	2.497e+00	3.252e+00
0	6	4.217e+00	4.659e+00	3.030e+00	3.697e+00	2.785e+00	3.655e+00	2.733e+00	3.503e+00	2.565e+00	3.431e+00	2.475e+00	3.383e+00
0	7	4.586e+00	4.755e+00	3.129e+00	3.771e+00	2.870e+00	3.626e+00	2.753e+00	3.423e+00	2.579e+00	3.292e+00	2.540e+00	3.268e+00
0	8	4.317e+00	5.600e+00	2.192e+00	4.119e+00	2.192e+00	4.119e+00	2.133e+00	4.025e+00	2.058e+00	3.848e+00	2.058e+00	3.848e+00
0	9	4.265e+00	5.355e+00	3.099e+00	3.683e+00	3.022e+00	3.613e+00	2.624e+00	3.553e+00	2.525e+00	3.473e+00	2.428e+00	3.403e+00
0	10	4.683e+00	5.063e+00	3.385e+00	3.636e+00	2.777e+00	3.448e+00	2.777e+00	3.448e+00	2.525e+00	3.306e+00	2.525e+00	3.306e+00
1	0	4.060e+00	5.142e+00	2.453e+00	3.753e+00	2.453e+00	3.753e+00	2.446e+00	3.728e+00	2.446e+00	3.728e+00	2.342e+00	3.505e+00
1	1	3.373e+00	3.873e+00	3.276e+00	3.488e+00	3.252e+00	3.283e+00	2.960e+00	2.924e+00	2.960e+00	2.924e+00	2.960e+00	2.924e+00
1	2	4.324e+00	5.718e+00	3.205e+00	3.141e+00	3.144e+00	3.085e+00	3.144e+00	3.085e+00	2.966e+00	2.897e+00	2.933e+00	2.884e+00
1	3	4.750e+00	5.915e+00	3.144e+00	3.442e+00	3.029e+00	3.175e+00	2.860e+00	3.098e+00	2.860e+00	3.098e+00	2.820e+00	3.038e+00
