x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	6.162e+00	6.016e+00	4.476e+00	3.046e+00	3.975e+00	2.945e+00	3.935e+00	2.715e+00	3.586e+00	2.623e+00	3.586e+00	2.623e+00
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	7.660e+00	6.732e+00	5.018e+00	3.368e+00	3.700e+00	2.413e+00	3.700e+00	2.413e+00	3.659e+00	2.316e+00	3.658e+00	2.298e+00
1	2	6.918e+00	5.269e+00	4.428e+00	2.571e+00	4.185e+00	2.491e+00	3.922e+00	2.353e+00	3.431e+00	2.158e+00	3.431e+00	2.158e+00
1	3	6.462e+00	6.314e+00	5.082e+00	3.055e+00	4.110e+00	2.060e+00	4.110e+00	2.060e+00	4.110e+00	2.060e+00	4.110e+00	2.060e+00
1	4	5.895e+00	4.894e+00	4.736e+00	4.060e+00	3.757e+00	2.656e+00	3.757e+00	2.656e+00	3.757e+00	2.656e+00	3.687e+00	2.237e+00
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	5.992e+00	6.411e+00	4.323e+00	3.286e+00	3.421e+00	2.979e+00	3.421e+00	2.979e+00	3.388e+00	2.884e+00	3.325e+00	2.775e+00
1	7	7.301e+00	6.044e+00	4.459e+00	3.990e+00	3.905e+00	3.047e+00	3.686e+00	2.717e+00	3.545e+00	2.644e+00	3.545e+00	2.644e+00
1	8	5.887e+00	5.927e+00	3.396e+00	4.609e+00	2.424e+00	4.089e+00	2.424e+00	4.089e+00	2.327e+00	3.770e+00	2.327e+00	3.770e+00
1	9	7.015e+00	6.778e+00	3.268e+00	3.671e+00	3.179e+00	3.358e+00	3.179e+00	3.358e+00	2.917e+00	3.261e+00	2.879e+00	3.064e+00
1	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	7.523e+00	6.682e+00	4.113e+00	3.932e+00	3.711e+00	2.381e+00	3.711e+00	2.381e+00	3.711e+00	2.381e+00	3.613e+00	2.249e+00
2	2	7.336e+00	6.261e+00	4.759e+00	2.932e+00	3.804e+00	2.463e+00	3.804e+00	2.463e+00	3.708e+00	2.279e+00	3.649e+00	2.014e+00
2	3	6.586e+00	6.269e+00	5.137e+00	3.935e+00	3.835e+00	2.852e+00	3.772e+00	2.721e+00	3.599e+00	2.501e+00	3.504e+00	2.345e+00
2	4	6.861e+00	5.132e+00	5.173e+00	2.986e+00	4.128e+00	2.604e+00	3.968e+00	2.457e+00	3.968e+00	2.457e+00	3.728e+00	2.345e+00
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	6.772e+00	6.355e+00	3.976e+00	3.915e+00	3.439e+00	3.050e+00	3.439e+00	3.050e+00	3.395e+00	2.722e+00	3.249e+00	2.347e+00
2	7	5.716e+00	5.731e+00	4.644e+00	3.808e+00	3.485e+00	2.920e+00	3.482e+00	2.681e+00	3.470e+00	2.438e+00	3.470e+00	2.438e+00
2	8	5.703e+00	5.090e+00	4.196e+00	3.952e+00	3.145e+00	3.302e+00	3.035e+00	3.084e+00	3.035e+00	3.084e+00	3.014e+00	2.874e+00
2	9	7.161e+00	6.226e+00	3.238e+00	3.673e+00	2.826e+00	3.622e+00	2.826e+00	3.622e+00	2.498e+00	3.470e+00	2.271e+00	3.233e+00
2	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	5.944e+00	6.291e+00	4.307e+00	4.208e+00	3.485e+00	2.991e+00	3.485e+00	2.991e+00	3.420e+00	2.949e+00	3.049e+00	2.488e+00
3	2	7.436e+00	5.950e+00	4.240e+00	3.803e+00	3.996e+00	2.759e+00	3.996e+00	2.759e+00	3.209e+00	2.693e+00	3.108e+00	2.586e+00
3	3	6.023e+00	5.184e+00	4.003e+00	3.050e+00	3.563e+00	2.606e+00	3.454e+00	2.517e+00	3.454e+00	2.517e+00	3.400e+00	2.209e+00
3	4	6.285e+00	6.045e+00	4.206e+00	3.741e+00	3.951e+00	3.381e+00	3.204e+00	2.927e+00	3.204e+00	2.927e+00	2.905e+00	2.840e+00
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	6.729e+00	6.309e+00	5.004e+00	3.359e+00	4.471e+00	2.492e+00	3.922e+00	2.089e+00	3.922e+00	2.089e+00	3.761e+00	2.054e+00
3	7	7.707e+00	7.123e+00	4.490e+00	3.060e+00	3.262e+00	2.588e+00	3.262e+00	2.588e+00	3.242e+00	2.562e+00	3.242e+00	2.562e+00
3	8	6.072e+00	4.936e+00	4.113e+00	3.513e+00	3.897e+00	3.024e+00	3.633e+00	2.842e+00	3.281e+00	2.762e+00	3.066e+00	2.686e+00
3	9	6.227e+00	5.862e+00	3.549e+00	3.497e+00	3.108e+00	3.458e+00	2.844e+00	3.274e+00	2.844e+00	3.274e+00	2.806e+00	3.254e+00
3	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	6.776e+00	5.254e+00	3.928e+00	3.736e+00	3.052e+00	3.165e+00	3.052e+00	3.165e+00	3.052e+00	3.165e+00	2.817e+00	2.788e+00
4	2	4.883e+00	4.739e+00	4.096e+00	3.519e+00	3.669e+00	3.192e+00	3.473e+00	2.744e+00	3.368e+00	2.607e+00	3.363e+00	2.563e+00
4	3	5.901e+00	5.202e+00	3.953e+00	3.913e+00	3.364e+00	2.622e+00	3.364e+00	2.622e+00	3.364e+00	2.622e+00	3.364e+00	2.622e+00
4	4	5.380e+00	5.158e+00	3.808e+00	3.280e+00	3.197e+00	3.006e+00	3.197e+00	3.006e+00	3.197e+00	3.006e+00	3.043e+00	2.792e+00
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	7.635e+00	6.552e+00	4.002e+00	3.660e+00	3.191e+00	3.107e+00	3.094e+00	2.471e+00	3.094e+00	2.471e+00	3.094e+00	2.471e+00
4	7	6.759e+00	5.021e+00	3.762e+00	3.293e+00	3.614e+00	3.131e+00	3.088e+00	3.073e+00	3.088e+00	3.073e+00	2.988e+00	2.780e+00
4	8	6.416e+00	6.079e+00	3.729e+00	3.280e+00	3.244e+00	2.956e+00	3.244e+00	2.956e+00	3.040e+00	2.823e+00	3.040e+00	2.823e+00
