x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	3.866e+00	4.751e+00	3.046e+00	3.449e+00	2.835e+00	3.277e+00	2.580e+00	3.241e+00	2.580e+00	3.241e+00	2.580e+00	3.241e+00
0	1	5.231e+00	5.522e+00	2.771e+00	3.495e+00	2.604e+00	3.385e+00	2.601e+00	3.321e+00	2.576e+00	3.256e+00	2.576e+00	3.256e+00
0	2	3.720e+00	5.178e+00	2.307e+00	4.217e+00	2.086e+00	4.009e+00	2.086e+00	4.009e+00	1.989e+00	3.878e+00	1.989e+00	3.878e+00
0	3	4.192e+00	5.252e+00	2.435e+00	3.689e+00	2.435e+00	3.689e+00	2.402e+00	3.663e+00	2.372e+00	3.520e+00	2.358e+00	3.475e+00
0	4	4.495e+00	5.650e+00	2.332e+00	4.494e+00	1.942e+00	4.182e+00	1.942e+00	4.182e+00	1.942e+00	4.182e+00	1.826e+00	4.038e+00
0	5	3.385e+00	5.111e+00	2.875e+00	4.218e+00	2.634e+00	3.304e+00	2.634e+00	3.304e+00	2.557e+00	3.247e+00	2.557e+00	3.247e+00
0	6	4.587e+00	5.464e+00	3.242e+00	3.660e+00	2.740e+00	3.352e+00	2.594e+00	3.243e+00	2.594e+00	3.243e+00	2.594e+00	3.243e+00
0	7	3.869e+00	5.210e+00	2.722e+00	3.606e+00	2.722e+00	3.606e+00	2.624e+00	3.504e+00	2.569e+00	3.490e+00	2.383e+00	3.377e+00
0	8	4.203e+00	4.150e+00	3.128e+00	3.129e+00	3.128e+00	3.129e+00	3.082e+00	2.983e+00	3.082e+00	2.983e+00	3.034e+00	2.811e+00
0	9	4.966e+00	5.172e+00	2.944e+00	3.784e+00	2.810e+00	3.425e+00	2.772e+00	3.271e+00	2.772e+00	3.271e+00	2.707e+00	3.116e+00
0	10	4.479e+00	5.037e+00	3.095e+00	3.456e+00	2.834e+00	3.311e+00	2.834e+00	3.311e+00	2.680e+00	3.279e+00	2.637e+00	3.129e+00
1	0	4.056e+00	4.643e+00	3.317e+00	3.273e+00	3.084e+00	3.261e+00	3.084e+00	3.261e+00	2.810e+00	3.212e+00	2.733e+00	3.114e+00
1	1	4.529e+00	5.210e+00	2.598e+00	3.851e+00	2.376e+00	3.554e+00	2.376e+00	3.554e+00	2.376e+00	3.554e+00	2.267e+00	3.551e+00
1	2	4.339e+00	5.612e+00	2.625e+00	4.272e+00	2.387e+00	3.744e+00	2.336e+00	3.683e+00	2.260e+00	3.540e+00	2.260e+00	3.540e+00
1	3	4.415e+00	5.516e+00	3.211e+00	3.351e+00	3.131e+00	2.959e+00	3.131e+00	2.959e+00	3.131e+00	2.959e+00	2.993e+00	2.939e+00
1	4	4.203e+00	5.265e+00	3.244e+00	3.520e+00	2.675e+00	3.412e+00	2.587e+00	3.382e+00	2.587e+00	3.382e+00	2.561e+00	3.329e+00
1	5	4.521e+00	6.018e+00	2.612e+00	3.862e+00	2.601e+00	3.510e+00	2.601e+00	3.510e+00	2.502e+00	3.390e+00	2.502e+00	3.390e+00
1	6	4.140e+00	5.478e+00	3.254e+00	3.812e+00	2.676e+00	3.521e+00	2.627e+00	3.295e+00	2.627e+00	3.295e+00	2.600e+00	3.206e+00
1	7	4.002e+00	6.016e+00	2.148e+00	5.192e+00	1.601e+00	4.637e+00	1.601e+00	4.637e+00	1.601e+00	4.637e+00	1.489e+00	4.469e+00
1	8	3.677e+00	4.922e+00	2.815e+00	3.744e+00	2.584e+00	3.516e+00	2.468e+00	3.508e+00	2.438e+00	3.490e+00	2.375e+00	3.426e+00
1	9	4.728e+00	5.902e+00	2.655e+00	3.446e+00	2.655e+00	3.446e+00	2.655e+00	3.446e+00	2.558e+00	3.351e+00	2.517e+00	3.318e+00
1	10	4.922e+00	5.290e+00	3.410e+00	3.795e+00	3.048e+00	2.932e+00	3.048e+00	2.932e+00	3.048e+00	2.932e+00	2.944e+00	2.869e+00
2	0	4.189e+00	4.799e+00	3.116e+00	4.158e+00	2.924e+00	3.274e+00	2.836e+00	2.930e+00	2.836e+00	2.930e+00	2.836e+00	2.930e+00
2	1	4.041e+00	5.714e+00	2.103e+00	4.059e+00	2.099e+00	4.002e+00	2.099e+00	4.002e+00	2.099e+00	4.002e+00	1.965e+00	3.811e+00
2	2	4.623e+00	5.511e+00	2.706e+00	4.314e+00	2.510e+00	3.760e+00	2.428e+00	3.738e+00	2.281e+00	3.732e+00	2.183e+00	3.692e+00
