x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	3.866e+00	4.751e+00	3.027e+00	3.431e+00	2.821e+00	3.131e+00	2.650e+00	3.101e+00	2.650e+00	3.101e+00	2.650e+00	3.101e+00
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	5.231e+00	5.522e+00	2.549e+00	3.842e+00	2.403e+00	3.800e+00	2.403e+00	3.800e+00	2.319e+00	3.643e+00	2.316e+00	3.473e+00
1	2	3.720e+00	5.178e+00	2.878e+00	3.003e+00	2.878e+00	3.003e+00	2.878e+00	3.003e+00	2.878e+00	3.003e+00	2.878e+00	3.003e+00
1	3	4.192e+00	5.252e+00	2.222e+00	4.087e+00	2.136e+00	3.914e+00	2.136e+00	3.914e+00	2.054e+00	3.762e+00	2.050e+00	3.650e+00
1	4	4.495e+00	5.650e+00	2.363e+00	3.915e+00	2.313e+00	3.753e+00	2.288e+00	3.563e+00	2.288e+00	3.563e+00	2.288e+00	3.563e+00
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	3.385e+00	5.111e+00	2.347e+00	4.101e+00	2.246e+00	3.867e+00	2.040e+00	3.849e+00	2.040e+00	3.849e+00	2.015e+00	3.814e+00
1	7	4.587e+00	5.464e+00	2.554e+00	3.725e+00	2.467e+00	3.446e+00	2.449e+00	3.366e+00	2.449e+00	3.366e+00	2.449e+00	3.366e+00
1	8	3.869e+00	5.210e+00	2.081e+00	4.143e+00	2.081e+00	4.143e+00	2.081e+00	4.143e+00	1.758e+00	4.073e+00	1.749e+00	3.958e+00
1	9	4.203e+00	4.150e+00	2.869e+00	3.236e+00	2.760e+00	3.012e+00	2.760e+00	3.012e+00	2.760e+00	3.012e+00	2.760e+00	3.012e+00
1	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	4.966e+00	5.172e+00	3.076e+00	3.024e+00	3.039e+00	2.987e+00	3.039e+00	2.987e+00	2.917e+00	2.929e+00	2.874e+00	2.915e+00
2	2	4.479e+00	5.037e+00	2.693e+00	3.533e+00	2.693e+00	3.533e+00	2.652e+00	3.507e+00	2.625e+00	3.307e+00	2.564e+00	3.301e+00
2	3	4.056e+00	4.643e+00	2.630e+00	4.028e+00	2.495e+00	3.533e+00	2.495e+00	3.533e+00	2.399e+00	3.434e+00	2.385e+00	3.432e+00
2	4	4.529e+00	5.210e+00	2.142e+00	3.918e+00	2.142e+00	3.918e+00	2.142e+00	3.918e+00	2.120e+00	3.803e+00	2.032e+00	3.780e+00
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	4.339e+00	5.612e+00	2.662e+00	3.800e+00	2.405e+00	3.576e+00	2.346e+00	3.570e+00	2.346e+00	3.570e+00	2.329e+00	3.555e+00
2	7	4.415e+00	5.516e+00	2.445e+00	3.925e+00	2.211e+00	3.907e+00	2.038e+00	3.758e+00	2.038e+00	3.758e+00	2.038e+00	3.758e+00
2	8	4.203e+00	5.265e+00	2.923e+00	2.934e+00	2.923e+00	2.934e+00	2.923e+00	2.934e+00	2.891e+00	2.934e+00	2.891e+00	2.934e+00
2	9	4.521e+00	6.018e+00	3.484e+00	2.612e+00	3.273e+00	2.572e+00	3.273e+00	2.572e+00	3.223e+00	2.567e+00	3.223e+00	2.567e+00
2	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	4.140e+00	5.478e+00	2.203e+00	4.159e+00	2.203e+00	4.159e+00	1.964e+00	4.023e+00	1.964e+00	4.023e+00	1.929e+00	3.889e+00
3	2	4.002e+00	6.016e+00	2.048e+00	3.905e+00	2.048e+00	3.905e+00	2.013e+00	3.885e+00	1.967e+00	3.855e+00	1.946e+00	3.795e+00
3	3	3.677e+00	4.922e+00	2.256e+00	3.925e+00	1.920e+00	3.891e+00	1.920e+00	3.891e+00	1.920e+00	3.891e+00	1.920e+00	3.891e+00
3	4	4.728e+00	5.902e+00	2.755e+00	3.173e+00	2.755e+00	3.173e+00	2.755e+00	3.173e+00	2.700e+00	3.088e+00	2.700e+00	3.088e+00
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	4.922e+00	5.290e+00	2.890e+00	3.284e+00	2.869e+00	3.211e+00	2.781e+00	3.180e+00	2.714e+00	3.167e+00	2.656e+00	3.126e+00
3	7	4.189e+00	4.799e+00	2.956e+00	3.094e+00	2.939e+00	2.993e+00	2.939e+00	2.993e+00	2.926e+00	2.987e+00	2.908e+00	2.918e+00
3	8	4.041e+00	5.714e+00	2.410e+00	3.946e+00	2.192e+00	3.853e+00	2.192e+00	3.853e+00	2.171e+00	3.635e+00	2.171e+00	3.635e+00
3	9	4.623e+00	5.511e+00	2.463e+00	4.369e+00	2.047e+00	3.896e+00	2.047e+00	3.896e+00	2.047e+00	3.896e+00	2.047e+00	3.896e+00
3	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	4.078e+00	5.323e+00	1.742e+00	4.480e+00	1.648e+00	4.382e+00	1.648e+00	4.382e+00	1.600e+00	4.344e+00	1.570e+00	4.268e+00
4	2	4.500e+00	4.529e+00	2.883e+00	3.438e+00	2.712e+00	3.362e+00	2.712e+00	3.362e+00	2.653e+00	3.223e+00	2.653e+00	3.223e+00
4	3	3.610e+00	5.071e+00	2.435e+00	4.154e+00	2.317e+00	3.630e+00	2.317e+00	3.630e+00	2.317e+00	3.630e+00	2.301e+00	3.602e+00
4	4	3.367e+00	5.533e+00	2.454e+00	3.640e+00	2.414e+00	3.483e+00	2.414e+00	3.483e+00	2.414e+00	3.483e+00	2.407e+00	3.434e+00
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	4.661e+00	5.000e+00	2.700e+00	3.261e+00	2.700e+00	3.261e+00	2.700e+00	3.261e+00	2.600e+00	3.250e+00	2.505e+00	3.214e+00
4	7	3.823e+00	6.124e+00	3.113e+00	2.914e+00	3.064e+00	2.864e+00	3.038e+00	2.819e+00	3.038e+00	2.733e+00	3.031e+00	2.690e+00
4	8	3.345e+00	5.241e+00	2.084e+00	3.977e+00	2.082e+00	3.857e+00	1.990e+00	3.807e+00	1.990e+00	3.807e+00	1.990e+00	3.807e+00
