x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	8.618e+00	1.010e+01	4.920e+00	6.752e+00	4.762e+00	6.542e+00	4.322e+00	5.574e+00	3.900e+00	5.109e+00	3.181e+00	5.003e+00
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	8.545e+00	9.843e+00	6.237e+00	7.528e+00	4.640e+00	5.765e+00	4.211e+00	5.591e+00	3.565e+00	5.146e+00	2.998e+00	5.032e+00
1	2	8.000e+00	9.328e+00	5.195e+00	6.814e+00	4.570e+00	6.458e+00	4.322e+00	5.914e+00	3.813e+00	5.568e+00	3.115e+00	4.852e+00
1	3	8.662e+00	1.017e+01	5.537e+00	7.592e+00	4.071e+00	6.373e+00	3.912e+00	5.811e+00	3.721e+00	5.176e+00	3.534e+00	4.899e+00
1	4	9.132e+00	1.035e+01	5.481e+00	7.230e+00	4.015e+00	5.932e+00	3.922e+00	5.926e+00	3.757e+00	5.500e+00	3.324e+00	5.191e+00
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	8.924e+00	1.011e+01	5.561e+00	6.709e+00	4.991e+00	5.761e+00	3.842e+00	5.080e+00	3.832e+00	4.816e+00	3.513e+00	4.767e+00
1	7	8.677e+00	9.715e+00	5.748e+00	7.653e+00	4.172e+00	5.542e+00	3.747e+00	5.266e+00	3.739e+00	4.669e+00	3.739e+00	4.669e+00
1	8	6.817e+00	8.333e+00	5.508e+00	6.975e+00	4.182e+00	5.552e+00	4.091e+00	4.849e+00	4.044e+00	4.615e+00	3.430e+00	4.300e+00
1	9	8.840e+00	1.005e+01	5.237e+00	6.473e+00	4.122e+00	5.774e+00	3.677e+00	5.188e+00	3.677e+00	5.188e+00	3.210e+00	4.067e+00
1	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	8.522e+00	1.081e+01	6.110e+00	7.451e+00	4.779e+00	5.776e+00	4.171e+00	5.367e+00	3.984e+00	5.306e+00	3.419e+00	4.815e+00
2	2	8.276e+00	9.772e+00	6.222e+00	6.958e+00	4.210e+00	6.637e+00	4.059e+00	6.613e+00	3.199e+00	5.833e+00	2.854e+00	5.416e+00
2	3	8.631e+00	1.049e+01	4.702e+00	6.732e+00	4.178e+00	6.374e+00	4.033e+00	6.132e+00	3.721e+00	6.016e+00	3.093e+00	5.080e+00
2	4	7.797e+00	1.002e+01	6.160e+00	7.520e+00	4.768e+00	5.905e+00	3.790e+00	5.332e+00	3.790e+00	5.332e+00	3.631e+00	5.045e+00
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	6.725e+00	9.077e+00	6.106e+00	8.025e+00	4.545e+00	5.873e+00	3.664e+00	4.935e+00	3.664e+00	4.935e+00	3.386e+00	4.622e+00
2	7	7.944e+00	9.468e+00	6.091e+00	7.351e+00	4.488e+00	5.434e+00	3.821e+00	5.116e+00	3.815e+00	4.832e+00	3.774e+00	4.268e+00
2	8	8.289e+00	9.498e+00	5.477e+00	7.135e+00	4.629e+00	5.968e+00	4.396e+00	5.367e+00	4.044e+00	4.922e+00	3.528e+00	4.615e+00
2	9	8.741e+00	9.891e+00	5.967e+00	6.920e+00	4.548e+00	5.463e+00	4.225e+00	5.461e+00	3.862e+00	5.274e+00	3.370e+00	4.598e+00
2	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	7.827e+00	9.691e+00	6.040e+00	7.575e+00	4.318e+00	6.460e+00	4.167e+00	5.764e+00	3.732e+00	5.253e+00	3.371e+00	5.064e+00
3	2	8.388e+00	1.018e+01	5.777e+00	7.950e+00	4.061e+00	6.204e+00	3.547e+00	5.550e+00	3.446e+00	5.449e+00	3.311e+00	5.311e+00
3	3	8.366e+00	9.549e+00	5.573e+00	7.500e+00	4.351e+00	6.367e+00	3.866e+00	5.227e+00	3.776e+00	5.225e+00	3.686e+00	5.080e+00
3	4	7.508e+00	9.188e+00	5.256e+00	7.188e+00	4.549e+00	6.017e+00	4.032e+00	5.049e+00	3.833e+00	4.940e+00	3.669e+00	4.905e+00
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	7.973e+00	1.002e+01	5.544e+00	6.884e+00	4.620e+00	5.302e+00	4.352e+00	4.672e+00	4.352e+00	4.672e+00	4.150e+00	4.468e+00
3	7	7.265e+00	9.236e+00	5.611e+00	6.801e+00	4.927e+00	6.036e+00	3.736e+00	5.009e+00	3.736e+00	5.009e+00	3.393e+00	4.801e+00
3	8	8.845e+00	1.022e+01	5.606e+00	7.183e+00	4.495e+00	5.829e+00	4.406e+00	5.033e+00	3.705e+00	4.706e+00	3.189e+00	4.555e+00
3	9	8.198e+00	9.930e+00	6.545e+00	6.810e+00	5.063e+00	5.362e+00	4.465e+00	5.226e+00	3.802e+00	4.963e+00	3.719e+00	4.292e+00
3	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	7.857e+00	9.365e+00	5.353e+00	7.314e+00	4.506e+00	6.511e+00	3.192e+00	5.688e+00	3.192e+00	5.688e+00	3.119e+00	5.674e+00
4	2	7.546e+00	9.373e+00	5.574e+00	7.509e+00	4.459e+00	5.930e+00	4.022e+00	5.671e+00	3.704e+00	5.088e+00	3.501e+00	4.914e+00
4	3	8.122e+00	1.071e+01	6.101e+00	7.811e+00	3.995e+00	6.152e+00	3.871e+00	5.072e+00	3.871e+00	5.072e+00	3.515e+00	4.798e+00
4	4	7.531e+00	9.613e+00	5.908e+00	7.671e+00	4.108e+00	5.952e+00	3.526e+00	5.283e+00	3.450e+00	5.224e+00	3.133e+00	5.116e+00
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	8.280e+00	1.033e+01	4.995e+00	6.257e+00	4.593e+00	5.246e+00	4.228e+00	5.208e+00	3.850e+00	4.747e+00	3.685e+00	4.312e+00
4	7	8.634e+00	9.770e+00	5.451e+00	6.743e+00	4.579e+00	6.032e+00	3.928e+00	5.481e+00	3.787e+00	5.067e+00	3.357e+00	4.668e+00
4	8	8.369e+00	9.810e+00	5.335e+00	6.478e+00	4.996e+00	6.131e+00	4.335e+00	5.793e+00	3.789e+00	4.928e+00	3.551e+00	4.538e+00
