x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	3.515e+00	4.758e+00	2.228e+00	4.003e+00	1.940e+00	3.803e+00	1.940e+00	3.803e+00	1.940e+00	3.803e+00	1.940e+00	3.803e+00
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	4.671e+00	5.304e+00	2.531e+00	3.660e+00	2.472e+00	3.594e+00	2.398e+00	3.567e+00	2.398e+00	3.567e+00	2.384e+00	3.499e+00
1	2	3.623e+00	5.240e+00	2.102e+00	3.727e+00	2.102e+00	3.727e+00	2.102e+00	3.727e+00	2.102e+00	3.727e+00	2.102e+00	3.727e+00
1	3	4.576e+00	5.226e+00	2.450e+00	3.995e+00	2.218e+00	3.862e+00	2.124e+00	3.850e+00	2.088e+00	3.813e+00	2.019e+00	3.740e+00
1	4	4.250e+00	4.294e+00	2.461e+00	3.542e+00	2.425e+00	3.397e+00	2.425e+00	3.397e+00	2.425e+00	3.397e+00	2.425e+00	3.397e+00
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	4.170e+00	4.281e+00	3.342e+00	2.921e+00	3.259e+00	2.896e+00	3.259e+00	2.896e+00	3.107e+00	2.801e+00	3.107e+00	2.801e+00
1	7	3.644e+00	5.724e+00	2.578e+00	3.930e+00	2.396e+00	3.843e+00	2.341e+00	3.717e+00	2.275e+00	3.657e+00	2.248e+00	3.595e+00
1	8	4.005e+00	4.823e+00	2.879e+00	3.516e+00	2.783e+00	3.407e+00	2.771e+00	3.345e+00	2.689e+00	3.320e+00	2.635e+00	3.271e+00
1	9	4.537e+00	5.451e+00	2.586e+00	3.498e+00	2.586e+00	3.498e+00	2.439e+00	3.468e+00	2.368e+00	3.418e+00	2.368e+00	3.418e+00
1	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	3.886e+00	5.412e+00	2.199e+00	3.759e+00	2.161e+00	3.740e+00	2.161e+00	3.740e+00	2.161e+00	3.740e+00	2.057e+00	3.691e+00
2	2	3.300e+00	4.664e+00	2.728e+00	3.291e+00	2.728e+00	3.291e+00	2.728e+00	3.291e+00	2.630e+00	3.237e+00	2.630e+00	3.237e+00
2	3	4.225e+00	5.858e+00	2.989e+00	3.196e+00	2.989e+00	3.196e+00	2.923e+00	3.164e+00	2.755e+00	3.126e+00	2.755e+00	3.126e+00
2	4	4.410e+00	5.436e+00	2.845e+00	3.330e+00	2.647e+00	3.310e+00	2.647e+00	3.310e+00	2.580e+00	3.170e+00	2.580e+00	3.170e+00
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	4.079e+00	5.266e+00	2.460e+00	3.782e+00	2.236e+00	3.680e+00	2.226e+00	3.676e+00	2.226e+00	3.676e+00	2.123e+00	3.670e+00
2	7	3.021e+00	5.073e+00	2.490e+00	4.149e+00	1.991e+00	3.973e+00	1.990e+00	3.890e+00	1.990e+00	3.890e+00	1.920e+00	3.844e+00
2	8	5.142e+00	5.103e+00	2.943e+00	3.013e+00	2.943e+00	3.013e+00	2.900e+00	2.991e+00	2.900e+00	2.991e+00	2.886e+00	2.949e+00
2	9	4.266e+00	5.050e+00	2.446e+00	3.716e+00	2.442e+00	3.562e+00	2.412e+00	3.460e+00	2.398e+00	3.351e+00	2.392e+00	3.347e+00
2	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	4.208e+00	4.589e+00	3.328e+00	3.122e+00	3.250e+00	2.893e+00	3.250e+00	2.893e+00	3.082e+00	2.822e+00	3.082e+00	2.822e+00
3	2	4.292e+00	4.782e+00	2.287e+00	4.006e+00	2.098e+00	3.982e+00	2.098e+00	3.982e+00	2.064e+00	3.771e+00	2.039e+00	3.753e+00
3	3	3.800e+00	4.888e+00	2.366e+00	4.029e+00	2.282e+00	3.872e+00	2.245e+00	3.868e+00	2.183e+00	3.666e+00	2.183e+00	3.666e+00
3	4	4.614e+00	5.003e+00	2.973e+00	3.471e+00	2.747e+00	3.442e+00	2.712e+00	3.176e+00	2.651e+00	3.141e+00	2.602e+00	3.125e+00
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	4.521e+00	5.567e+00	2.500e+00	3.696e+00	2.413e+00	3.678e+00	2.385e+00	3.531e+00	2.385e+00	3.531e+00	2.290e+00	3.489e+00
3	7	4.219e+00	5.718e+00	2.762e+00	3.723e+00	2.562e+00	3.353e+00	2.562e+00	3.353e+00	2.562e+00	3.353e+00	2.562e+00	3.353e+00
3	8	3.558e+00	5.063e+00	2.800e+00	3.755e+00	2.479e+00	3.587e+00	2.479e+00	3.587e+00	2.370e+00	3.500e+00	2.332e+00	3.486e+00
3	9	4.193e+00	5.230e+00	2.545e+00	3.705e+00	2.430e+00	3.443e+00	2.430e+00	3.443e+00	2.430e+00	3.443e+00	2.404e+00	3.429e+00
3	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	5.076e+00	5.373e+00	3.272e+00	3.020e+00	3.176e+00	2.789e+00	3.127e+00	2.722e+00	3.127e+00	2.722e+00	3.117e+00	2.694e+00
4	2	3.991e+00	4.967e+00	3.309e+00	3.154e+00	3.106e+00	3.041e+00	3.042e+00	2.950e+00	3.011e+00	2.797e+00	3.011e+00	2.797e+00
4	3	3.246e+00	4.584e+00	2.096e+00	3.989e+00	2.073e+00	3.977e+00	2.073e+00	3.977e+00	1.979e+00	3.846e+00	1.979e+00	3.846e+00
4	4	4.085e+00	5.070e+00	2.250e+00	3.569e+00	2.250e+00	3.569e+00	2.250e+00	3.569e+00	2.250e+00	3.569e+00	2.250e+00	3.569e+00
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	4.789e+00	5.302e+00	3.016e+00	3.334e+00	3.016e+00	3.334e+00	2.713e+00	3.296e+00	2.713e+00	3.296e+00	2.651e+00	3.184e+00
4	7	4.730e+00	4.950e+00	2.685e+00	3.651e+00	2.489e+00	3.592e+00	2.438e+00	3.527e+00	2.438e+00	3.527e+00	2.403e+00	3.397e+00
4	8	4.540e+00	4.715e+00	3.111e+00	3.636e+00	2.708e+00	3.297e+00	2.579e+00	3.292e+00	2.579e+00	3.292e+00	2.505e+00	3.280e+00
