x	y	0.fitness.0.	0.fitness.1.	5000.fitness.0.	5000.fitness.1.	10000.fitness.0.	10000.fitness.1.	15000.fitness.0.	15000.fitness.1.	25000.fitness.0.	25000.fitness.1.	50000.fitness.0.	50000.fitness.1.
0	0	6.827e+00	6.319e+00	5.104e+00	4.602e+00	3.668e+00	3.730e+00	3.668e+00	3.730e+00	3.315e+00	3.205e+00	3.226e+00	2.990e+00
0	1	5.917e+00	5.656e+00	3.690e+00	3.960e+00	3.289e+00	3.504e+00	3.189e+00	3.446e+00	2.899e+00	3.101e+00	2.807e+00	2.993e+00
0	2	6.355e+00	6.344e+00	5.294e+00	3.878e+00	4.343e+00	3.474e+00	3.595e+00	3.021e+00	3.419e+00	2.987e+00	3.371e+00	2.891e+00
0	3	6.934e+00	5.931e+00	4.270e+00	4.106e+00	3.347e+00	2.885e+00	3.347e+00	2.885e+00	3.347e+00	2.885e+00	3.168e+00	2.544e+00
0	4	6.468e+00	5.005e+00	4.774e+00	4.173e+00	3.696e+00	2.892e+00	3.696e+00	2.892e+00	3.549e+00	2.744e+00	3.549e+00	2.744e+00
0	5	6.537e+00	6.361e+00	4.705e+00	4.028e+00	3.876e+00	3.149e+00	3.590e+00	2.929e+00	3.239e+00	2.886e+00	3.239e+00	2.886e+00
0	6	7.157e+00	5.632e+00	4.632e+00	4.253e+00	2.876e+00	3.176e+00	2.876e+00	3.176e+00	2.876e+00	3.176e+00	2.876e+00	3.176e+00
0	7	6.942e+00	6.543e+00	5.160e+00	4.790e+00	3.279e+00	3.268e+00	3.270e+00	2.874e+00	3.270e+00	2.874e+00	3.270e+00	2.874e+00
0	8	6.448e+00	5.087e+00	4.504e+00	4.512e+00	4.134e+00	3.769e+00	3.431e+00	3.131e+00	3.116e+00	3.116e+00	3.079e+00	3.087e+00
0	9	5.383e+00	5.192e+00	5.169e+00	4.884e+00	3.661e+00	3.611e+00	3.432e+00	3.498e+00	3.152e+00	2.674e+00	3.152e+00	2.674e+00
0	10	7.003e+00	4.995e+00	4.937e+00	4.304e+00	3.944e+00	3.089e+00	3.944e+00	3.089e+00	3.805e+00	2.997e+00	3.682e+00	2.510e+00
1	0	5.490e+00	5.618e+00	4.181e+00	4.755e+00	3.601e+00	3.839e+00	3.301e+00	3.139e+00	3.301e+00	3.139e+00	2.921e+00	2.883e+00
1	1	6.718e+00	5.882e+00	4.326e+00	4.628e+00	3.375e+00	3.873e+00	2.781e+00	3.339e+00	2.781e+00	3.339e+00	2.781e+00	3.339e+00
1	2	5.749e+00	5.420e+00	3.871e+00	3.991e+00	3.549e+00	3.821e+00	3.351e+00	3.133e+00	3.351e+00	3.133e+00	3.119e+00	2.912e+00
1	3	7.363e+00	6.267e+00	5.296e+00	4.428e+00	4.514e+00	2.972e+00	4.213e+00	2.580e+00	4.213e+00	2.580e+00	3.768e+00	2.347e+00
1	4	6.394e+00	5.578e+00	4.044e+00	4.182e+00	3.485e+00	3.734e+00	3.315e+00	3.494e+00	3.086e+00	2.765e+00	3.086e+00	2.765e+00
1	5	5.707e+00	5.801e+00	4.958e+00	4.401e+00	3.900e+00	2.971e+00	3.900e+00	2.971e+00	3.364e+00	2.826e+00	3.364e+00	2.826e+00
1	6	7.409e+00	6.177e+00	5.562e+00	4.948e+00	3.022e+00	2.794e+00	3.022e+00	2.794e+00	3.022e+00	2.794e+00	3.022e+00	2.794e+00
1	7	5.237e+00	5.589e+00	4.077e+00	4.638e+00	3.676e+00	3.296e+00	3.290e+00	2.826e+00	3.078e+00	2.642e+00	3.078e+00	2.642e+00
1	8	5.644e+00	5.369e+00	4.415e+00	5.003e+00	3.159e+00	3.996e+00	2.558e+00	3.805e+00	2.532e+00	3.603e+00	2.532e+00	3.603e+00
1	9	5.789e+00	5.688e+00	4.453e+00	4.527e+00	3.791e+00	3.951e+00	3.630e+00	2.804e+00	3.504e+00	2.627e+00	3.504e+00	2.627e+00
1	10	6.578e+00	6.428e+00	5.054e+00	4.934e+00	3.552e+00	3.768e+00	3.026e+00	3.519e+00	3.026e+00	3.519e+00	2.840e+00	3.207e+00
2	0	7.438e+00	6.079e+00	3.891e+00	4.404e+00	3.077e+00	4.191e+00	2.846e+00	3.924e+00	2.614e+00	3.588e+00	2.576e+00	3.529e+00
2	1	6.354e+00	5.806e+00	3.902e+00	3.984e+00	3.401e+00	3.443e+00	3.401e+00	3.443e+00	2.978e+00	3.296e+00	2.777e+00	3.273e+00
2	2	7.119e+00	6.092e+00	5.012e+00	4.186e+00	3.757e+00	3.399e+00	3.225e+00	3.054e+00	3.225e+00	3.054e+00	2.858e+00	2.896e+00
2	3	6.840e+00	6.443e+00	4.660e+00	5.239e+00	3.985e+00	3.585e+00	3.073e+00	3.072e+00	3.073e+00	3.072e+00	3.016e+00	3.027e+00
2	4	5.899e+00	5.665e+00	4.291e+00	4.555e+00	3.649e+00	4.329e+00	3.009e+00	3.418e+00	3.009e+00	3.418e+00	2.926e+00	3.269e+00
2	5	6.212e+00	5.612e+00	4.082e+00	4.166e+00	3.489e+00	3.807e+00	3.027e+00	3.122e+00	3.027e+00	3.122e+00	3.027e+00	3.122e+00
2	6	5.452e+00	4.960e+00	4.210e+00	3.711e+00	3.918e+00	3.514e+00	3.735e+00	2.927e+00	3.620e+00	2.638e+00	3.610e+00	2.423e+00
2	7	6.981e+00	5.871e+00	4.847e+00	4.016e+00	3.912e+00	3.306e+00	3.476e+00	3.152e+00	3.476e+00	3.152e+00	3.371e+00	2.799e+00
2	8	6.706e+00	7.050e+00	4.693e+00	4.455e+00	4.067e+00	3.279e+00	3.617e+00	3.025e+00	3.471e+00	2.634e+00	3.334e+00	2.460e+00
2	9	6.436e+00	5.633e+00	4.957e+00	5.080e+00	3.944e+00	2.892e+00	3.940e+00	2.535e+00	3.590e+00	2.516e+00	3.590e+00	2.516e+00
2	10	7.075e+00	6.235e+00	4.725e+00	3.916e+00	3.533e+00	3.718e+00	3.080e+00	3.108e+00	3.080e+00	3.108e+00	2.955e+00	2.900e+00
3	0	6.580e+00	5.773e+00	4.405e+00	4.344e+00	3.447e+00	3.589e+00	2.904e+00	3.258e+00	2.904e+00	3.258e+00	2.904e+00	3.258e+00
3	1	7.532e+00	6.342e+00	3.853e+00	3.313e+00	3.785e+00	3.104e+00	3.785e+00	3.104e+00	3.515e+00	2.866e+00	3.463e+00	2.750e+00
3	2	6.615e+00	5.525e+00	4.222e+00	3.922e+00	3.656e+00	2.967e+00	3.656e+00	2.967e+00	3.337e+00	2.767e+00	2.972e+00	2.703e+00
3	3	6.321e+00	5.898e+00	4.558e+00	3.748e+00	3.998e+00	2.586e+00	3.998e+00	2.586e+00	3.998e+00	2.586e+00	3.548e+00	2.272e+00
3	4	7.297e+00	5.867e+00	4.760e+00	4.087e+00	3.818e+00	3.408e+00	3.818e+00	3.408e+00	3.149e+00	2.948e+00	3.149e+00	2.948e+00
3	5	5.766e+00	6.089e+00	5.159e+00	4.065e+00	4.304e+00	3.063e+00	3.504e+00	3.006e+00	3.383e+00	2.970e+00	3.197e+00	2.919e+00
3	6	6.217e+00	6.256e+00	4.284e+00	4.344e+00	3.599e+00	3.965e+00	3.284e+00	3.480e+00	2.774e+00	3.230e+00	2.774e+00	3.230e+00
3	7	6.362e+00	5.464e+00	4.540e+00	4.196e+00	3.611e+00	3.430e+00	3.303e+00	2.959e+00	3.303e+00	2.959e+00	3.131e+00	2.921e+00
3	8	6.758e+00	5.951e+00	4.836e+00	4.089e+00	3.229e+00	3.578e+00	3.229e+00	3.578e+00	3.041e+00	3.066e+00	2.628e+00	3.029e+00
3	9	5.536e+00	5.847e+00	3.965e+00	3.229e+00	3.965e+00	3.229e+00	3.795e+00	2.653e+00	3.600e+00	2.647e+00	3.545e+00	2.433e+00
3	10	5.777e+00	6.060e+00	5.013e+00	4.171e+00	3.929e+00	3.678e+00	3.215e+00	3.066e+00	3.215e+00	3.066e+00	3.049e+00	2.944e+00
4	0	6.758e+00	6.340e+00	4.705e+00	3.870e+00	4.619e+00	3.087e+00	4.520e+00	2.765e+00	4.162e+00	2.329e+00	3.565e+00	2.186e+00
4	1	7.206e+00	5.881e+00	4.219e+00	3.743e+00	4.057e+00	3.352e+00	4.057e+00	3.352e+00	3.520e+00	2.740e+00	3.520e+00	2.740e+00
4	2	5.834e+00	5.121e+00	4.640e+00	3.501e+00	4.061e+00	2.954e+00	4.061e+00	2.954e+00	3.935e+00	2.932e+00	3.564e+00	2.068e+00
4	3	6.561e+00	4.932e+00	4.854e+00	4.553e+00	3.807e+00	3.141e+00	3.807e+00	3.141e+00	3.479e+00	2.448e+00	3.479e+00	2.448e+00
4	4	5.759e+00	5.348e+00	4.412e+00	4.053e+00	3.253e+00	3.527e+00	2.986e+00	3.382e+00	2.810e+00	3.370e+00	2.675e+00	3.025e+00
4	5	6.755e+00	6.332e+00	4.647e+00	3.986e+00	4.159e+00	3.493e+00	3.566e+00	3.026e+00	3.551e+00	3.003e+00	3.045e+00	2.898e+00
4	6	6.436e+00	5.891e+00	4.573e+00	3.427e+00	4.227e+00	3.315e+00	3.641e+00	3.012e+00	3.214e+00	2.929e+00	3.214e+00	2.929e+00
4	7	7.265e+00	6.653e+00	5.244e+00	4.620e+00	3.639e+00	3.557e+00	2.930e+00	3.129e+00	2.757e+00	3.129e+00	2.700e+00	3.001e+00
4	8	6.464e+00	5.236e+00	4.946e+00	3.388e+00	3.969e+00	3.055e+00	3.616e+00	3.034e+00	3.390e+00	2.809e+00	3.210e+00	2.528e+00
4	9	6.723e+00	5.770e+00	5.540e+00	4.552e+00	4.398e+00	3.564e+00	3.625e+00	3.041e+00	3.401e+00	2.920e+00	3.291e+00	2.502e+00
