_.mt.250.3.cabea.cc.11	_.mt.250.3.cabea.e.21	_.mt.250.3.cabea.e.11	_.mt.250.3.cabea.cc.21	_.mt.250.3.ga	_.mt.250.3.ga.33	_.mt.250.3.me.2
2.000e-02	6.080e-01	1.760e-01	5.400e-01	0.000e+00	0.000e+00	3.160e-01
2.000e-02	5.640e-01	6.000e-02	5.280e-01	0.000e+00	0.000e+00	3.720e-01
2.800e-02	5.720e-01	2.200e-01	5.280e-01	0.000e+00	4.000e-03	2.880e-01
1.880e-01	5.800e-01	1.760e-01	5.240e-01	0.000e+00	0.000e+00	3.120e-01
1.080e-01	5.760e-01	1.480e-01	5.160e-01	0.000e+00	0.000e+00	3.160e-01
1.320e-01	5.960e-01	1.200e-01	5.560e-01	0.000e+00	0.000e+00	3.480e-01
7.600e-02	5.840e-01	1.400e-01	5.520e-01	0.000e+00	0.000e+00	3.000e-01
1.280e-01	5.720e-01	4.000e-02	5.280e-01	0.000e+00	0.000e+00	3.200e-01
5.200e-02	5.840e-01	2.000e-01	5.320e-01	0.000e+00	0.000e+00	3.280e-01
7.200e-02	6.040e-01	1.880e-01	5.400e-01	0.000e+00	0.000e+00	2.920e-01
8.800e-02	6.160e-01	2.160e-01	5.400e-01	0.000e+00	0.000e+00	3.240e-01
6.800e-02	5.920e-01	2.440e-01	5.160e-01	0.000e+00	0.000e+00	3.560e-01
8.400e-02	5.520e-01	2.160e-01	5.080e-01	0.000e+00	0.000e+00	2.840e-01
8.000e-03	5.920e-01	1.240e-01	5.440e-01	0.000e+00	0.000e+00	2.760e-01
1.160e-01	5.600e-01	1.280e-01	5.120e-01	0.000e+00	0.000e+00	3.200e-01
3.200e-02	5.840e-01	6.800e-02	5.480e-01	0.000e+00	0.000e+00	2.760e-01
8.400e-02	5.760e-01	1.240e-01	5.600e-01	0.000e+00	0.000e+00	3.280e-01
3.600e-02	5.800e-01	1.680e-01	5.520e-01	0.000e+00	0.000e+00	3.600e-01
9.200e-02	5.920e-01	1.080e-01	5.520e-01	0.000e+00	0.000e+00	3.160e-01
1.760e-01	5.720e-01	1.640e-01	5.320e-01	0.000e+00	0.000e+00	3.400e-01
4.000e-02	6.240e-01	2.560e-01	5.320e-01	0.000e+00	0.000e+00	3.400e-01
1.760e-01	5.520e-01	2.240e-01	5.040e-01	0.000e+00	0.000e+00	3.080e-01
6.800e-02	5.800e-01	1.400e-01	5.400e-01	0.000e+00	0.000e+00	3.000e-01
1.480e-01	5.960e-01	1.560e-01	5.280e-01	0.000e+00	0.000e+00	3.320e-01
1.120e-01	5.840e-01	2.120e-01	5.080e-01	0.000e+00	0.000e+00	2.840e-01
4.000e-02	5.920e-01	1.120e-01	5.320e-01	0.000e+00	0.000e+00	3.240e-01
1.400e-01	5.960e-01	9.200e-02	5.120e-01	0.000e+00	0.000e+00	3.360e-01
4.400e-02	5.760e-01	1.920e-01	5.280e-01	0.000e+00	0.000e+00	3.280e-01
4.400e-02	5.480e-01	1.520e-01	5.040e-01	0.000e+00	4.000e-03	2.760e-01
1.920e-01	5.960e-01	2.200e-01	5.280e-01	0.000e+00	4.000e-03	3.240e-01
