_.moIOneMax.25.nsga2	_.moIOneMax.25.cabea.cc.11	_.moIOneMax.25.cabea.e.21	_.moIOneMax.25.cabea.e.11	_.moIOneMax.25.cabea.cc.21	_.moIOneMax.25.ga	_.moIOneMax.25.ga.33	_.moIOneMax.25.me.2	_.mt2mo.mmIOneMax.25.2.nsga2	_.mt2mo.mmIOneMax.25.2.cabea.cc.11	_.mt2mo.mmIOneMax.25.2.cabea.e.21	_.mt2mo.mmIOneMax.25.2.cabea.e.11	_.mt2mo.mmIOneMax.25.2.cabea.cc.21	_.mt2mo.mmIOneMax.25.2.ga	_.mt2mo.mmIOneMax.25.2.ga.33	_.mt2mo.mmIOneMax.25.2.me.2	_.moIOneMax.100.nsga2	_.moIOneMax.100.cabea.cc.11	_.moIOneMax.100.cabea.e.21	_.moIOneMax.100.cabea.e.11	_.moIOneMax.100.cabea.cc.21	_.moIOneMax.100.ga	_.moIOneMax.100.ga.33	_.moIOneMax.100.me.2	_.mt2mo.mmIOneMax.100.2.nsga2	_.mt2mo.mmIOneMax.100.2.cabea.cc.11	_.mt2mo.mmIOneMax.100.2.cabea.e.21	_.mt2mo.mmIOneMax.100.2.cabea.e.11	_.mt2mo.mmIOneMax.100.2.cabea.cc.21	_.mt2mo.mmIOneMax.100.2.ga	_.mt2mo.mmIOneMax.100.2.ga.33	_.mt2mo.mmIOneMax.100.2.me.2	_.moIOneMax.250.nsga2	_.moIOneMax.250.cabea.cc.11	_.moIOneMax.250.cabea.e.21	_.moIOneMax.250.cabea.e.11	_.moIOneMax.250.cabea.cc.21	_.moIOneMax.250.ga	_.moIOneMax.250.ga.33	_.moIOneMax.250.me.2	_.mt2mo.mmIOneMax.250.2.nsga2	_.mt2mo.mmIOneMax.250.2.cabea.cc.11	_.mt2mo.mmIOneMax.250.2.cabea.e.21	_.mt2mo.mmIOneMax.250.2.cabea.e.11	_.mt2mo.mmIOneMax.250.2.cabea.cc.21	_.mt2mo.mmIOneMax.250.2.ga	_.mt2mo.mmIOneMax.250.2.ga.33	_.mt2mo.mmIOneMax.250.2.me.2
4.800e-01	1.800e-01	2.136e-01	1.800e-01	2.200e-01	6.000e-02	1.200e-01	1.968e-01	3.744e-01	1.456e-01	1.312e-01	2.080e-01	1.952e-01	4.160e-02	4.160e-02	7.920e-02	3.642e-01	8.290e-02	9.800e-02	8.570e-02	7.165e-02	2.500e-02	2.500e-02	8.350e-02	1.500e-01	4.090e-02	4.790e-02	5.135e-02	3.860e-02	1.500e-02	1.000e-02	2.280e-02	2.140e-01	6.179e-02	6.242e-02	5.519e-02	5.733e-02	1.701e-02	6.000e-03	3.517e-02	8.600e-02	2.910e-02	1.528e-02	2.313e-02	1.233e-02	4.000e-03	2.000e-03	2.030e-02
5.000e-01	1.800e-01	2.200e-01	2.000e-01	2.400e-01	1.000e-01	6.000e-02	2.064e-01	4.368e-01	1.664e-01	1.392e-01	1.664e-01	1.096e-01	6.240e-02	4.160e-02	7.440e-02	3.750e-01	9.790e-02	8.335e-02	1.109e-01	1.152e-01	3.500e-02	2.000e-02	3.690e-02	1.750e-01	7.865e-02	3.900e-02	6.630e-02	3.695e-02	1.000e-02	5.000e-03	2.230e-02	2.060e-01	4.387e-02	5.295e-02	4.797e-02	4.744e-02	4.000e-03	4.000e-03	0.000e+00	7.914e-02	3.015e-02	9.080e-03	2.884e-02	1.249e-02	4.000e-03	2.000e-03	6.984e-03
4.800e-01	2.200e-01	2.544e-01	2.800e-01	2.536e-01	6.000e-02	4.000e-02	2.416e-01	4.368e-01	1.872e-01	1.432e-01	2.080e-01	1.256e-01	4.160e-02	4.160e-02	9.600e-02	3.150e-01	8.500e-02	1.046e-01	1.210e-01	8.480e-02	3.000e-02	2.000e-02	7.610e-02	1.600e-01	6.030e-02	3.025e-02	6.570e-02	2.335e-02	5.000e-03	5.000e-03	2.275e-02	2.060e-01	5.024e-02	7.003e-02	4.984e-02	4.782e-02	8.000e-03	4.000e-03	2.190e-02	8.194e-02	1.522e-02	1.925e-02	2.149e-02	1.539e-02	6.000e-03	3.984e-03	1.737e-02
5.000e-01	3.000e-01	2.528e-01	2.400e-01	2.872e-01	8.000e-02	6.000e-02	2.264e-01	4.160e-01	1.456e-01	1.552e-01	2.080e-01	1.424e-01	4.160e-02	4.160e-02	9.600e-02	3.744e-01	8.500e-02	1.130e-01	1.107e-01	1.118e-01	1.000e-02	1.500e-02	2.000e-02	1.850e-01	7.115e-02	3.315e-02	5.860e-02	4.350e-02	5.000e-03	1.000e-02	1.010e-02	2.174e-01	4.710e-02	2.658e-02	5.747e-02	6.440e-02	1.600e-02	4.000e-03	1.958e-02	7.570e-02	2.305e-02	1.687e-02	3.086e-02	1.506e-02	6.000e-03	5.952e-03	5.696e-03
4.800e-01	2.600e-01	2.200e-01	2.200e-01	2.200e-01	6.000e-02	6.000e-02	2.152e-01	4.160e-01	1.664e-01	1.480e-01	2.288e-01	2.024e-01	4.160e-02	4.160e-02	1.128e-01	3.600e-01	1.028e-01	1.035e-01	9.915e-02	9.545e-02	2.500e-02	1.000e-02	4.830e-02	1.750e-01	6.435e-02	2.010e-02	4.210e-02	1.900e-02	5.000e-03	1.000e-02	3.040e-02	1.980e-01	4.262e-02	3.944e-02	7.201e-02	3.430e-02	4.000e-03	6.000e-03	4.882e-02	1.027e-01	1.590e-02	1.266e-02	2.675e-02	1.365e-02	4.000e-03	3.984e-03	2.352e-02
4.800e-01	2.400e-01	2.400e-01	3.000e-01	2.200e-01	1.000e-01	6.000e-02	2.336e-01	3.328e-01	1.248e-01	1.056e-01	1.456e-01	1.536e-01	2.080e-02	2.080e-02	6.400e-02	3.400e-01	8.000e-02	9.050e-02	9.885e-02	6.715e-02	2.500e-02	2.000e-02	3.565e-02	1.450e-01	5.845e-02	5.290e-02	5.780e-02	2.735e-02	1.000e-02	1.000e-02	4.235e-02	2.200e-01	5.962e-02	6.892e-02	5.358e-02	4.474e-02	1.800e-02	6.000e-03	1.952e-03	7.600e-02	3.682e-02	1.661e-02	2.699e-02	1.664e-02	4.000e-03	2.000e-03	2.286e-02
4.800e-01	2.400e-01	2.472e-01	2.200e-01	2.400e-01	4.000e-02	8.000e-02	2.200e-01	3.536e-01	1.872e-01	1.464e-01	1.872e-01	1.720e-01	4.160e-02	2.080e-02	1.336e-01	3.400e-01	1.128e-01	9.795e-02	9.055e-02	1.302e-01	3.000e-02	1.000e-02	6.160e-02	1.650e-01	4.415e-02	3.120e-02	6.110e-02	2.165e-02	1.000e-02	5.000e-03	3.865e-02	2.120e-01	3.983e-02	4.525e-02	4.945e-02	5.495e-02	6.000e-03	4.000e-03	1.609e-02	7.000e-02	3.631e-02	1.241e-02	2.840e-02	1.005e-02	2.000e-03	1.968e-03	3.273e-02
5.000e-01	2.000e-01	2.536e-01	2.000e-01	2.000e-01	2.000e-02	4.000e-02	2.544e-01	3.952e-01	1.456e-01	1.216e-01	1.872e-01	1.720e-01	4.160e-02	4.160e-02	1.048e-01	3.650e-01	8.500e-02	9.280e-02	1.155e-01	1.014e-01	1.500e-02	2.500e-02	4.245e-02	1.850e-01	4.270e-02	2.005e-02	4.040e-02	4.160e-02	1.500e-02	1.000e-02	2.280e-02	2.180e-01	6.890e-02	4.854e-02	4.400e-02	5.290e-02	1.800e-02	4.000e-03	7.616e-03	9.395e-02	2.488e-02	1.511e-02	3.112e-02	1.346e-02	1.992e-03	3.984e-03	3.968e-03
5.000e-01	1.800e-01	2.000e-01	2.000e-01	2.544e-01	6.000e-02	4.000e-02	2.264e-01	4.160e-01	1.872e-01	1.448e-01	2.080e-01	2.120e-01	4.160e-02	4.160e-02	1.352e-01	3.600e-01	8.500e-02	9.990e-02	1.276e-01	8.100e-02	2.500e-02	1.500e-02	8.450e-02	2.035e-01	7.390e-02	3.695e-02	7.520e-02	3.550e-02	5.000e-03	1.000e-02	3.965e-02	2.180e-01	5.281e-02	3.821e-02	6.310e-02	3.623e-02	1.600e-02	8.000e-03	4.034e-02	9.214e-02	2.855e-02	1.090e-02	1.942e-02	1.950e-02	2.000e-03	1.992e-03	1.976e-02
5.000e-01	2.400e-01	2.200e-01	2.200e-01	2.336e-01	6.000e-02	4.000e-02	2.200e-01	3.328e-01	1.248e-01	2.024e-01	1.456e-01	2.200e-01	4.160e-02	4.160e-02	1.528e-01	3.350e-01	8.000e-02	8.780e-02	1.380e-01	8.975e-02	3.500e-02	1.500e-02	4.750e-02	1.650e-01	6.365e-02	3.810e-02	5.370e-02	2.480e-02	1.000e-02	5.000e-03	6.610e-02	2.160e-01	3.696e-02	5.766e-02	6.778e-02	6.050e-02	2.000e-02	1.000e-02	6.600e-03	8.984e-02	2.997e-02	1.180e-02	2.202e-02	1.096e-02	2.000e-03	4.000e-03	0.000e+00
