_.circularPointsAiming.10.3.de	_.circularPointsAiming.10.3.cabea.cc.11	_.circularPointsAiming.10.3.cabea.e.21	_.circularPointsAiming.10.3.cabea.e.11	_.circularPointsAiming.10.3.cabea.cc.21	_.circularPointsAiming.10.3.ga	_.circularPointsAiming.10.3.ga.33	_.circularPointsAiming.10.3.pso	_.circularPointsAiming.10.3.me.2
4.232e-01	2.985e-01	3.723e-01	3.352e-01	3.604e-01	3.080e-01	2.620e-01	7.427e-16	3.740e-01
2.693e-01	2.980e-01	3.987e-01	3.381e-01	2.958e-01	2.030e-01	3.159e-01	1.858e-15	2.754e-01
3.883e-01	3.015e-01	3.247e-01	2.308e-01	3.866e-01	2.890e-01	2.734e-01	2.332e-15	3.245e-01
5.070e-01	2.951e-01	3.880e-01	3.642e-01	2.998e-01	3.021e-01	2.656e-01	3.574e-15	3.696e-01
2.112e-01	3.071e-01	3.415e-01	3.005e-01	3.478e-01	2.289e-01	2.307e-01	8.285e-15	2.935e-01
5.058e-01	2.504e-01	3.392e-01	3.054e-01	3.369e-01	1.929e-01	3.036e-01	4.161e-15	3.804e-01
1.441e+00	2.297e-01	3.017e-01	3.023e-01	3.331e-01	2.731e-01	3.173e-01	3.756e-15	3.564e-01
1.467e+00	3.050e-01	4.003e-01	3.285e-01	3.066e-01	3.258e-01	3.326e-01	1.120e-15	3.370e-01
2.784e-01	2.452e-01	3.068e-01	3.481e-01	3.777e-01	2.949e-01	3.072e-01	1.296e-14	3.975e-01
3.054e-02	2.737e-01	3.618e-01	2.604e-01	2.973e-01	2.978e-01	2.976e-01	5.422e-15	3.986e-01
1.284e+00	2.778e-01	2.305e-01	2.708e-01	3.760e-01	2.802e-01	2.310e-01	3.104e-15	4.111e-01
3.643e-01	3.325e-01	3.618e-01	2.591e-01	2.297e-01	2.522e-01	2.458e-01	1.345e-14	3.453e-01
1.083e+00	3.505e-01	3.710e-01	3.174e-01	3.109e-01	2.584e-01	2.731e-01	5.769e-16	4.435e-01
7.365e-03	3.111e-01	3.072e-01	3.105e-01	3.821e-01	3.104e-01	2.975e-01	1.127e-15	3.732e-01
2.412e-02	2.339e-01	2.581e-01	3.582e-01	3.427e-01	2.510e-01	3.455e-01	2.704e-15	4.052e-01
2.149e-01	2.920e-01	3.811e-01	3.358e-01	2.717e-01	2.502e-01	2.810e-01	2.705e-15	3.798e-01
6.548e-02	2.950e-01	3.420e-01	3.337e-01	3.573e-01	2.446e-01	2.460e-01	1.850e-15	2.811e-01
2.023e+00	2.319e-01	3.319e-01	3.559e-01	2.838e-01	3.032e-01	2.532e-01	3.886e-16	3.863e-01
1.463e-01	2.769e-01	3.297e-01	2.980e-01	1.996e-01	3.049e-01	2.205e-01	1.365e-15	3.920e-01
6.415e-02	3.148e-01	4.086e-01	3.302e-01	3.826e-01	3.105e-01	2.860e-01	1.338e-14	3.811e-01
1.023e+00	3.450e-01	2.988e-01	2.806e-01	3.491e-01	2.774e-01	3.079e-01	1.437e-14	3.430e-01
1.201e+00	2.885e-01	3.332e-01	3.439e-01	3.552e-01	2.984e-01	2.878e-01	3.817e-15	3.714e-01
2.312e-02	3.047e-01	2.657e-01	2.907e-01	3.770e-01	2.539e-01	2.746e-01	5.811e-15	3.857e-01
8.113e-02	3.273e-01	3.749e-01	3.009e-01	3.028e-01	2.987e-01	1.944e-01	4.302e-15	2.557e-01
8.707e-01	2.416e-01	3.763e-01	2.832e-01	2.918e-01	2.535e-01	2.816e-01	1.234e-15	4.242e-01
8.272e-01	3.371e-01	3.433e-01	3.347e-01	3.070e-01	3.387e-01	3.164e-01	3.743e-15	3.350e-01
1.709e+00	2.616e-01	2.731e-01	2.577e-01	3.490e-01	2.904e-01	2.913e-01	4.544e-16	2.837e-01
4.800e-01	3.050e-01	3.417e-01	2.678e-01	3.558e-01	2.913e-01	3.012e-01	1.528e-15	4.108e-01
8.799e-02	2.836e-01	3.028e-01	2.777e-01	3.145e-01	3.132e-01	2.293e-01	2.738e-15	3.870e-01
4.152e-01	2.296e-01	3.786e-01	3.427e-01	2.955e-01	3.184e-01	3.313e-01	1.435e-15	4.257e-01
