evals.q.250.	_.keijzer6.ga.best.fitness	_.keijzer6.ga.best.fitness.min	_.keijzer6.ga.best.fitness.max	_.keijzer6.cabea.e.11.best.fitness	_.keijzer6.cabea.e.11.best.fitness.min	_.keijzer6.cabea.e.11.best.fitness.max	_.keijzer6.cabea.cc.11.best.fitness	_.keijzer6.cabea.cc.11.best.fitness.min	_.keijzer6.cabea.cc.11.best.fitness.max	_.keijzer6.cabea.e.21.best.fitness	_.keijzer6.cabea.e.21.best.fitness.min	_.keijzer6.cabea.e.21.best.fitness.max	_.keijzer6.cabea.cc.21.best.fitness	_.keijzer6.cabea.cc.21.best.fitness.min	_.keijzer6.cabea.cc.21.best.fitness.max	_.vladislavleva4.ga.best.fitness	_.vladislavleva4.ga.best.fitness.min	_.vladislavleva4.ga.best.fitness.max	_.vladislavleva4.cabea.e.11.best.fitness	_.vladislavleva4.cabea.e.11.best.fitness.min	_.vladislavleva4.cabea.e.11.best.fitness.max	_.vladislavleva4.cabea.cc.11.best.fitness	_.vladislavleva4.cabea.cc.11.best.fitness.min	_.vladislavleva4.cabea.cc.11.best.fitness.max	_.vladislavleva4.cabea.e.21.best.fitness	_.vladislavleva4.cabea.e.21.best.fitness.min	_.vladislavleva4.cabea.e.21.best.fitness.max	_.vladislavleva4.cabea.cc.21.best.fitness	_.vladislavleva4.cabea.cc.21.best.fitness.min	_.vladislavleva4.cabea.cc.21.best.fitness.max	_.nguyen7.ga.best.fitness	_.nguyen7.ga.best.fitness.min	_.nguyen7.ga.best.fitness.max	_.nguyen7.cabea.e.11.best.fitness	_.nguyen7.cabea.e.11.best.fitness.min	_.nguyen7.cabea.e.11.best.fitness.max	_.nguyen7.cabea.cc.11.best.fitness	_.nguyen7.cabea.cc.11.best.fitness.min	_.nguyen7.cabea.cc.11.best.fitness.max	_.nguyen7.cabea.e.21.best.fitness	_.nguyen7.cabea.e.21.best.fitness.min	_.nguyen7.cabea.e.21.best.fitness.max	_.nguyen7.cabea.cc.21.best.fitness	_.nguyen7.cabea.cc.21.best.fitness.min	_.nguyen7.cabea.cc.21.best.fitness.max
3.500e+03	2.666e-03	9.415e-04	3.403e-03	8.893e-03	5.804e-03	1.505e-02	7.624e-03	4.559e-03	1.301e-02	1.301e-02	9.761e-03	1.807e-02	1.301e-02	6.929e-03	1.534e-02	4.231e-02	4.089e-02	4.312e-02	5.068e-02	4.584e-02	5.595e-02	4.485e-02	4.342e-02	4.924e-02	5.498e-02	4.565e-02	5.797e-02	5.281e-02	4.759e-02	6.513e-02	2.027e-03	1.099e-03	5.246e-03	9.362e-03	5.486e-03	1.546e-02	7.240e-03	3.757e-03	1.708e-02	2.297e-02	8.113e-03	3.675e-02	2.007e-02	9.605e-03	3.685e-02
3.750e+03	2.666e-03	8.981e-04	3.403e-03	8.501e-03	5.034e-03	1.410e-02	7.624e-03	3.863e-03	1.190e-02	nan	nan	nan	nan	nan	nan	4.168e-02	4.081e-02	4.311e-02	4.988e-02	4.438e-02	5.464e-02	4.473e-02	4.342e-02	4.633e-02	nan	nan	nan	nan	nan	nan	2.003e-03	9.748e-04	5.246e-03	7.898e-03	2.663e-03	1.441e-02	6.925e-03	3.757e-03	1.708e-02	nan	nan	nan	nan	nan	nan
4.000e+03	2.600e-03	8.916e-04	3.403e-03	8.010e-03	4.462e-03	1.410e-02	6.655e-03	3.863e-03	1.152e-02	1.177e-02	5.739e-03	1.301e-02	1.301e-02	6.929e-03	1.534e-02	4.165e-02	4.055e-02	4.296e-02	4.914e-02	4.377e-02	5.462e-02	4.394e-02	4.342e-02	4.541e-02	4.969e-02	4.477e-02	5.595e-02	5.281e-02	4.759e-02	6.431e-02	1.996e-03	9.748e-04	5.246e-03	7.240e-03	2.663e-03	1.166e-02	6.925e-03	2.652e-03	1.302e-02	2.297e-02	6.689e-03	3.651e-02	1.683e-02	9.605e-03	3.664e-02
4.250e+03	2.348e-03	8.916e-04	3.317e-03	6.806e-03	4.462e-03	1.301e-02	5.482e-03	3.710e-03	9.761e-03	nan	nan	nan	1.169e-02	6.929e-03	1.410e-02	4.162e-02	4.055e-02	4.257e-02	4.648e-02	4.360e-02	5.371e-02	4.375e-02	4.329e-02	4.538e-02	nan	nan	nan	5.281e-02	4.639e-02	5.869e-02	1.832e-03	8.985e-04	5.246e-03	7.150e-03	2.663e-03	9.705e-03	5.735e-03	2.652e-03	1.166e-02	nan	nan	nan	1.526e-02	7.863e-03	3.290e-02
4.500e+03	1.549e-03	8.897e-04	3.228e-03	6.501e-03	4.097e-03	1.190e-02	5.482e-03	3.585e-03	9.405e-03	1.177e-02	5.739e-03	1.301e-02	1.095e-02	6.929e-03	1.320e-02	4.151e-02	4.040e-02	4.247e-02	4.635e-02	4.360e-02	5.371e-02	4.347e-02	4.315e-02	4.477e-02	4.969e-02	4.477e-02	5.546e-02	5.281e-02	4.625e-02	5.869e-02	1.773e-03	8.985e-04	4.875e-03	7.150e-03	2.663e-03	9.362e-03	5.138e-03	2.652e-03	1.166e-02	1.088e-02	6.662e-03	3.003e-02	1.378e-02	5.493e-03	2.583e-02
4.750e+03	1.548e-03	8.897e-04	3.228e-03	6.501e-03	4.097e-03	1.190e-02	5.482e-03	3.434e-03	9.405e-03	1.177e-02	5.739e-03	1.301e-02	nan	nan	nan	4.139e-02	4.040e-02	4.247e-02	4.635e-02	4.356e-02	5.253e-02	4.345e-02	4.312e-02	4.473e-02	4.969e-02	4.477e-02	5.413e-02	nan	nan	nan	1.655e-03	8.985e-04	4.875e-03	7.028e-03	2.663e-03	7.898e-03	5.138e-03	2.652e-03	1.135e-02	1.066e-02	6.662e-03	2.917e-02	nan	nan	nan
5.000e+03	1.548e-03	8.897e-04	2.873e-03	6.501e-03	3.886e-03	1.188e-02	4.654e-03	3.434e-03	9.405e-03	nan	nan	nan	1.095e-02	6.929e-03	1.307e-02	4.136e-02	4.040e-02	4.209e-02	4.566e-02	4.356e-02	5.183e-02	4.342e-02	4.312e-02	4.441e-02	nan	nan	nan	5.218e-02	4.589e-02	5.869e-02	1.522e-03	8.985e-04	4.875e-03	6.941e-03	2.663e-03	7.898e-03	5.127e-03	2.652e-03	1.080e-02	nan	nan	nan	1.378e-02	4.057e-03	2.007e-02
5.250e+03	1.547e-03	6.969e-04	2.873e-03	6.042e-03	3.886e-03	9.761e-03	4.270e-03	3.225e-03	8.374e-03	9.761e-03	5.739e-03	1.301e-02	1.095e-02	6.929e-03	1.307e-02	4.124e-02	4.040e-02	4.209e-02	4.538e-02	4.356e-02	5.167e-02	4.340e-02	4.309e-02	4.441e-02	4.689e-02	4.442e-02	5.054e-02	5.218e-02	4.589e-02	5.678e-02	1.511e-03	8.979e-04	4.875e-03	6.782e-03	2.663e-03	7.863e-03	4.509e-03	2.635e-03	7.666e-03	1.066e-02	6.662e-03	2.917e-02	8.736e-03	3.976e-03	1.774e-02
5.500e+03	1.532e-03	6.959e-04	2.873e-03	5.101e-03	3.583e-03	9.561e-03	4.124e-03	3.173e-03	8.374e-03	nan	nan	nan	1.028e-02	6.143e-03	1.301e-02	4.100e-02	4.019e-02	4.209e-02	4.538e-02	4.356e-02	5.025e-02	4.339e-02	4.305e-02	4.441e-02	nan	nan	nan	4.965e-02	4.541e-02	5.638e-02	1.379e-03	8.979e-04	4.875e-03	6.662e-03	2.249e-03	7.863e-03	4.509e-03	2.635e-03	7.666e-03	nan	nan	nan	7.863e-03	3.976e-03	1.526e-02
5.750e+03	1.455e-03	6.944e-04	2.873e-03	5.101e-03	3.535e-03	9.561e-03	3.995e-03	2.828e-03	8.374e-03	9.761e-03	5.540e-03	1.265e-02	nan	nan	nan	4.080e-02	3.969e-02	4.209e-02	4.467e-02	4.325e-02	4.687e-02	4.328e-02	4.296e-02	4.399e-02	4.608e-02	4.442e-02	5.006e-02	nan	nan	nan	1.333e-03	8.972e-04	4.811e-03	6.624e-03	2.249e-03	7.863e-03	4.214e-03	2.635e-03	6.867e-03	1.066e-02	6.662e-03	1.901e-02	nan	nan	nan
6.000e+03	1.455e-03	6.911e-04	2.873e-03	4.669e-03	2.857e-03	8.010e-03	3.954e-03	1.817e-03	8.374e-03	nan	nan	nan	9.342e-03	3.871e-03	1.280e-02	4.052e-02	3.967e-02	4.192e-02	4.453e-02	4.314e-02	4.603e-02	4.321e-02	4.296e-02	4.356e-02	nan	nan	nan	4.895e-02	4.533e-02	5.524e-02	1.304e-03	8.972e-04	4.755e-03	6.484e-03	2.249e-03	7.240e-03	4.214e-03	2.635e-03	5.138e-03	nan	nan	nan	7.863e-03	3.463e-03	1.406e-02
6.250e+03	1.455e-03	6.249e-04	2.873e-03	4.669e-03	2.857e-03	7.751e-03	3.710e-03	1.817e-03	7.880e-03	9.761e-03	3.384e-03	1.262e-02	9.342e-03	3.871e-03	1.280e-02	4.052e-02	3.962e-02	4.189e-02	4.452e-02	4.313e-02	4.603e-02	4.321e-02	4.281e-02	4.345e-02	4.565e-02	4.442e-02	4.969e-02	4.830e-02	4.533e-02	5.470e-02	1.304e-03	8.972e-04	4.755e-03	5.491e-03	2.118e-03	7.240e-03	3.953e-03	2.635e-03	5.138e-03	1.007e-02	5.662e-03	1.800e-02	7.863e-03	3.389e-03	1.406e-02
6.500e+03	1.386e-03	6.247e-04	2.873e-03	4.669e-03	2.502e-03	7.751e-03	3.710e-03	1.168e-03	6.259e-03	9.761e-03	3.384e-03	1.241e-02	8.411e-03	3.871e-03	1.197e-02	4.043e-02	3.959e-02	4.180e-02	4.406e-02	4.313e-02	4.542e-02	4.315e-02	4.281e-02	4.345e-02	4.538e-02	4.442e-02	4.969e-02	4.659e-02	4.470e-02	5.209e-02	1.288e-03	8.971e-04	4.488e-03	5.486e-03	2.112e-03	7.093e-03	3.924e-03	2.494e-03	5.138e-03	8.113e-03	4.399e-03	1.242e-02	7.863e-03	3.389e-03	1.406e-02
6.750e+03	1.374e-03	6.247e-04	2.873e-03	4.669e-03	2.502e-03	7.751e-03	3.651e-03	1.168e-03	6.259e-03	nan	nan	nan	nan	nan	nan	4.040e-02	3.932e-02	4.169e-02	4.386e-02	4.313e-02	4.542e-02	4.315e-02	4.280e-02	4.345e-02	nan	nan	nan	nan	nan	nan	1.283e-03	8.971e-04	4.488e-03	4.085e-03	2.112e-03	7.028e-03	3.802e-03	2.237e-03	4.979e-03	nan	nan	nan	nan	nan	nan
7.000e+03	1.079e-03	5.499e-04	2.873e-03	4.669e-03	2.102e-03	7.751e-03	3.651e-03	1.100e-03	6.259e-03	9.286e-03	3.303e-03	1.238e-02	7.655e-03	3.670e-03	1.130e-02	4.040e-02	3.932e-02	4.163e-02	4.386e-02	4.313e-02	4.542e-02	4.313e-02	4.266e-02	4.345e-02	4.538e-02	4.442e-02	4.865e-02	4.639e-02	4.449e-02	4.965e-02	1.283e-03	8.971e-04	3.948e-03	3.627e-03	2.112e-03	6.941e-03	3.562e-03	2.237e-03	4.979e-03	8.113e-03	4.399e-03	1.242e-02	7.863e-03	3.389e-03	1.378e-02
7.250e+03	1.079e-03	5.499e-04	2.873e-03	3.886e-03	2.015e-03	7.751e-03	3.651e-03	1.005e-03	5.487e-03	nan	nan	nan	6.929e-03	3.017e-03	1.130e-02	4.040e-02	3.932e-02	4.163e-02	4.377e-02	4.313e-02	4.538e-02	4.313e-02	4.249e-02	4.342e-02	nan	nan	nan	4.589e-02	4.441e-02	4.965e-02	1.283e-03	8.971e-04	3.534e-03	3.627e-03	2.112e-03	6.941e-03	3.562e-03	2.161e-03	4.979e-03	nan	nan	nan	7.677e-03	2.663e-03	1.179e-02
7.500e+03	1.079e-03	5.499e-04	2.873e-03	3.886e-03	1.976e-03	6.633e-03	3.434e-03	1.005e-03	5.487e-03	9.286e-03	3.303e-03	1.110e-02	6.668e-03	3.017e-03	1.130e-02	4.040e-02	3.932e-02	4.163e-02	4.367e-02	4.313e-02	4.511e-02	4.312e-02	4.249e-02	4.342e-02	4.538e-02	4.442e-02	4.865e-02	4.589e-02	4.441e-02	4.965e-02	1.283e-03	8.971e-04	3.534e-03	2.869e-03	2.112e-03	6.941e-03	2.869e-03	2.161e-03	4.606e-03	7.205e-03	3.207e-03	1.138e-02	6.968e-03	2.663e-03	1.179e-02
7.750e+03	1.079e-03	5.499e-04	2.873e-03	3.827e-03	1.976e-03	6.313e-03	3.350e-03	1.005e-03	5.487e-03	nan	nan	nan	nan	nan	nan	4.040e-02	3.932e-02	4.163e-02	4.343e-02	4.313e-02	4.409e-02	4.312e-02	4.249e-02	4.340e-02	nan	nan	nan	nan	nan	nan	1.200e-03	8.942e-04	3.366e-03	2.678e-03	1.825e-03	6.484e-03	2.869e-03	2.057e-03	4.509e-03	nan	nan	nan	nan	nan	nan
8.000e+03	1.079e-03	5.304e-04	2.873e-03	3.827e-03	1.976e-03	5.549e-03	3.225e-03	9.693e-04	4.559e-03	7.980e-03	3.020e-03	1.107e-02	5.626e-03	3.017e-03	1.130e-02	4.033e-02	3.932e-02	4.163e-02	4.335e-02	4.313e-02	4.409e-02	4.310e-02	4.249e-02	4.327e-02	4.538e-02	4.383e-02	4.742e-02	4.538e-02	4.385e-02	4.833e-02	1.200e-03	8.556e-04	3.115e-03	2.678e-03	1.825e-03	6.484e-03	2.700e-03	2.057e-03	4.370e-03	5.535e-03	2.895e-03	1.138e-02	6.968e-03	2.663e-03	1.155e-02
8.250e+03	1.079e-03	4.807e-04	2.873e-03	3.670e-03	1.907e-03	5.361e-03	3.225e-03	9.693e-04	4.559e-03	nan	nan	nan	5.626e-03	3.017e-03	1.130e-02	4.033e-02	3.886e-02	4.163e-02	4.335e-02	4.290e-02	4.409e-02	4.286e-02	4.249e-02	4.325e-02	nan	nan	nan	4.538e-02	4.357e-02	4.833e-02	1.200e-03	8.108e-04	2.926e-03	2.678e-03	1.825e-03	6.484e-03	2.700e-03	2.057e-03	4.370e-03	nan	nan	nan	4.590e-03	2.663e-03	1.155e-02
8.500e+03	1.079e-03	4.699e-04	2.873e-03	3.583e-03	1.907e-03	4.909e-03	3.225e-03	9.693e-04	4.471e-03	7.980e-03	3.020e-03	1.093e-02	3.950e-03	2.814e-03	8.192e-03	4.026e-02	3.886e-02	4.163e-02	4.332e-02	4.290e-02	4.409e-02	4.286e-02	4.249e-02	4.325e-02	4.513e-02	4.355e-02	4.742e-02	4.441e-02	4.357e-02	4.764e-02	1.200e-03	6.989e-04	2.838e-03	2.678e-03	1.825e-03	6.484e-03	2.700e-03	1.985e-03	4.214e-03	5.535e-03	2.895e-03	1.138e-02	4.092e-03	2.222e-03	1.155e-02
8.750e+03	1.079e-03	4.699e-04	2.873e-03	3.583e-03	1.858e-03	4.909e-03	3.225e-03	9.693e-04	4.471e-03	7.902e-03	3.020e-03	9.761e-03	nan	nan	nan	4.026e-02	3.855e-02	4.163e-02	4.328e-02	4.290e-02	4.409e-02	4.282e-02	4.249e-02	4.323e-02	4.513e-02	4.355e-02	4.689e-02	nan	nan	nan	1.200e-03	6.835e-04	2.663e-03	2.678e-03	1.825e-03	6.484e-03	2.700e-03	1.985e-03	4.214e-03	5.384e-03	2.895e-03	1.067e-02	nan	nan	nan
9.000e+03	1.079e-03	4.699e-04	2.800e-03	3.583e-03	1.858e-03	4.909e-03	3.225e-03	9.693e-04	4.376e-03	nan	nan	nan	3.905e-03	2.814e-03	6.929e-03	4.018e-02	3.831e-02	4.163e-02	4.314e-02	4.267e-02	4.377e-02	4.275e-02	4.243e-02	4.318e-02	nan	nan	nan	4.441e-02	4.357e-02	4.764e-02	1.200e-03	6.835e-04	2.663e-03	2.678e-03	1.537e-03	6.484e-03	2.601e-03	1.825e-03	4.214e-03	nan	nan	nan	4.057e-03	2.163e-03	1.155e-02
9.250e+03	1.079e-03	4.470e-04	2.699e-03	3.583e-03	1.858e-03	4.870e-03	3.225e-03	9.450e-04	4.376e-03	7.902e-03	3.020e-03	9.761e-03	3.905e-03	2.814e-03	6.929e-03	4.006e-02	3.830e-02	4.163e-02	4.314e-02	4.260e-02	4.367e-02	4.275e-02	4.176e-02	4.312e-02	4.513e-02	4.329e-02	4.689e-02	4.441e-02	4.357e-02	4.764e-02	1.135e-03	6.711e-04	2.635e-03	2.678e-03	1.537e-03	6.484e-03	2.494e-03	1.582e-03	4.214e-03	4.836e-03	2.749e-03	7.490e-03	4.057e-03	2.163e-03	7.863e-03
9.500e+03	1.079e-03	4.470e-04	2.698e-03	3.583e-03	1.858e-03	4.870e-03	2.893e-03	9.450e-04	3.886e-03	nan	nan	nan	3.905e-03	2.814e-03	6.929e-03	4.001e-02	3.830e-02	4.161e-02	4.313e-02	4.255e-02	4.367e-02	4.274e-02	4.146e-02	4.312e-02	nan	nan	nan	4.440e-02	4.354e-02	4.639e-02	1.135e-03	6.711e-04	2.635e-03	2.678e-03	1.537e-03	5.491e-03	2.342e-03	1.582e-03	4.095e-03	nan	nan	nan	3.389e-03	1.987e-03	7.863e-03
9.750e+03	1.079e-03	4.470e-04	2.698e-03	3.583e-03	1.858e-03	4.591e-03	2.893e-03	8.624e-04	3.673e-03	7.902e-03	3.020e-03	9.480e-03	3.905e-03	2.814e-03	6.929e-03	4.001e-02	3.829e-02	4.161e-02	4.313e-02	4.245e-02	4.367e-02	4.266e-02	4.146e-02	4.312e-02	4.476e-02	4.329e-02	4.608e-02	4.419e-02	4.348e-02	4.639e-02	1.135e-03	6.246e-04	2.635e-03	2.656e-03	1.537e-03	5.332e-03	2.237e-03	1.582e-03	4.095e-03	4.509e-03	2.447e-03	7.490e-03	3.389e-03	1.987e-03	7.863e-03
1.000e+04	1.079e-03	4.470e-04	2.698e-03	3.583e-03	1.858e-03	4.591e-03	2.893e-03	8.624e-04	3.673e-03	nan	nan	nan	nan	nan	nan	4.001e-02	3.829e-02	4.161e-02	4.312e-02	4.227e-02	4.333e-02	4.266e-02	4.146e-02	4.308e-02	nan	nan	nan	nan	nan	nan	1.135e-03	6.246e-04	2.635e-03	2.576e-03	1.537e-03	4.117e-03	2.237e-03	1.582e-03	3.549e-03	nan	nan	nan	nan	nan	nan
1.025e+04	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.585e-03	3.020e-03	9.480e-03	3.886e-03	2.554e-03	6.929e-03	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.476e-02	4.329e-02	4.608e-02	4.419e-02	4.348e-02	4.639e-02	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.509e-03	2.447e-03	7.305e-03	3.389e-03	1.987e-03	7.504e-03
