evals.q.250.	_.circularPointsAiming.10.3.ga.best.fitness	_.circularPointsAiming.10.3.ga.best.fitness.min	_.circularPointsAiming.10.3.ga.best.fitness.max	_.circularPointsAiming.10.3.ga.33.best.fitness	_.circularPointsAiming.10.3.ga.33.best.fitness.min	_.circularPointsAiming.10.3.ga.33.best.fitness.max	_.circularPointsAiming.10.3.pso.best.fitness	_.circularPointsAiming.10.3.pso.best.fitness.min	_.circularPointsAiming.10.3.pso.best.fitness.max	_.circularPointsAiming.10.3.de.best.fitness	_.circularPointsAiming.10.3.de.best.fitness.min	_.circularPointsAiming.10.3.de.best.fitness.max	_.circularPointsAiming.10.3.me.2.best.fitness	_.circularPointsAiming.10.3.me.2.best.fitness.min	_.circularPointsAiming.10.3.me.2.best.fitness.max	_.circularPointsAiming.10.3.cabea.e.11.best.fitness	_.circularPointsAiming.10.3.cabea.e.11.best.fitness.min	_.circularPointsAiming.10.3.cabea.e.11.best.fitness.max	_.circularPointsAiming.10.3.cabea.cc.11.best.fitness	_.circularPointsAiming.10.3.cabea.cc.11.best.fitness.min	_.circularPointsAiming.10.3.cabea.cc.11.best.fitness.max	_.circularPointsAiming.10.3.cabea.e.21.best.fitness	_.circularPointsAiming.10.3.cabea.e.21.best.fitness.min	_.circularPointsAiming.10.3.cabea.e.21.best.fitness.max	_.circularPointsAiming.10.3.cabea.cc.21.best.fitness	_.circularPointsAiming.10.3.cabea.cc.21.best.fitness.min	_.circularPointsAiming.10.3.cabea.cc.21.best.fitness.max
0.000e+00	2.773e+00	2.653e+00	2.844e+00	2.773e+00	2.653e+00	2.844e+00	2.773e+00	2.653e+00	2.844e+00	2.661e+00	2.393e+00	2.924e+00	2.773e+00	2.653e+00	2.844e+00	2.734e+00	2.643e+00	2.830e+00	2.786e+00	2.706e+00	2.868e+00	nan	nan	nan	nan	nan	nan
2.500e+02	2.244e+00	2.033e+00	2.433e+00	2.239e+00	2.004e+00	2.494e+00	1.940e+00	1.658e+00	2.232e+00	1.669e+00	1.245e+00	2.014e+00	2.383e+00	2.232e+00	2.517e+00	2.587e+00	2.415e+00	2.731e+00	2.541e+00	2.339e+00	2.707e+00	nan	nan	nan	2.541e+00	2.478e+00	2.653e+00
5.000e+02	1.405e+00	1.137e+00	1.606e+00	1.485e+00	1.243e+00	1.692e+00	1.221e+00	1.029e+00	1.505e+00	8.542e-01	5.330e-01	1.232e+00	2.144e+00	1.992e+00	2.247e+00	2.316e+00	2.130e+00	2.460e+00	2.113e+00	1.898e+00	2.242e+00	2.527e+00	2.450e+00	2.580e+00	nan	nan	nan
7.500e+02	8.641e-01	7.561e-01	9.583e-01	9.903e-01	8.442e-01	1.085e+00	8.880e-01	7.237e-01	1.046e+00	5.548e-01	2.839e-01	1.052e+00	1.957e+00	1.775e+00	2.063e+00	2.000e+00	1.872e+00	2.204e+00	1.796e+00	1.659e+00	1.949e+00	nan	nan	nan	2.467e+00	2.310e+00	2.527e+00
1.000e+03	6.693e-01	5.738e-01	7.236e-01	7.354e-01	6.545e-01	8.178e-01	7.038e-01	6.033e-01	8.526e-01	4.662e-01	1.970e-01	1.029e+00	1.857e+00	1.721e+00	2.001e+00	1.841e+00	1.664e+00	1.947e+00	1.525e+00	1.348e+00	1.643e+00	2.364e+00	2.213e+00	2.512e+00	2.352e+00	2.155e+00	2.467e+00
1.250e+03	5.640e-01	5.061e-01	6.089e-01	6.375e-01	5.926e-01	6.911e-01	5.399e-01	4.323e-01	6.731e-01	4.318e-01	1.221e-01	1.027e+00	1.738e+00	1.656e+00	1.884e+00	1.701e+00	1.495e+00	1.797e+00	1.226e+00	1.063e+00	1.316e+00	2.230e+00	2.057e+00	2.326e+00	2.190e+00	2.031e+00	2.303e+00
1.500e+03	5.061e-01	4.558e-01	5.649e-01	5.610e-01	4.900e-01	6.260e-01	4.341e-01	3.525e-01	5.028e-01	4.255e-01	9.829e-02	1.025e+00	1.663e+00	1.543e+00	1.800e+00	1.494e+00	1.340e+00	1.626e+00	1.060e+00	8.615e-01	1.171e+00	nan	nan	nan	nan	nan	nan
1.750e+03	4.802e-01	4.369e-01	5.151e-01	5.115e-01	4.795e-01	5.948e-01	3.396e-01	2.659e-01	3.869e-01	4.242e-01	8.828e-02	1.024e+00	1.578e+00	1.487e+00	1.680e+00	1.382e+00	1.205e+00	1.494e+00	8.556e-01	8.035e-01	9.778e-01	2.129e+00	1.975e+00	2.213e+00	2.054e+00	1.964e+00	2.159e+00
2.000e+03	4.558e-01	4.237e-01	4.889e-01	5.012e-01	4.684e-01	5.550e-01	2.698e-01	2.022e-01	3.224e-01	4.235e-01	8.810e-02	1.024e+00	1.525e+00	1.405e+00	1.578e+00	1.217e+00	1.146e+00	1.382e+00	8.062e-01	7.627e-01	8.495e-01	nan	nan	nan	1.902e+00	1.716e+00	2.077e+00
2.250e+03	4.442e-01	4.090e-01	4.734e-01	4.952e-01	4.557e-01	5.289e-01	2.109e-01	1.679e-01	2.779e-01	4.233e-01	8.801e-02	1.024e+00	1.434e+00	1.316e+00	1.538e+00	1.165e+00	1.029e+00	1.240e+00	7.680e-01	6.966e-01	8.136e-01	1.979e+00	1.924e+00	2.088e+00	1.832e+00	1.705e+00	1.969e+00
2.500e+03	4.283e-01	3.977e-01	4.701e-01	4.943e-01	4.331e-01	5.275e-01	1.680e-01	1.272e-01	2.319e-01	4.232e-01	8.799e-02	1.023e+00	1.360e+00	1.267e+00	1.463e+00	1.062e+00	9.513e-01	1.140e+00	6.913e-01	6.538e-01	7.627e-01	nan	nan	nan	nan	nan	nan
2.750e+03	4.237e-01	3.977e-01	4.632e-01	4.745e-01	4.284e-01	5.183e-01	1.408e-01	1.036e-01	1.950e-01	4.230e-01	8.799e-02	1.023e+00	1.303e+00	1.163e+00	1.369e+00	9.763e-01	8.530e-01	1.083e+00	6.611e-01	5.834e-01	7.008e-01	1.948e+00	1.822e+00	2.008e+00	1.758e+00	1.531e+00	1.871e+00
3.000e+03	4.193e-01	3.828e-01	4.415e-01	4.684e-01	4.247e-01	5.113e-01	1.121e-01	7.926e-02	1.585e-01	4.204e-01	8.799e-02	1.023e+00	1.246e+00	1.157e+00	1.368e+00	9.238e-01	8.340e-01	1.011e+00	5.963e-01	5.328e-01	6.690e-01	1.802e+00	1.579e+00	1.924e+00	1.668e+00	1.479e+00	1.788e+00
3.250e+03	4.114e-01	3.828e-01	4.415e-01	4.623e-01	4.213e-01	4.800e-01	9.368e-02	6.638e-02	1.172e-01	4.179e-01	8.799e-02	1.023e+00	1.179e+00	1.117e+00	1.303e+00	8.340e-01	7.565e-01	9.500e-01	5.814e-01	5.234e-01	6.425e-01	nan	nan	nan	1.566e+00	1.382e+00	1.679e+00
3.500e+03	4.109e-01	3.828e-01	4.415e-01	4.458e-01	4.213e-01	4.800e-01	7.005e-02	5.301e-02	1.050e-01	4.172e-01	8.799e-02	1.023e+00	1.156e+00	9.982e-01	1.293e+00	7.897e-01	6.752e-01	8.517e-01	5.757e-01	5.234e-01	6.421e-01	1.669e+00	1.552e+00	1.785e+00	1.476e+00	1.362e+00	1.534e+00
3.750e+03	4.090e-01	3.609e-01	4.293e-01	4.331e-01	4.196e-01	4.745e-01	5.952e-02	3.737e-02	8.999e-02	4.169e-01	8.799e-02	1.023e+00	1.120e+00	9.963e-01	1.179e+00	7.275e-01	6.601e-01	8.340e-01	5.493e-01	4.815e-01	6.074e-01	nan	nan	nan	nan	nan	nan
4.000e+03	4.082e-01	3.335e-01	4.293e-01	4.310e-01	3.836e-01	4.623e-01	4.655e-02	3.451e-02	6.624e-02	4.166e-01	8.799e-02	1.023e+00	1.067e+00	9.457e-01	1.172e+00	6.712e-01	6.266e-01	7.579e-01	5.486e-01	4.787e-01	5.814e-01	1.579e+00	1.515e+00	1.670e+00	1.382e+00	1.283e+00	1.469e+00
4.250e+03	4.082e-01	3.335e-01	4.293e-01	4.247e-01	3.798e-01	4.536e-01	3.817e-02	2.640e-02	5.638e-02	4.162e-01	8.799e-02	1.023e+00	9.673e-01	9.015e-01	1.093e+00	6.313e-01	5.929e-01	7.158e-01	5.234e-01	4.560e-01	5.683e-01	nan	nan	nan	1.302e+00	1.151e+00	1.410e+00
4.500e+03	4.033e-01	3.327e-01	4.267e-01	4.247e-01	3.785e-01	4.458e-01	3.223e-02	2.051e-02	4.557e-02	4.159e-01	8.799e-02	1.023e+00	9.582e-01	9.015e-01	1.042e+00	6.113e-01	5.871e-01	6.839e-01	4.815e-01	4.452e-01	5.485e-01	1.528e+00	1.455e+00	1.598e+00	1.195e+00	9.867e-01	1.298e+00
4.750e+03	4.033e-01	3.327e-01	4.247e-01	4.233e-01	3.785e-01	4.458e-01	2.642e-02	1.760e-02	3.908e-02	4.155e-01	8.799e-02	1.023e+00	9.268e-01	8.250e-01	1.020e+00	6.096e-01	5.831e-01	6.316e-01	4.787e-01	4.323e-01	5.369e-01	1.380e+00	1.256e+00	1.528e+00	nan	nan	nan
5.000e+03	4.003e-01	3.327e-01	4.193e-01	4.208e-01	3.679e-01	4.458e-01	2.150e-02	1.382e-02	3.350e-02	4.154e-01	8.799e-02	1.023e+00	9.241e-01	8.028e-01	1.003e+00	5.975e-01	5.798e-01	6.309e-01	4.605e-01	4.105e-01	5.337e-01	nan	nan	nan	1.132e+00	9.473e-01	1.227e+00
5.250e+03	4.003e-01	3.297e-01	4.165e-01	4.196e-01	3.679e-01	4.401e-01	1.804e-02	1.204e-02	2.946e-02	4.153e-01	8.799e-02	1.023e+00	8.929e-01	7.401e-01	9.582e-01	5.929e-01	5.529e-01	6.144e-01	4.605e-01	4.105e-01	5.163e-01	1.264e+00	1.137e+00	1.497e+00	1.115e+00	9.473e-01	1.203e+00
5.500e+03	3.977e-01	3.297e-01	4.090e-01	4.119e-01	3.662e-01	4.331e-01	1.569e-02	9.324e-03	2.633e-02	4.153e-01	8.799e-02	1.023e+00	8.857e-01	7.258e-01	9.410e-01	5.811e-01	5.387e-01	6.091e-01	4.560e-01	4.105e-01	4.815e-01	nan	nan	nan	1.084e+00	9.473e-01	1.160e+00
5.750e+03	3.977e-01	3.297e-01	4.090e-01	4.048e-01	3.658e-01	4.284e-01	1.276e-02	8.258e-03	1.893e-02	4.153e-01	8.799e-02	1.023e+00	8.442e-01	7.106e-01	9.268e-01	5.529e-01	5.044e-01	5.929e-01	4.559e-01	4.105e-01	4.815e-01	1.216e+00	1.112e+00	1.299e+00	nan	nan	nan
6.000e+03	3.977e-01	3.297e-01	4.090e-01	4.048e-01	3.658e-01	4.276e-01	1.041e-02	6.533e-03	1.588e-02	4.152e-01	8.799e-02	1.023e+00	8.355e-01	7.106e-01	8.818e-01	5.421e-01	5.044e-01	5.871e-01	4.559e-01	4.105e-01	4.801e-01	nan	nan	nan	1.014e+00	9.229e-01	1.114e+00
6.250e+03	3.977e-01	3.297e-01	4.090e-01	3.984e-01	3.658e-01	4.247e-01	9.268e-03	5.391e-03	1.253e-02	4.152e-01	8.799e-02	1.023e+00	8.204e-01	6.948e-01	8.569e-01	5.421e-01	4.830e-01	5.831e-01	4.558e-01	4.076e-01	4.801e-01	1.191e+00	1.099e+00	1.276e+00	9.531e-01	9.060e-01	1.043e+00
6.500e+03	3.977e-01	3.297e-01	4.090e-01	3.879e-01	3.599e-01	4.233e-01	7.709e-03	4.856e-03	1.148e-02	4.152e-01	8.799e-02	1.023e+00	7.624e-01	6.711e-01	8.357e-01	5.308e-01	4.830e-01	5.663e-01	4.556e-01	4.076e-01	4.753e-01	1.137e+00	1.027e+00	1.199e+00	9.254e-01	8.046e-01	9.742e-01
6.750e+03	3.977e-01	3.297e-01	4.082e-01	3.879e-01	3.599e-01	4.208e-01	6.921e-03	4.491e-03	1.005e-02	4.152e-01	8.799e-02	1.023e+00	7.519e-01	6.711e-01	8.355e-01	5.223e-01	4.676e-01	5.574e-01	4.323e-01	4.069e-01	4.746e-01	nan	nan	nan	nan	nan	nan
7.000e+03	3.853e-01	3.297e-01	4.082e-01	3.869e-01	3.599e-01	4.196e-01	5.819e-03	3.686e-03	8.022e-03	4.152e-01	8.799e-02	1.023e+00	7.401e-01	6.711e-01	8.299e-01	5.044e-01	4.664e-01	5.421e-01	4.276e-01	4.069e-01	4.684e-01	1.067e+00	9.831e-01	1.137e+00	9.138e-01	7.927e-01	9.638e-01
7.250e+03	3.853e-01	3.297e-01	4.073e-01	3.836e-01	3.599e-01	4.179e-01	5.043e-03	2.841e-03	6.596e-03	4.152e-01	8.799e-02	1.023e+00	7.390e-01	6.706e-01	8.163e-01	5.044e-01	4.664e-01	5.419e-01	4.275e-01	3.927e-01	4.684e-01	nan	nan	nan	8.664e-01	7.751e-01	9.460e-01
7.500e+03	3.853e-01	3.297e-01	4.073e-01	3.836e-01	3.525e-01	4.178e-01	3.877e-03	2.409e-03	5.831e-03	4.152e-01	8.799e-02	1.023e+00	7.242e-01	6.706e-01	7.640e-01	4.830e-01	4.496e-01	5.375e-01	4.230e-01	3.927e-01	4.625e-01	1.027e+00	9.645e-01	1.104e+00	8.664e-01	7.751e-01	9.247e-01
7.750e+03	3.853e-01	3.297e-01	4.073e-01	3.836e-01	3.525e-01	4.178e-01	3.260e-03	1.908e-03	5.075e-03	4.152e-01	8.799e-02	1.023e+00	7.181e-01	6.706e-01	7.532e-01	4.735e-01	4.461e-01	5.338e-01	4.230e-01	3.927e-01	4.561e-01	nan	nan	nan	nan	nan	nan
8.000e+03	3.830e-01	3.269e-01	4.051e-01	3.836e-01	3.326e-01	4.178e-01	2.339e-03	1.625e-03	4.251e-03	4.152e-01	8.799e-02	1.023e+00	7.106e-01	6.596e-01	7.401e-01	4.693e-01	4.457e-01	5.338e-01	4.189e-01	3.924e-01	4.560e-01	9.690e-01	8.915e-01	1.039e+00	8.058e-01	7.479e-01	8.664e-01
8.250e+03	3.828e-01	3.269e-01	4.033e-01	3.836e-01	3.326e-01	4.178e-01	2.002e-03	1.396e-03	3.431e-03	4.152e-01	8.799e-02	1.023e+00	7.055e-01	6.512e-01	7.245e-01	4.693e-01	4.449e-01	5.208e-01	4.115e-01	3.870e-01	4.558e-01	nan	nan	nan	8.009e-01	7.109e-01	8.664e-01
8.500e+03	3.794e-01	3.268e-01	4.003e-01	3.836e-01	3.209e-01	4.178e-01	1.666e-03	1.175e-03	2.863e-03	4.152e-01	8.799e-02	1.023e+00	6.981e-01	6.512e-01	7.182e-01	4.693e-01	4.390e-01	5.044e-01	4.115e-01	3.870e-01	4.474e-01	9.302e-01	8.241e-01	9.713e-01	7.751e-01	6.978e-01	8.352e-01
8.750e+03	3.684e-01	3.268e-01	4.003e-01	3.754e-01	3.209e-01	4.178e-01	1.395e-03	1.042e-03	2.586e-03	4.152e-01	8.799e-02	1.023e+00	6.947e-01	6.076e-01	7.179e-01	4.664e-01	4.273e-01	5.006e-01	4.105e-01	3.870e-01	4.404e-01	8.625e-01	7.815e-01	9.302e-01	nan	nan	nan
9.000e+03	3.609e-01	3.268e-01	3.945e-01	3.754e-01	2.986e-01	4.024e-01	1.161e-03	8.669e-04	2.001e-03	4.152e-01	8.799e-02	1.023e+00	6.711e-01	6.044e-01	7.179e-01	4.638e-01	4.273e-01	5.006e-01	4.105e-01	3.870e-01	4.404e-01	nan	nan	nan	7.661e-01	6.841e-01	8.009e-01
9.250e+03	3.609e-01	3.268e-01	3.945e-01	3.679e-01	2.986e-01	4.024e-01	1.084e-03	6.911e-04	1.584e-03	4.152e-01	8.799e-02	1.023e+00	6.706e-01	5.961e-01	7.179e-01	4.638e-01	4.272e-01	4.883e-01	4.105e-01	3.858e-01	4.404e-01	8.503e-01	7.815e-01	9.221e-01	7.479e-01	6.753e-01	7.919e-01
9.500e+03	3.609e-01	3.268e-01	3.945e-01	3.662e-01	2.986e-01	3.932e-01	9.104e-04	5.869e-04	1.287e-03	4.152e-01	8.799e-02	1.023e+00	6.706e-01	5.961e-01	7.055e-01	4.625e-01	4.214e-01	4.830e-01	4.069e-01	3.728e-01	4.323e-01	nan	nan	nan	7.175e-01	6.644e-01	7.773e-01
9.750e+03	3.428e-01	3.161e-01	3.872e-01	3.662e-01	2.986e-01	3.879e-01	7.875e-04	5.285e-04	1.135e-03	4.152e-01	8.799e-02	1.023e+00	6.706e-01	5.961e-01	7.035e-01	4.625e-01	4.178e-01	4.784e-01	4.069e-01	3.728e-01	4.323e-01	8.203e-01	7.724e-01	8.754e-01	6.979e-01	6.448e-01	7.769e-01
1.000e+04	3.428e-01	3.161e-01	3.872e-01	3.651e-01	2.986e-01	3.879e-01	6.842e-04	4.518e-04	8.927e-04	4.152e-01	8.799e-02	1.023e+00	6.631e-01	5.936e-01	7.035e-01	4.496e-01	4.158e-01	4.760e-01	4.069e-01	3.728e-01	4.323e-01	nan	nan	nan	nan	nan	nan
1.025e+04	3.428e-01	3.161e-01	3.872e-01	3.651e-01	2.986e-01	3.879e-01	5.717e-04	3.612e-04	7.482e-04	4.152e-01	8.799e-02	1.023e+00	6.631e-01	5.936e-01	7.015e-01	4.496e-01	4.130e-01	4.735e-01	4.064e-01	3.728e-01	4.276e-01	7.969e-01	7.271e-01	8.711e-01	6.814e-01	6.192e-01	7.583e-01
1.050e+04	3.428e-01	3.161e-01	3.872e-01	3.651e-01	2.986e-01	3.875e-01	4.523e-04	3.067e-04	5.921e-04	4.152e-01	8.799e-02	1.023e+00	6.383e-01	5.772e-01	6.946e-01	4.461e-01	4.130e-01	4.735e-01	4.064e-01	3.638e-01	4.230e-01	7.829e-01	6.886e-01	8.261e-01	6.753e-01	6.046e-01	7.464e-01
1.075e+04	3.428e-01	3.161e-01	3.853e-01	3.546e-01	2.986e-01	3.875e-01	3.741e-04	2.745e-04	5.325e-04	4.152e-01	8.799e-02	1.023e+00	6.076e-01	5.620e-01	6.631e-01	4.449e-01	3.879e-01	4.735e-01	4.024e-01	3.638e-01	4.200e-01	nan	nan	nan	6.371e-01	6.037e-01	6.916e-01
1.100e+04	3.428e-01	3.161e-01	3.841e-01	3.506e-01	2.986e-01	3.875e-01	3.068e-04	2.229e-04	5.008e-04	4.152e-01	8.799e-02	1.023e+00	5.970e-01	5.512e-01	6.512e-01	4.289e-01	3.879e-01	4.735e-01	4.015e-01	3.638e-01	4.200e-01	7.492e-01	6.802e-01	7.994e-01	nan	nan	nan
