evals.q.250.	_.concrete.ga.best.fitness	_.concrete.ga.best.fitness.min	_.concrete.ga.best.fitness.max	_.concrete.cabea.e.11.best.fitness	_.concrete.cabea.e.11.best.fitness.min	_.concrete.cabea.e.11.best.fitness.max	_.concrete.cabea.cc.11.best.fitness	_.concrete.cabea.cc.11.best.fitness.min	_.concrete.cabea.cc.11.best.fitness.max	_.concrete.cabea.e.21.best.fitness	_.concrete.cabea.e.21.best.fitness.min	_.concrete.cabea.e.21.best.fitness.max	_.concrete.cabea.cc.21.best.fitness	_.concrete.cabea.cc.21.best.fitness.min	_.concrete.cabea.cc.21.best.fitness.max	_.energy.efficiency.ga.best.fitness	_.energy.efficiency.ga.best.fitness.min	_.energy.efficiency.ga.best.fitness.max	_.energy.efficiency.cabea.e.11.best.fitness	_.energy.efficiency.cabea.e.11.best.fitness.min	_.energy.efficiency.cabea.e.11.best.fitness.max	_.energy.efficiency.cabea.cc.11.best.fitness	_.energy.efficiency.cabea.cc.11.best.fitness.min	_.energy.efficiency.cabea.cc.11.best.fitness.max	_.energy.efficiency.cabea.e.21.best.fitness	_.energy.efficiency.cabea.e.21.best.fitness.min	_.energy.efficiency.cabea.e.21.best.fitness.max	_.energy.efficiency.cabea.cc.21.best.fitness	_.energy.efficiency.cabea.cc.21.best.fitness.min	_.energy.efficiency.cabea.cc.21.best.fitness.max	_.wine.ga.best.fitness	_.wine.ga.best.fitness.min	_.wine.ga.best.fitness.max	_.wine.cabea.e.11.best.fitness	_.wine.cabea.e.11.best.fitness.min	_.wine.cabea.e.11.best.fitness.max	_.wine.cabea.cc.11.best.fitness	_.wine.cabea.cc.11.best.fitness.min	_.wine.cabea.cc.11.best.fitness.max	_.wine.cabea.e.21.best.fitness	_.wine.cabea.e.21.best.fitness.min	_.wine.cabea.e.21.best.fitness.max	_.wine.cabea.cc.21.best.fitness	_.wine.cabea.cc.21.best.fitness.min	_.wine.cabea.cc.21.best.fitness.max
7.000e+03	1.291e+02	1.101e+02	1.566e+02	1.958e+02	1.853e+02	2.167e+02	1.892e+02	1.802e+02	1.946e+02	2.214e+02	2.049e+02	2.481e+02	2.182e+02	1.975e+02	2.311e+02	1.644e+01	1.359e+01	2.284e+01	2.431e+01	2.082e+01	3.007e+01	2.532e+01	2.364e+01	2.710e+01	3.407e+01	2.658e+01	4.145e+01	2.572e+01	2.397e+01	3.413e+01	6.416e-01	6.276e-01	6.613e-01	7.102e-01	6.725e-01	7.283e-01	6.815e-01	6.583e-01	7.001e-01	7.229e-01	7.026e-01	7.779e-01	7.109e-01	6.949e-01	7.630e-01
7.250e+03	1.238e+02	1.086e+02	1.559e+02	1.958e+02	1.852e+02	2.097e+02	1.892e+02	1.762e+02	1.946e+02	nan	nan	nan	2.165e+02	1.938e+02	2.214e+02	1.644e+01	1.359e+01	2.284e+01	2.412e+01	2.082e+01	2.893e+01	2.532e+01	2.364e+01	2.686e+01	nan	nan	nan	2.572e+01	2.397e+01	3.413e+01	6.409e-01	6.276e-01	6.613e-01	7.102e-01	6.725e-01	7.281e-01	6.688e-01	6.548e-01	6.977e-01	nan	nan	nan	7.103e-01	6.931e-01	7.527e-01
7.500e+03	1.207e+02	1.084e+02	1.544e+02	1.954e+02	1.852e+02	2.097e+02	1.892e+02	1.741e+02	1.940e+02	2.209e+02	2.049e+02	2.428e+02	2.165e+02	1.929e+02	2.214e+02	1.644e+01	1.359e+01	2.284e+01	2.368e+01	2.019e+01	2.768e+01	2.532e+01	2.364e+01	2.686e+01	3.357e+01	2.658e+01	4.145e+01	2.545e+01	2.305e+01	3.128e+01	6.408e-01	6.273e-01	6.613e-01	7.102e-01	6.725e-01	7.262e-01	6.684e-01	6.540e-01	6.926e-01	7.229e-01	7.026e-01	7.779e-01	7.103e-01	6.931e-01	7.467e-01
7.750e+03	1.191e+02	1.084e+02	1.544e+02	1.954e+02	1.852e+02	2.088e+02	1.883e+02	1.722e+02	1.931e+02	nan	nan	nan	nan	nan	nan	1.644e+01	1.359e+01	2.284e+01	2.368e+01	2.019e+01	2.663e+01	2.483e+01	2.322e+01	2.641e+01	nan	nan	nan	nan	nan	nan	6.402e-01	6.273e-01	6.613e-01	7.102e-01	6.725e-01	7.234e-01	6.684e-01	6.533e-01	6.907e-01	nan	nan	nan	nan	nan	nan
8.000e+03	1.190e+02	1.059e+02	1.528e+02	1.954e+02	1.825e+02	2.035e+02	1.879e+02	1.714e+02	1.926e+02	2.209e+02	2.049e+02	2.426e+02	2.108e+02	1.929e+02	2.214e+02	1.644e+01	1.359e+01	2.233e+01	2.368e+01	2.019e+01	2.663e+01	2.474e+01	2.242e+01	2.637e+01	3.332e+01	2.638e+01	4.101e+01	2.545e+01	2.305e+01	3.128e+01	6.391e-01	6.272e-01	6.536e-01	7.102e-01	6.675e-01	7.234e-01	6.684e-01	6.533e-01	6.823e-01	7.192e-01	6.975e-01	7.627e-01	7.096e-01	6.834e-01	7.412e-01
8.250e+03	1.163e+02	1.051e+02	1.528e+02	1.954e+02	1.813e+02	2.032e+02	1.848e+02	1.686e+02	1.920e+02	nan	nan	nan	2.084e+02	1.929e+02	2.214e+02	1.644e+01	1.359e+01	2.222e+01	2.288e+01	2.019e+01	2.663e+01	2.474e+01	2.227e+01	2.604e+01	nan	nan	nan	2.545e+01	2.305e+01	3.128e+01	6.385e-01	6.272e-01	6.534e-01	7.037e-01	6.675e-01	7.234e-01	6.676e-01	6.533e-01	6.823e-01	nan	nan	nan	7.096e-01	6.834e-01	7.412e-01
8.500e+03	1.163e+02	1.051e+02	1.528e+02	1.930e+02	1.813e+02	2.023e+02	1.808e+02	1.579e+02	1.917e+02	2.169e+02	2.049e+02	2.426e+02	2.041e+02	1.920e+02	2.214e+02	1.644e+01	1.359e+01	2.210e+01	2.288e+01	2.019e+01	2.656e+01	2.472e+01	1.943e+01	2.536e+01	3.332e+01	2.608e+01	4.101e+01	2.545e+01	2.298e+01	3.128e+01	6.371e-01	6.272e-01	6.527e-01	7.033e-01	6.675e-01	7.214e-01	6.676e-01	6.533e-01	6.823e-01	7.192e-01	6.975e-01	7.522e-01	7.096e-01	6.834e-01	7.412e-01
8.750e+03	1.162e+02	1.051e+02	1.519e+02	1.919e+02	1.798e+02	2.022e+02	1.762e+02	1.579e+02	1.899e+02	2.104e+02	1.926e+02	2.301e+02	nan	nan	nan	1.644e+01	1.359e+01	2.197e+01	2.288e+01	2.019e+01	2.656e+01	2.443e+01	1.918e+01	2.536e+01	3.190e+01	2.608e+01	4.101e+01	nan	nan	nan	6.371e-01	6.201e-01	6.527e-01	7.033e-01	6.591e-01	7.181e-01	6.676e-01	6.533e-01	6.823e-01	7.192e-01	6.975e-01	7.514e-01	nan	nan	nan
9.000e+03	1.162e+02	1.051e+02	1.519e+02	1.915e+02	1.798e+02	2.022e+02	1.762e+02	1.579e+02	1.899e+02	nan	nan	nan	2.003e+02	1.886e+02	2.214e+02	1.644e+01	1.359e+01	2.185e+01	2.288e+01	2.019e+01	2.656e+01	2.443e+01	1.918e+01	2.536e+01	nan	nan	nan	2.545e+01	2.298e+01	3.128e+01	6.371e-01	6.186e-01	6.497e-01	6.879e-01	6.591e-01	7.181e-01	6.633e-01	6.503e-01	6.823e-01	nan	nan	nan	7.096e-01	6.792e-01	7.398e-01
9.250e+03	1.162e+02	1.051e+02	1.478e+02	1.915e+02	1.789e+02	2.022e+02	1.762e+02	1.579e+02	1.899e+02	2.095e+02	1.924e+02	2.215e+02	2.003e+02	1.871e+02	2.214e+02	1.644e+01	1.359e+01	2.101e+01	2.278e+01	2.019e+01	2.656e+01	2.433e+01	1.899e+01	2.536e+01	2.917e+01	2.588e+01	3.756e+01	2.545e+01	2.298e+01	3.128e+01	6.371e-01	6.186e-01	6.497e-01	6.879e-01	6.590e-01	7.165e-01	6.633e-01	6.496e-01	6.815e-01	7.156e-01	6.975e-01	7.483e-01	7.096e-01	6.792e-01	7.391e-01
9.500e+03	1.162e+02	1.044e+02	1.478e+02	1.895e+02	1.778e+02	1.976e+02	1.749e+02	1.579e+02	1.883e+02	nan	nan	nan	1.987e+02	1.871e+02	2.214e+02	1.644e+01	1.359e+01	2.098e+01	2.278e+01	1.992e+01	2.535e+01	2.433e+01	1.899e+01	2.536e+01	nan	nan	nan	2.468e+01	2.190e+01	3.054e+01	6.370e-01	6.186e-01	6.493e-01	6.868e-01	6.569e-01	7.165e-01	6.633e-01	6.474e-01	6.815e-01	nan	nan	nan	7.078e-01	6.702e-01	7.391e-01
9.750e+03	1.162e+02	1.011e+02	1.467e+02	1.887e+02	1.669e+02	1.949e+02	1.749e+02	1.579e+02	1.883e+02	2.094e+02	1.918e+02	2.204e+02	1.975e+02	1.836e+02	2.193e+02	1.609e+01	1.359e+01	2.095e+01	2.267e+01	1.988e+01	2.535e+01	2.433e+01	1.879e+01	2.536e+01	2.748e+01	2.519e+01	3.357e+01	2.468e+01	2.190e+01	3.054e+01	6.357e-01	6.182e-01	6.493e-01	6.868e-01	6.524e-01	7.165e-01	6.606e-01	6.474e-01	6.815e-01	7.122e-01	6.925e-01	7.425e-01	7.050e-01	6.696e-01	7.368e-01
1.000e+04	1.162e+02	9.880e+01	1.467e+02	1.871e+02	1.669e+02	1.930e+02	1.749e+02	1.570e+02	1.866e+02	nan	nan	nan	nan	nan	nan	1.609e+01	1.359e+01	2.091e+01	2.267e+01	1.988e+01	2.535e+01	2.433e+01	1.879e+01	2.536e+01	nan	nan	nan	nan	nan	nan	6.354e-01	6.176e-01	6.493e-01	6.868e-01	6.524e-01	7.165e-01	6.606e-01	6.474e-01	6.815e-01	nan	nan	nan	nan	nan	nan
1.025e+04	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.094e+02	1.918e+02	2.182e+02	1.975e+02	1.827e+02	2.165e+02	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.748e+01	2.444e+01	3.357e+01	2.468e+01	2.190e+01	3.054e+01	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.098e-01	6.925e-01	7.250e-01	7.005e-01	6.696e-01	7.109e-01
