evals.q.250.	_.mt.25.3.ga.all.each.solution.overall.target.distance	_.mt.25.3.ga.all.each.solution.overall.target.distance.min	_.mt.25.3.ga.all.each.solution.overall.target.distance.max	_.mt.25.3.ga.33.all.each.solution.overall.target.distance	_.mt.25.3.ga.33.all.each.solution.overall.target.distance.min	_.mt.25.3.ga.33.all.each.solution.overall.target.distance.max	_.mt.25.3.me.2.all.each.solution.overall.target.distance	_.mt.25.3.me.2.all.each.solution.overall.target.distance.min	_.mt.25.3.me.2.all.each.solution.overall.target.distance.max	_.mt.25.3.cabea.e.11.all.each.solution.overall.target.distance	_.mt.25.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.mt.25.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.mt.25.3.cabea.cc.11.all.each.solution.overall.target.distance	_.mt.25.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.mt.25.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.mt.25.3.cabea.e.21.all.each.solution.overall.target.distance	_.mt.25.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.mt.25.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.mt.25.3.cabea.cc.21.all.each.solution.overall.target.distance	_.mt.25.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.mt.25.3.cabea.cc.21.all.each.solution.overall.target.distance.max
0.000e+00	7.200e-01	7.067e-01	7.333e-01	7.200e-01	7.067e-01	7.333e-01	7.200e-01	7.067e-01	7.333e-01	7.200e-01	7.067e-01	7.333e-01	7.333e-01	7.200e-01	7.600e-01	nan	nan	nan	nan	nan	nan
2.500e+02	6.667e-01	6.267e-01	6.933e-01	6.800e-01	6.533e-01	7.067e-01	7.067e-01	6.933e-01	7.200e-01	7.067e-01	6.933e-01	7.200e-01	7.200e-01	6.933e-01	7.333e-01	nan	nan	nan	6.933e-01	6.800e-01	7.067e-01
5.000e+02	5.467e-01	5.200e-01	5.867e-01	6.000e-01	5.733e-01	6.267e-01	6.800e-01	6.667e-01	6.933e-01	6.933e-01	6.800e-01	7.067e-01	6.933e-01	6.667e-01	7.067e-01	6.933e-01	6.800e-01	6.933e-01	nan	nan	nan
7.500e+02	4.800e-01	4.533e-01	5.067e-01	5.600e-01	5.333e-01	5.733e-01	6.667e-01	6.533e-01	6.800e-01	6.800e-01	6.533e-01	6.933e-01	6.533e-01	6.400e-01	6.800e-01	nan	nan	nan	6.933e-01	6.800e-01	7.067e-01
1.000e+03	4.533e-01	4.400e-01	4.800e-01	5.333e-01	5.067e-01	5.600e-01	6.400e-01	6.400e-01	6.667e-01	6.533e-01	6.400e-01	6.667e-01	6.267e-01	6.133e-01	6.400e-01	6.800e-01	6.667e-01	6.933e-01	6.800e-01	6.533e-01	6.933e-01
1.250e+03	4.400e-01	4.133e-01	4.533e-01	5.067e-01	4.800e-01	5.200e-01	6.400e-01	6.133e-01	6.533e-01	6.400e-01	6.133e-01	6.400e-01	6.133e-01	5.733e-01	6.267e-01	6.800e-01	6.533e-01	6.933e-01	6.667e-01	6.400e-01	6.800e-01
1.500e+03	4.267e-01	4.000e-01	4.400e-01	4.800e-01	4.667e-01	4.933e-01	6.133e-01	6.000e-01	6.400e-01	6.133e-01	6.133e-01	6.267e-01	5.733e-01	5.600e-01	6.000e-01	nan	nan	nan	nan	nan	nan
1.750e+03	4.133e-01	4.000e-01	4.400e-01	4.667e-01	4.400e-01	4.800e-01	6.000e-01	5.867e-01	6.267e-01	6.000e-01	5.867e-01	6.133e-01	5.467e-01	5.333e-01	5.600e-01	6.667e-01	6.533e-01	6.800e-01	6.533e-01	6.400e-01	6.667e-01
2.000e+03	4.133e-01	4.000e-01	4.267e-01	4.400e-01	4.133e-01	4.533e-01	5.867e-01	5.733e-01	6.133e-01	5.867e-01	5.600e-01	6.000e-01	5.200e-01	5.067e-01	5.333e-01	nan	nan	nan	6.400e-01	6.267e-01	6.667e-01
2.250e+03	4.133e-01	4.000e-01	4.267e-01	4.267e-01	4.133e-01	4.533e-01	5.867e-01	5.600e-01	6.133e-01	5.600e-01	5.467e-01	5.867e-01	5.067e-01	4.800e-01	5.200e-01	6.533e-01	6.400e-01	6.667e-01	6.400e-01	6.267e-01	6.533e-01
2.500e+03	4.267e-01	4.133e-01	4.267e-01	4.267e-01	4.133e-01	4.400e-01	5.733e-01	5.600e-01	5.867e-01	5.467e-01	5.200e-01	5.733e-01	4.800e-01	4.533e-01	4.933e-01	nan	nan	nan	nan	nan	nan
2.750e+03	4.267e-01	4.133e-01	4.267e-01	4.133e-01	4.000e-01	4.400e-01	5.600e-01	5.467e-01	5.867e-01	5.333e-01	4.933e-01	5.467e-01	4.533e-01	4.267e-01	4.800e-01	6.533e-01	6.267e-01	6.533e-01	6.267e-01	6.133e-01	6.400e-01
3.000e+03	4.267e-01	4.267e-01	4.267e-01	4.133e-01	4.000e-01	4.267e-01	5.600e-01	5.333e-01	5.733e-01	5.200e-01	4.933e-01	5.467e-01	4.400e-01	4.133e-01	4.533e-01	6.400e-01	6.133e-01	6.533e-01	6.267e-01	6.000e-01	6.267e-01
3.250e+03	4.267e-01	4.267e-01	4.267e-01	4.133e-01	4.000e-01	4.267e-01	5.467e-01	5.333e-01	5.600e-01	5.067e-01	4.800e-01	5.200e-01	4.133e-01	3.867e-01	4.400e-01	nan	nan	nan	6.133e-01	5.867e-01	6.267e-01
3.500e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.333e-01	5.200e-01	5.600e-01	4.933e-01	4.667e-01	5.067e-01	4.000e-01	3.733e-01	4.267e-01	6.267e-01	6.133e-01	6.400e-01	6.000e-01	5.867e-01	6.133e-01
3.750e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.333e-01	5.067e-01	5.600e-01	4.667e-01	4.400e-01	4.933e-01	3.733e-01	3.467e-01	4.000e-01	nan	nan	nan	nan	nan	nan
4.000e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.200e-01	5.067e-01	5.467e-01	4.533e-01	4.267e-01	4.667e-01	3.600e-01	3.333e-01	3.733e-01	6.267e-01	6.000e-01	6.267e-01	5.867e-01	5.733e-01	6.000e-01
4.250e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.200e-01	5.067e-01	5.467e-01	4.400e-01	4.267e-01	4.667e-01	3.467e-01	3.200e-01	3.600e-01	nan	nan	nan	5.733e-01	5.733e-01	6.000e-01
4.500e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.200e-01	4.933e-01	5.333e-01	4.267e-01	4.133e-01	4.533e-01	3.200e-01	2.933e-01	3.467e-01	6.133e-01	5.867e-01	6.133e-01	5.733e-01	5.600e-01	5.733e-01
4.750e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.200e-01	4.933e-01	5.333e-01	4.133e-01	4.000e-01	4.267e-01	3.067e-01	2.800e-01	3.333e-01	6.000e-01	5.867e-01	6.133e-01	nan	nan	nan
5.000e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.200e-01	4.933e-01	5.200e-01	4.133e-01	3.867e-01	4.133e-01	2.933e-01	2.800e-01	3.200e-01	nan	nan	nan	5.600e-01	5.467e-01	5.733e-01
5.250e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	5.067e-01	4.800e-01	5.200e-01	3.867e-01	3.733e-01	4.133e-01	2.933e-01	2.533e-01	3.067e-01	5.867e-01	5.733e-01	6.000e-01	5.600e-01	5.467e-01	5.733e-01
5.500e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.933e-01	4.800e-01	5.200e-01	3.867e-01	3.733e-01	4.000e-01	2.667e-01	2.400e-01	2.933e-01	nan	nan	nan	5.600e-01	5.333e-01	5.733e-01
5.750e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.933e-01	4.667e-01	5.067e-01	3.733e-01	3.600e-01	3.867e-01	2.533e-01	2.267e-01	2.800e-01	5.733e-01	5.600e-01	5.867e-01	nan	nan	nan
6.000e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.933e-01	4.533e-01	5.067e-01	3.600e-01	3.467e-01	3.867e-01	2.400e-01	2.133e-01	2.667e-01	nan	nan	nan	5.467e-01	5.200e-01	5.600e-01
6.250e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.800e-01	4.533e-01	4.933e-01	3.600e-01	3.333e-01	3.733e-01	2.267e-01	2.000e-01	2.533e-01	5.733e-01	5.600e-01	5.867e-01	5.333e-01	5.200e-01	5.467e-01
6.500e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.800e-01	4.533e-01	4.933e-01	3.333e-01	3.200e-01	3.600e-01	2.133e-01	1.867e-01	2.533e-01	5.600e-01	5.467e-01	5.733e-01	5.200e-01	5.067e-01	5.333e-01
6.750e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.800e-01	4.400e-01	4.933e-01	3.200e-01	3.067e-01	3.600e-01	2.000e-01	1.733e-01	2.267e-01	nan	nan	nan	nan	nan	nan
7.000e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.667e-01	4.400e-01	4.933e-01	3.200e-01	2.933e-01	3.467e-01	1.867e-01	1.600e-01	2.267e-01	5.600e-01	5.467e-01	5.733e-01	5.200e-01	4.933e-01	5.333e-01
7.250e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.667e-01	4.400e-01	4.800e-01	3.067e-01	2.800e-01	3.333e-01	1.733e-01	1.467e-01	2.133e-01	nan	nan	nan	5.067e-01	4.933e-01	5.200e-01
7.500e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.667e-01	4.267e-01	4.800e-01	2.933e-01	2.800e-01	3.200e-01	1.600e-01	1.467e-01	2.133e-01	5.467e-01	5.333e-01	5.600e-01	4.933e-01	4.800e-01	5.200e-01
7.750e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.533e-01	4.133e-01	4.800e-01	2.800e-01	2.533e-01	2.933e-01	1.600e-01	1.333e-01	2.000e-01	nan	nan	nan	nan	nan	nan
8.000e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.533e-01	4.133e-01	4.667e-01	2.800e-01	2.400e-01	2.933e-01	1.467e-01	1.200e-01	2.000e-01	5.333e-01	5.200e-01	5.467e-01	4.933e-01	4.800e-01	5.200e-01
8.250e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.400e-01	4.133e-01	4.667e-01	2.667e-01	2.400e-01	2.800e-01	1.333e-01	1.200e-01	1.867e-01	nan	nan	nan	4.800e-01	4.667e-01	4.933e-01
8.500e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.400e-01	4.133e-01	4.667e-01	2.533e-01	2.267e-01	2.667e-01	1.200e-01	1.067e-01	1.733e-01	5.200e-01	5.067e-01	5.333e-01	4.800e-01	4.667e-01	4.933e-01
8.750e+03	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.267e-01	4.400e-01	4.000e-01	4.533e-01	2.400e-01	2.267e-01	2.667e-01	1.200e-01	9.333e-02	1.733e-01	5.200e-01	5.067e-01	5.333e-01	nan	nan	nan
