x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
2	8	5.021e+00	6.759e+00	5.021e+00	7.629e+00	3.064e+00	5.591e+00	3.064e+00	7.046e+00	2.170e+00	4.410e+00	2.170e+00	6.039e+00	1.518e+00	5.456e+00	1.518e+00	6.456e+00	1.446e+00	5.655e+00	1.446e+00	6.876e+00	1.446e+00	5.655e+00	1.446e+00	6.876e+00	1.402e+00	5.495e+00	1.402e+00	6.946e+00	1.402e+00	5.495e+00	1.402e+00	6.946e+00	1.402e+00	5.495e+00	1.402e+00	6.946e+00
2	9	6.079e+00	6.416e+00	6.079e+00	7.819e+00	3.042e+00	4.912e+00	3.042e+00	6.787e+00	2.216e+00	4.910e+00	2.216e+00	6.623e+00	1.949e+00	5.272e+00	1.949e+00	6.666e+00	1.715e+00	5.765e+00	1.715e+00	6.840e+00	1.715e+00	5.765e+00	1.715e+00	6.840e+00	1.715e+00	5.765e+00	1.715e+00	6.840e+00	1.549e+00	5.539e+00	1.549e+00	7.017e+00	1.549e+00	5.539e+00	1.549e+00	7.017e+00
2	10	6.082e+00	6.102e+00	6.082e+00	7.301e+00	2.863e+00	4.991e+00	2.863e+00	6.374e+00	1.880e+00	4.802e+00	1.880e+00	6.694e+00	1.772e+00	5.523e+00	1.772e+00	7.148e+00	1.591e+00	5.850e+00	1.591e+00	6.987e+00	1.374e+00	5.713e+00	1.374e+00	6.936e+00	1.374e+00	5.713e+00	1.374e+00	6.936e+00	1.374e+00	5.713e+00	1.374e+00	6.936e+00	1.374e+00	5.713e+00	1.374e+00	6.936e+00
3	0	7.073e+00	7.302e+00	7.073e+00	9.148e+00	3.377e+00	6.058e+00	3.377e+00	6.218e+00	1.899e+00	5.046e+00	1.899e+00	6.567e+00	1.590e+00	5.089e+00	1.590e+00	6.341e+00	1.590e+00	5.089e+00	1.590e+00	6.341e+00	1.590e+00	5.089e+00	1.590e+00	6.341e+00	1.590e+00	5.089e+00	1.590e+00	6.341e+00	1.581e+00	5.081e+00	1.581e+00	6.652e+00	1.367e+00	4.812e+00	1.367e+00	6.555e+00
3	1	5.673e+00	6.105e+00	5.673e+00	8.155e+00	3.620e+00	5.946e+00	3.620e+00	7.225e+00	2.068e+00	5.020e+00	2.068e+00	5.789e+00	1.767e+00	4.967e+00	1.767e+00	6.370e+00	1.767e+00	4.967e+00	1.767e+00	6.370e+00	1.620e+00	4.932e+00	1.620e+00	6.423e+00	1.507e+00	5.066e+00	1.507e+00	6.684e+00	1.335e+00	5.424e+00	1.335e+00	6.635e+00	1.335e+00	5.424e+00	1.335e+00	6.635e+00
3	2	5.723e+00	6.415e+00	5.723e+00	7.672e+00	3.056e+00	5.681e+00	3.056e+00	7.178e+00	1.931e+00	5.669e+00	1.931e+00	6.876e+00	1.931e+00	5.669e+00	1.931e+00	6.876e+00	1.766e+00	5.339e+00	1.766e+00	6.548e+00	1.481e+00	5.568e+00	1.481e+00	6.637e+00	1.481e+00	5.568e+00	1.481e+00	6.637e+00	1.481e+00	5.568e+00	1.481e+00	6.637e+00	1.481e+00	5.568e+00	1.481e+00	6.637e+00
3	3	6.439e+00	6.867e+00	6.439e+00	8.030e+00	3.372e+00	5.271e+00	3.372e+00	6.325e+00	1.903e+00	4.885e+00	1.903e+00	6.264e+00	1.735e+00	4.798e+00	1.735e+00	5.986e+00	1.425e+00	5.661e+00	1.425e+00	6.861e+00	1.425e+00	5.661e+00	1.425e+00	6.861e+00	1.425e+00	5.661e+00	1.425e+00	6.861e+00	1.425e+00	5.661e+00	1.425e+00	6.861e+00	1.425e+00	5.661e+00	1.425e+00	6.861e+00
3	4	5.531e+00	6.822e+00	5.531e+00	8.618e+00	2.749e+00	5.118e+00	2.749e+00	6.712e+00	2.115e+00	5.602e+00	2.115e+00	7.144e+00	1.593e+00	5.027e+00	1.593e+00	6.446e+00	1.593e+00	5.027e+00	1.593e+00	6.446e+00	1.593e+00	5.027e+00	1.593e+00	6.446e+00	1.593e+00	5.027e+00	1.593e+00	6.446e+00	1.569e+00	5.250e+00	1.569e+00	6.441e+00	1.487e+00	4.724e+00	1.487e+00	6.299e+00
3	5	5.742e+00	6.275e+00	5.742e+00	7.924e+00	3.249e+00	4.889e+00	3.249e+00	6.961e+00	2.577e+00	5.677e+00	2.577e+00	6.153e+00	1.810e+00	5.271e+00	1.810e+00	6.834e+00	1.803e+00	5.296e+00	1.803e+00	6.512e+00	1.803e+00	5.296e+00	1.803e+00	6.512e+00	1.649e+00	5.441e+00	1.649e+00	6.410e+00	1.648e+00	5.129e+00	1.648e+00	6.704e+00	1.646e+00	5.154e+00	1.646e+00	6.911e+00
3	6	6.455e+00	6.783e+00	6.455e+00	7.437e+00	2.520e+00	5.019e+00	2.520e+00	6.697e+00	1.908e+00	5.010e+00	1.908e+00	6.558e+00	1.908e+00	5.010e+00	1.908e+00	6.558e+00	1.823e+00	5.205e+00	1.823e+00	6.868e+00	1.730e+00	4.961e+00	1.730e+00	6.951e+00	1.730e+00	4.961e+00	1.730e+00	6.951e+00	1.576e+00	5.243e+00	1.576e+00	6.315e+00	1.576e+00	5.243e+00	1.576e+00	6.315e+00
