_.mt.100.3.cabea.cc.11	_.mt.100.3.cabea.e.21	_.mt.100.3.cabea.e.11	_.mt.100.3.cabea.cc.21	_.mt.100.3.ga	_.mt.100.3.ga.33	_.mt.100.3.me.2
3.333e-03	4.200e-01	2.400e-01	3.233e-01	4.400e-01	4.400e-01	5.400e-01
2.200e-01	4.267e-01	1.200e-01	3.300e-01	4.400e-01	4.400e-01	3.900e-01
0.000e+00	4.167e-01	3.333e-02	3.100e-01	4.400e-01	4.400e-01	3.900e-01
6.667e-03	4.267e-01	9.000e-02	3.167e-01	4.400e-01	4.400e-01	4.000e-01
2.300e-01	4.067e-01	4.000e-02	3.267e-01	4.400e-01	4.400e-01	3.200e-01
2.667e-02	3.800e-01	3.667e-02	2.900e-01	4.400e-01	4.400e-01	3.867e-01
2.333e-01	4.100e-01	3.333e-02	3.167e-01	4.400e-01	4.400e-01	3.867e-01
2.267e-01	3.933e-01	2.667e-02	3.567e-01	4.400e-01	4.400e-01	3.833e-01
5.333e-02	4.000e-01	1.400e-01	3.533e-01	4.400e-01	4.400e-01	3.433e-01
2.233e-01	4.200e-01	2.433e-01	3.400e-01	4.400e-01	4.400e-01	3.700e-01
2.200e-01	4.200e-01	2.233e-01	3.367e-01	4.400e-01	4.400e-01	3.333e-01
2.333e-02	4.367e-01	2.200e-01	3.400e-01	4.400e-01	4.400e-01	3.933e-01
3.667e-02	4.200e-01	2.233e-01	3.233e-01	4.400e-01	4.400e-01	3.300e-01
2.200e-01	4.200e-01	2.133e-01	3.000e-01	4.400e-01	4.400e-01	3.800e-01
6.667e-03	3.700e-01	2.233e-01	3.367e-01	4.400e-01	4.400e-01	2.633e-01
2.200e-01	4.033e-01	8.333e-02	3.333e-01	4.400e-01	4.400e-01	3.800e-01
1.133e-01	4.267e-01	5.667e-02	3.100e-01	4.400e-01	4.400e-01	3.133e-01
2.267e-01	4.100e-01	4.333e-02	3.433e-01	4.400e-01	4.400e-01	3.700e-01
5.667e-02	4.000e-01	2.200e-01	3.567e-01	4.400e-01	4.400e-01	3.767e-01
2.200e-01	4.200e-01	8.000e-02	3.600e-01	4.400e-01	4.400e-01	2.700e-01
2.200e-01	4.167e-01	2.233e-01	3.533e-01	4.400e-01	4.400e-01	3.367e-01
3.333e-02	4.100e-01	2.200e-01	3.133e-01	4.400e-01	4.400e-01	3.433e-01
1.333e-02	3.933e-01	4.000e-02	3.100e-01	4.400e-01	4.400e-01	3.900e-01
4.400e-01	4.067e-01	2.367e-01	3.533e-01	4.400e-01	4.400e-01	3.067e-01
2.000e-02	4.400e-01	2.433e-01	3.333e-01	4.400e-01	4.400e-01	3.967e-01
6.667e-03	4.167e-01	2.167e-01	3.133e-01	4.400e-01	4.400e-01	4.033e-01
2.133e-01	4.367e-01	3.667e-02	3.533e-01	4.400e-01	4.400e-01	2.867e-01
7.000e-02	3.933e-01	4.000e-02	3.300e-01	4.400e-01	4.400e-01	3.067e-01
6.667e-03	4.367e-01	2.200e-01	3.467e-01	4.400e-01	4.400e-01	3.533e-01
1.667e-02	4.333e-01	5.667e-02	3.167e-01	4.400e-01	4.400e-01	2.567e-01
