_.circularPointsAiming.25.3.de	_.circularPointsAiming.25.3.cabea.cc.11	_.circularPointsAiming.25.3.cabea.e.21	_.circularPointsAiming.25.3.cabea.e.11	_.circularPointsAiming.25.3.cabea.cc.21	_.circularPointsAiming.25.3.ga	_.circularPointsAiming.25.3.ga.33	_.circularPointsAiming.25.3.pso	_.circularPointsAiming.25.3.me.2
1.540e+00	1.206e+00	1.189e+00	1.159e+00	9.663e-01	9.351e-01	1.015e+00	4.086e-01	1.524e+00
5.147e-01	1.045e+00	1.168e+00	1.104e+00	1.289e+00	9.486e-01	9.414e-01	2.025e-01	1.452e+00
7.030e-01	1.097e+00	1.158e+00	1.060e+00	1.195e+00	1.011e+00	9.781e-01	3.606e-01	1.647e+00
1.082e+00	9.939e-01	1.103e+00	1.099e+00	1.257e+00	8.434e-01	9.614e-01	2.898e-01	1.290e+00
2.868e-01	9.360e-01	1.243e+00	1.108e+00	1.120e+00	9.630e-01	9.950e-01	5.615e-01	1.554e+00
7.735e-01	9.735e-01	1.321e+00	9.648e-01	1.231e+00	1.028e+00	9.533e-01	2.410e-01	1.346e+00
7.650e-01	1.114e+00	1.335e+00	9.823e-01	1.121e+00	9.846e-01	1.089e+00	2.093e-01	1.588e+00
5.162e-01	1.003e+00	1.058e+00	1.152e+00	1.151e+00	1.040e+00	8.879e-01	2.559e-01	1.350e+00
5.099e-01	1.075e+00	1.062e+00	1.177e+00	1.237e+00	9.501e-01	9.012e-01	5.586e-01	1.429e+00
8.273e-01	1.129e+00	1.206e+00	1.106e+00	1.277e+00	9.770e-01	9.928e-01	1.046e-01	1.469e+00
8.641e-01	1.012e+00	1.226e+00	1.062e+00	1.101e+00	9.739e-01	9.223e-01	1.549e-01	1.622e+00
2.624e-01	1.087e+00	1.236e+00	9.804e-01	1.264e+00	9.104e-01	9.873e-01	2.169e-01	1.663e+00
7.119e-01	8.658e-01	1.310e+00	9.848e-01	1.169e+00	9.023e-01	1.032e+00	2.478e-01	1.459e+00
1.808e+00	1.131e+00	1.310e+00	9.884e-01	1.224e+00	1.003e+00	1.053e+00	4.478e-01	1.327e+00
7.389e-02	1.052e+00	1.282e+00	1.068e+00	1.088e+00	9.404e-01	1.011e+00	4.034e-01	1.555e+00
1.015e+00	1.012e+00	1.257e+00	1.087e+00	1.259e+00	9.863e-01	9.653e-01	4.267e-01	1.433e+00
1.186e+00	1.004e+00	1.372e+00	1.054e+00	1.245e+00	8.826e-01	1.081e+00	3.754e-01	1.552e+00
8.716e-01	1.053e+00	1.169e+00	1.085e+00	1.125e+00	1.013e+00	9.847e-01	2.614e-01	1.598e+00
4.395e-01	9.444e-01	1.288e+00	1.161e+00	1.260e+00	9.399e-01	1.051e+00	2.037e-01	1.442e+00
8.125e-01	1.097e+00	1.406e+00	9.858e-01	1.282e+00	9.473e-01	9.584e-01	4.042e-01	1.624e+00
7.550e-01	1.074e+00	1.261e+00	1.042e+00	1.056e+00	8.814e-01	8.819e-01	3.312e-01	1.667e+00
7.262e-01	1.092e+00	1.056e+00	1.062e+00	1.098e+00	8.505e-01	8.516e-01	3.226e-01	1.606e+00
3.126e-01	1.040e+00	1.313e+00	1.079e+00	1.268e+00	8.978e-01	9.811e-01	4.093e-01	1.516e+00
6.642e-01	9.731e-01	1.338e+00	1.103e+00	1.135e+00	1.026e+00	9.734e-01	3.572e-01	1.540e+00
9.290e-01	1.131e+00	1.257e+00	1.058e+00	1.133e+00	9.806e-01	1.010e+00	2.115e-01	1.608e+00
3.995e-01	1.067e+00	1.208e+00	1.055e+00	1.272e+00	1.001e+00	7.918e-01	2.720e-01	1.523e+00
1.013e+00	8.732e-01	1.284e+00	1.104e+00	1.284e+00	8.704e-01	1.062e+00	2.018e-01	1.444e+00
1.674e+00	1.049e+00	1.308e+00	1.015e+00	1.221e+00	9.132e-01	9.638e-01	3.980e-01	1.554e+00
1.147e+00	1.080e+00	1.329e+00	1.001e+00	1.178e+00	8.597e-01	1.055e+00	2.879e-01	1.574e+00
1.027e+00	1.079e+00	1.326e+00	1.084e+00	9.813e-01	8.613e-01	8.529e-01	1.388e-01	1.484e+00
