_.mt.250.3.cabea.cc.11	_.mt.250.3.cabea.e.21	_.mt.250.3.cabea.e.11	_.mt.250.3.cabea.cc.21	_.mt.250.3.ga	_.mt.250.3.ga.33	_.mt.250.3.me.2
3.013e-01	6.147e-01	2.573e-01	5.613e-01	4.427e-01	4.427e-01	4.840e-01
4.520e-01	5.907e-01	4.667e-01	5.453e-01	4.427e-01	4.427e-01	4.973e-01
3.173e-01	6.027e-01	2.720e-01	5.547e-01	4.427e-01	4.440e-01	4.733e-01
1.947e-01	5.920e-01	3.720e-01	5.427e-01	4.427e-01	4.427e-01	5.053e-01
3.067e-01	5.933e-01	3.147e-01	5.480e-01	4.427e-01	4.427e-01	3.693e-01
1.920e-01	6.307e-01	3.400e-01	5.813e-01	4.427e-01	4.427e-01	4.920e-01
1.507e-01	5.907e-01	2.987e-01	5.560e-01	4.427e-01	4.427e-01	4.707e-01
1.760e-01	6.067e-01	4.520e-01	5.547e-01	4.427e-01	4.427e-01	3.813e-01
3.000e-01	6.013e-01	2.933e-01	5.587e-01	4.427e-01	4.427e-01	3.880e-01
3.067e-01	6.093e-01	3.560e-01	5.627e-01	4.427e-01	4.427e-01	4.573e-01
2.947e-01	6.200e-01	3.067e-01	5.760e-01	4.427e-01	4.427e-01	6.040e-01
1.653e-01	6.093e-01	2.667e-01	5.333e-01	4.427e-01	4.427e-01	4.787e-01
3.067e-01	6.040e-01	2.707e-01	5.520e-01	4.427e-01	4.427e-01	3.440e-01
4.427e-01	6.173e-01	3.853e-01	5.653e-01	4.427e-01	4.427e-01	3.800e-01
2.253e-01	6.000e-01	3.440e-01	5.440e-01	4.427e-01	4.427e-01	3.840e-01
2.933e-01	5.947e-01	4.720e-01	5.587e-01	4.427e-01	4.427e-01	4.360e-01
2.920e-01	6.067e-01	3.400e-01	5.707e-01	4.427e-01	4.427e-01	4.693e-01
3.173e-01	6.067e-01	2.493e-01	5.600e-01	4.427e-01	4.427e-01	4.880e-01
1.627e-01	6.040e-01	3.707e-01	5.680e-01	4.427e-01	4.427e-01	4.707e-01
2.400e-01	6.040e-01	3.640e-01	5.507e-01	4.427e-01	4.427e-01	6.120e-01
3.053e-01	6.373e-01	3.147e-01	5.707e-01	4.427e-01	4.427e-01	3.573e-01
2.027e-01	5.987e-01	2.960e-01	5.427e-01	4.427e-01	4.427e-01	4.773e-01
3.480e-01	6.013e-01	2.733e-01	5.507e-01	4.427e-01	4.427e-01	5.960e-01
1.787e-01	6.147e-01	3.507e-01	5.640e-01	4.427e-01	4.427e-01	4.867e-01
3.627e-01	6.120e-01	2.853e-01	5.427e-01	4.427e-01	4.427e-01	4.560e-01
2.960e-01	6.027e-01	3.333e-01	5.533e-01	4.427e-01	4.427e-01	4.827e-01
1.693e-01	6.000e-01	3.680e-01	5.293e-01	4.427e-01	4.427e-01	3.853e-01
3.453e-01	6.147e-01	2.960e-01	5.347e-01	4.427e-01	4.427e-01	3.613e-01
3.053e-01	5.893e-01	3.520e-01	5.227e-01	4.427e-01	4.440e-01	4.440e-01
2.120e-01	6.160e-01	2.813e-01	5.587e-01	4.427e-01	4.440e-01	5.120e-01
