_.mt2mo.circularPointsAiming.10.2.nsga2	_.mt2mo.circularPointsAiming.10.2.cabea.cc.11	_.mt2mo.circularPointsAiming.10.2.cabea.e.21	_.mt2mo.circularPointsAiming.10.2.cabea.e.11	_.mt2mo.circularPointsAiming.10.2.cabea.cc.21	_.mt2mo.circularPointsAiming.10.2.ga	_.mt2mo.circularPointsAiming.10.2.ga.33	_.mt2mo.circularPointsAiming.10.2.me.2	_.mt2mo.circularPointsAiming.25.2.nsga2	_.mt2mo.circularPointsAiming.25.2.cabea.cc.11	_.mt2mo.circularPointsAiming.25.2.cabea.e.21	_.mt2mo.circularPointsAiming.25.2.cabea.e.11	_.mt2mo.circularPointsAiming.25.2.cabea.cc.21	_.mt2mo.circularPointsAiming.25.2.ga	_.mt2mo.circularPointsAiming.25.2.ga.33	_.mt2mo.circularPointsAiming.25.2.me.2	_.mt2mo.circularPointsAiming.50.2.nsga2	_.mt2mo.circularPointsAiming.50.2.cabea.cc.11	_.mt2mo.circularPointsAiming.50.2.cabea.e.21	_.mt2mo.circularPointsAiming.50.2.cabea.e.11	_.mt2mo.circularPointsAiming.50.2.cabea.cc.21	_.mt2mo.circularPointsAiming.50.2.ga	_.mt2mo.circularPointsAiming.50.2.ga.33	_.mt2mo.circularPointsAiming.50.2.me.2
8.773e+00	3.360e+00	4.560e+00	4.873e+00	4.777e+00	1.150e+00	1.363e+00	3.730e+00	5.762e+00	2.790e+00	3.467e+00	3.216e+00	4.328e+00	9.348e-01	7.042e-01	2.957e+00	8.702e+00	2.429e+00	4.454e+00	3.745e+00	1.330e+00	1.616e+00	2.069e+00	4.477e+00
9.203e+00	3.370e+00	4.071e+00	3.235e+00	3.796e+00	1.002e+00	8.261e-01	3.427e+00	6.494e+00	2.910e+00	3.389e+00	2.610e+00	2.364e+00	7.545e-01	1.141e+00	2.858e+00	7.599e+00	2.704e+00	3.260e+00	2.190e+00	2.858e+00	1.081e+00	2.053e+00	2.765e+00
9.262e+00	3.533e+00	4.690e+00	3.783e+00	4.602e+00	1.158e+00	5.181e-01	5.641e+00	6.035e+00	2.699e+00	3.015e+00	2.123e+00	3.491e+00	7.713e-01	1.316e+00	1.306e+00	5.836e+00	1.890e+00	3.202e+00	5.874e+00	4.208e+00	1.425e+00	1.255e+00	2.905e+00
8.625e+00	4.480e+00	4.256e+00	5.233e+00	4.157e+00	1.028e+00	1.531e+00	2.910e+00	5.766e+00	2.786e+00	2.621e+00	2.423e+00	3.202e+00	9.528e-01	8.174e-01	2.364e+00	7.150e+00	2.478e+00	8.100e-01	3.791e+00	3.643e+00	9.275e-01	1.517e+00	4.689e+00
9.046e+00	4.658e+00	4.709e+00	3.311e+00	3.862e+00	1.027e+00	1.006e+00	5.104e+00	5.934e+00	2.284e+00	2.991e+00	3.394e+00	1.931e+00	9.655e-01	7.049e-01	1.805e+00	7.157e+00	1.436e+00	4.853e+00	2.860e+00	4.525e+00	1.104e+00	1.542e+00	4.112e+00
9.269e+00	3.595e+00	4.271e+00	3.919e+00	4.265e+00	8.732e-01	9.819e-01	3.587e+00	6.017e+00	2.716e+00	3.563e+00	2.303e+00	3.108e+00	9.584e-01	7.710e-01	2.463e+00	6.700e+00	4.634e+00	3.583e+00	4.143e+00	3.770e+00	1.356e+00	1.318e+00	3.075e+00
8.785e+00	3.593e+00	4.414e+00	4.151e+00	4.087e+00	1.524e+00	1.158e+00	4.171e+00	5.875e+00	2.227e+00	2.666e+00	2.055e+00	4.208e+00	7.245e-01	1.058e+00	3.321e+00	7.540e+00	3.765e+00	4.260e+00	3.162e+00	3.029e+00	8.236e-01	1.420e+00	3.173e+00
8.655e+00	4.228e+00	4.571e+00	4.011e+00	3.696e+00	1.073e+00	8.612e-01	5.669e+00	5.915e+00	2.355e+00	2.325e+00	2.121e+00	2.247e+00	6.250e-01	8.131e-01	1.626e+00	7.061e+00	3.043e+00	4.891e+00	2.792e+00	4.496e+00	1.328e+00	1.417e+00	6.865e+00
8.964e+00	4.303e+00	3.521e+00	4.186e+00	4.539e+00	1.301e+00	1.427e+00	4.280e+00	5.509e+00	2.632e+00	3.746e+00	2.892e+00	2.407e+00	7.544e-01	6.203e-01	3.492e+00	7.672e+00	2.420e+00	3.787e+00	3.557e+00	4.750e+00	1.364e+00	1.325e+00	3.559e+00
8.529e+00	2.992e+00	4.586e+00	4.268e+00	3.467e+00	1.797e+00	1.494e+00	4.732e+00	5.605e+00	1.913e+00	3.003e+00	2.664e+00	3.035e+00	5.957e-01	5.619e-01	2.245e+00	7.084e+00	2.819e+00	1.943e+00	3.546e+00	2.607e+00	1.020e+00	1.860e+00	3.642e+00
9.010e+00	3.205e+00	3.942e+00	4.175e+00	4.496e+00	4.031e-01	1.194e+00	4.538e+00	5.610e+00	3.091e+00	3.237e+00	2.214e+00	3.020e+00	6.922e-01	6.729e-01	2.203e+00	7.363e+00	3.226e+00	5.432e+00	2.751e+00	1.333e+00	1.677e+00	1.761e+00	6.158e+00
8.997e+00	3.653e+00	4.077e+00	3.583e+00	4.546e+00	1.703e+00	1.489e+00	4.831e+00	5.257e+00	2.632e+00	2.951e+00	2.509e+00	3.855e+00	9.439e-01	1.306e+00	2.966e+00	6.835e+00	3.448e+00	4.694e+00	3.246e+00	3.500e+00	1.212e+00	1.466e+00	6.990e+00
8.775e+00	3.360e+00	4.028e+00	3.885e+00	4.599e+00	7.518e-01	1.124e+00	3.525e+00	5.557e+00	2.914e+00	2.510e+00	2.742e+00	3.946e+00	6.418e-01	5.530e-01	1.951e+00	6.636e+00	2.212e+00	2.766e+00	4.750e+00	3.980e+00	1.694e+00	1.605e+00	4.310e+00
9.042e+00	3.789e+00	3.983e+00	3.733e+00	3.553e+00	1.064e+00	1.535e+00	3.982e+00	5.903e+00	2.065e+00	2.755e+00	2.322e+00	2.533e+00	5.105e-01	1.078e+00	3.647e+00	7.979e+00	2.623e+00	4.551e+00	3.386e+00	3.143e+00	1.557e+00	1.897e+00	3.739e+00
9.040e+00	3.582e+00	4.534e+00	3.285e+00	3.976e+00	6.329e-01	1.310e+00	3.868e+00	5.849e+00	2.989e+00	2.700e+00	2.524e+00	2.633e+00	6.833e-01	7.771e-01	1.509e+00	6.344e+00	3.948e+00	3.194e+00	3.453e+00	4.232e+00	1.033e+00	1.585e+00	4.662e+00
