evals.q.250.	_.circularPointsAiming.10.3.ga.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.ga.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.ga.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.ga.33.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.ga.33.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.ga.33.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.pso.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.pso.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.pso.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.de.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.de.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.de.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.me.2.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.me.2.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.me.2.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.e.11.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.cc.11.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.e.21.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.cc.21.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.cc.21.all.each.solution.overall.target.distance.max
0.000e+00	3.350e+00	3.302e+00	3.405e+00	3.350e+00	3.302e+00	3.405e+00	3.350e+00	3.302e+00	3.405e+00	3.506e+00	3.281e+00	3.670e+00	3.357e+00	3.302e+00	3.408e+00	3.338e+00	3.275e+00	3.394e+00	3.394e+00	3.311e+00	3.427e+00	nan	nan	nan	nan	nan	nan
2.500e+02	3.149e+00	2.981e+00	3.208e+00	3.077e+00	2.957e+00	3.168e+00	3.037e+00	2.905e+00	3.192e+00	3.630e+00	3.482e+00	3.821e+00	2.942e+00	2.801e+00	3.076e+00	3.128e+00	3.022e+00	3.205e+00	3.133e+00	2.933e+00	3.266e+00	nan	nan	nan	3.140e+00	3.097e+00	3.204e+00
5.000e+02	3.147e+00	3.073e+00	3.224e+00	3.207e+00	3.109e+00	3.278e+00	3.096e+00	2.939e+00	3.248e+00	3.827e+00	3.710e+00	3.948e+00	2.693e+00	2.620e+00	2.780e+00	2.840e+00	2.719e+00	3.015e+00	2.790e+00	2.634e+00	2.892e+00	3.108e+00	3.085e+00	3.161e+00	nan	nan	nan
7.500e+02	3.243e+00	3.176e+00	3.318e+00	3.283e+00	3.234e+00	3.357e+00	3.065e+00	2.950e+00	3.184e+00	3.883e+00	3.744e+00	3.976e+00	2.499e+00	2.415e+00	2.589e+00	2.601e+00	2.460e+00	2.772e+00	2.487e+00	2.312e+00	2.693e+00	nan	nan	nan	2.985e+00	2.932e+00	3.059e+00
1.000e+03	3.380e+00	3.324e+00	3.412e+00	3.389e+00	3.349e+00	3.429e+00	3.056e+00	2.901e+00	3.225e+00	3.908e+00	3.746e+00	3.980e+00	2.405e+00	2.168e+00	2.482e+00	2.461e+00	2.358e+00	2.601e+00	2.307e+00	2.043e+00	2.586e+00	2.942e+00	2.876e+00	3.026e+00	2.893e+00	2.827e+00	2.944e+00
1.250e+03	3.429e+00	3.405e+00	3.482e+00	3.445e+00	3.411e+00	3.509e+00	3.026e+00	2.889e+00	3.219e+00	3.897e+00	3.749e+00	3.980e+00	2.261e+00	2.121e+00	2.392e+00	2.325e+00	2.162e+00	2.437e+00	2.144e+00	1.820e+00	2.423e+00	2.829e+00	2.752e+00	2.871e+00	2.707e+00	2.641e+00	2.754e+00
1.500e+03	3.488e+00	3.422e+00	3.515e+00	3.493e+00	3.457e+00	3.517e+00	3.044e+00	2.890e+00	3.193e+00	3.899e+00	3.758e+00	3.978e+00	2.162e+00	2.070e+00	2.253e+00	2.174e+00	2.032e+00	2.289e+00	2.130e+00	1.663e+00	2.387e+00	nan	nan	nan	nan	nan	nan
1.750e+03	3.498e+00	3.458e+00	3.517e+00	3.502e+00	3.457e+00	3.527e+00	3.112e+00	2.955e+00	3.200e+00	3.900e+00	3.760e+00	3.980e+00	2.053e+00	1.892e+00	2.223e+00	2.054e+00	1.859e+00	2.207e+00	2.236e+00	1.529e+00	2.393e+00	2.696e+00	2.614e+00	2.755e+00	2.604e+00	2.494e+00	2.694e+00
2.000e+03	3.495e+00	3.477e+00	3.534e+00	3.511e+00	3.477e+00	3.554e+00	3.079e+00	2.933e+00	3.200e+00	3.900e+00	3.762e+00	3.981e+00	1.990e+00	1.798e+00	2.132e+00	1.944e+00	1.801e+00	2.146e+00	2.153e+00	1.447e+00	2.326e+00	nan	nan	nan	2.481e+00	2.352e+00	2.576e+00
2.250e+03	3.520e+00	3.484e+00	3.544e+00	3.534e+00	3.485e+00	3.559e+00	3.146e+00	2.979e+00	3.263e+00	3.902e+00	3.763e+00	3.981e+00	1.936e+00	1.703e+00	2.056e+00	1.863e+00	1.649e+00	2.043e+00	2.152e+00	1.435e+00	2.329e+00	2.580e+00	2.505e+00	2.644e+00	2.395e+00	2.276e+00	2.466e+00
