_.mt.100.3.cabea.cc.11	_.mt.100.3.cabea.e.21	_.mt.100.3.cabea.e.11	_.mt.100.3.cabea.cc.21	_.mt.100.3.ga	_.mt.100.3.ga.33	_.mt.100.3.me.2
0.000e+00	3.800e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.200e-01
0.000e+00	3.800e-01	1.000e-02	3.100e-01	0.000e+00	0.000e+00	2.400e-01
0.000e+00	4.000e-01	0.000e+00	2.900e-01	0.000e+00	0.000e+00	2.200e-01
0.000e+00	3.800e-01	0.000e+00	3.100e-01	0.000e+00	0.000e+00	2.300e-01
0.000e+00	3.300e-01	0.000e+00	3.000e-01	0.000e+00	0.000e+00	1.900e-01
0.000e+00	3.700e-01	0.000e+00	2.200e-01	0.000e+00	0.000e+00	2.200e-01
0.000e+00	3.400e-01	0.000e+00	2.700e-01	0.000e+00	0.000e+00	2.300e-01
0.000e+00	3.800e-01	1.000e-02	2.600e-01	0.000e+00	0.000e+00	2.000e-01
0.000e+00	3.700e-01	0.000e+00	3.000e-01	0.000e+00	0.000e+00	2.300e-01
0.000e+00	4.000e-01	0.000e+00	3.100e-01	0.000e+00	0.000e+00	1.700e-01
0.000e+00	3.700e-01	0.000e+00	2.700e-01	0.000e+00	0.000e+00	2.400e-01
0.000e+00	3.900e-01	0.000e+00	3.100e-01	0.000e+00	0.000e+00	2.500e-01
0.000e+00	3.700e-01	0.000e+00	3.000e-01	0.000e+00	0.000e+00	2.300e-01
0.000e+00	4.000e-01	0.000e+00	2.300e-01	0.000e+00	0.000e+00	2.000e-01
0.000e+00	3.400e-01	0.000e+00	2.800e-01	0.000e+00	0.000e+00	2.000e-01
0.000e+00	3.800e-01	0.000e+00	2.700e-01	0.000e+00	0.000e+00	2.200e-01
0.000e+00	3.900e-01	1.000e-02	2.900e-01	0.000e+00	0.000e+00	2.300e-01
0.000e+00	3.700e-01	3.000e-02	3.200e-01	0.000e+00	0.000e+00	2.100e-01
0.000e+00	3.800e-01	0.000e+00	3.200e-01	0.000e+00	0.000e+00	2.200e-01
0.000e+00	4.100e-01	0.000e+00	3.100e-01	0.000e+00	0.000e+00	2.200e-01
0.000e+00	3.900e-01	0.000e+00	3.100e-01	0.000e+00	0.000e+00	1.700e-01
0.000e+00	3.700e-01	0.000e+00	3.000e-01	0.000e+00	0.000e+00	1.900e-01
0.000e+00	3.700e-01	0.000e+00	2.700e-01	0.000e+00	0.000e+00	2.100e-01
0.000e+00	3.600e-01	0.000e+00	3.100e-01	0.000e+00	0.000e+00	2.000e-01
0.000e+00	3.900e-01	0.000e+00	2.700e-01	0.000e+00	0.000e+00	2.400e-01
0.000e+00	4.000e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.400e-01
0.000e+00	4.100e-01	0.000e+00	3.200e-01	0.000e+00	0.000e+00	2.200e-01
0.000e+00	3.600e-01	1.000e-02	3.100e-01	0.000e+00	0.000e+00	2.300e-01
0.000e+00	4.100e-01	0.000e+00	3.100e-01	0.000e+00	0.000e+00	2.400e-01
0.000e+00	4.200e-01	0.000e+00	2.800e-01	0.000e+00	0.000e+00	2.400e-01
