evals.q.250.	_.mt.25.3.ga.best.fitness	_.mt.25.3.ga.best.fitness.min	_.mt.25.3.ga.best.fitness.max	_.mt.25.3.ga.33.best.fitness	_.mt.25.3.ga.33.best.fitness.min	_.mt.25.3.ga.33.best.fitness.max	_.mt.25.3.me.2.best.fitness	_.mt.25.3.me.2.best.fitness.min	_.mt.25.3.me.2.best.fitness.max	_.mt.25.3.cabea.e.11.best.fitness	_.mt.25.3.cabea.e.11.best.fitness.min	_.mt.25.3.cabea.e.11.best.fitness.max	_.mt.25.3.cabea.cc.11.best.fitness	_.mt.25.3.cabea.cc.11.best.fitness.min	_.mt.25.3.cabea.cc.11.best.fitness.max	_.mt.25.3.cabea.e.21.best.fitness	_.mt.25.3.cabea.e.21.best.fitness.min	_.mt.25.3.cabea.e.21.best.fitness.max	_.mt.25.3.cabea.cc.21.best.fitness	_.mt.25.3.cabea.cc.21.best.fitness.min	_.mt.25.3.cabea.cc.21.best.fitness.max
0.000e+00	7.200e-01	6.800e-01	7.200e-01	7.200e-01	6.800e-01	7.200e-01	7.200e-01	6.800e-01	7.200e-01	7.200e-01	6.800e-01	7.200e-01	7.200e-01	6.800e-01	7.200e-01	nan	nan	nan	nan	nan	nan
2.500e+02	6.400e-01	6.000e-01	6.800e-01	6.800e-01	6.000e-01	6.800e-01	6.800e-01	6.400e-01	7.200e-01	6.800e-01	6.800e-01	7.200e-01	6.800e-01	6.800e-01	7.200e-01	nan	nan	nan	6.800e-01	6.400e-01	6.800e-01
5.000e+02	4.800e-01	4.400e-01	5.200e-01	5.600e-01	5.200e-01	5.600e-01	6.400e-01	6.400e-01	6.800e-01	6.800e-01	6.400e-01	6.800e-01	6.800e-01	6.400e-01	6.800e-01	6.800e-01	6.400e-01	6.800e-01	nan	nan	nan
7.500e+02	3.600e-01	3.200e-01	4.000e-01	4.400e-01	4.000e-01	4.800e-01	6.400e-01	6.000e-01	6.400e-01	6.400e-01	6.000e-01	6.800e-01	6.400e-01	6.000e-01	6.400e-01	nan	nan	nan	6.800e-01	6.400e-01	6.800e-01
1.000e+03	2.400e-01	2.000e-01	3.200e-01	3.600e-01	3.200e-01	4.000e-01	6.000e-01	6.000e-01	6.400e-01	6.400e-01	6.000e-01	6.400e-01	6.000e-01	5.600e-01	6.000e-01	6.800e-01	6.400e-01	6.800e-01	6.400e-01	6.400e-01	6.800e-01
1.250e+03	1.600e-01	1.200e-01	2.400e-01	2.800e-01	2.400e-01	3.200e-01	6.000e-01	5.600e-01	6.000e-01	6.000e-01	5.600e-01	6.400e-01	5.600e-01	5.600e-01	6.000e-01	6.400e-01	6.400e-01	6.800e-01	6.400e-01	6.000e-01	6.800e-01
1.500e+03	1.200e-01	8.000e-02	1.600e-01	2.000e-01	2.000e-01	2.400e-01	5.600e-01	5.600e-01	6.000e-01	6.000e-01	5.600e-01	6.000e-01	5.600e-01	5.200e-01	5.600e-01	nan	nan	nan	nan	nan	nan
1.750e+03	4.000e-02	4.000e-02	8.000e-02	1.600e-01	1.200e-01	2.000e-01	5.600e-01	5.200e-01	6.000e-01	5.600e-01	5.200e-01	6.000e-01	5.200e-01	4.800e-01	5.200e-01	6.400e-01	6.400e-01	6.800e-01	6.400e-01	6.000e-01	6.400e-01
2.000e+03	4.000e-02	0.000e+00	4.000e-02	1.200e-01	8.000e-02	1.600e-01	5.600e-01	5.200e-01	5.600e-01	5.600e-01	5.200e-01	6.000e-01	4.800e-01	4.400e-01	5.200e-01	nan	nan	nan	6.400e-01	6.000e-01	6.400e-01
2.250e+03	0.000e+00	0.000e+00	4.000e-02	8.000e-02	4.000e-02	1.200e-01	5.200e-01	5.200e-01	5.600e-01	5.200e-01	5.200e-01	5.600e-01	4.400e-01	4.400e-01	4.800e-01	6.400e-01	6.000e-01	6.400e-01	6.000e-01	6.000e-01	6.400e-01
2.500e+03	0.000e+00	0.000e+00	0.000e+00	4.000e-02	4.000e-02	8.000e-02	5.200e-01	5.200e-01	5.600e-01	5.200e-01	4.800e-01	5.600e-01	4.400e-01	4.000e-01	4.800e-01	nan	nan	nan	nan	nan	nan
2.750e+03	0.000e+00	0.000e+00	0.000e+00	4.000e-02	0.000e+00	4.000e-02	5.200e-01	4.800e-01	5.200e-01	4.800e-01	4.400e-01	5.200e-01	4.000e-01	3.600e-01	4.400e-01	6.400e-01	6.000e-01	6.400e-01	6.000e-01	5.600e-01	6.400e-01
3.000e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e-02	4.800e-01	4.800e-01	5.200e-01	4.800e-01	4.400e-01	5.200e-01	3.600e-01	3.600e-01	4.000e-01	6.000e-01	6.000e-01	6.400e-01	6.000e-01	5.600e-01	6.000e-01
3.250e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.800e-01	4.400e-01	5.200e-01	4.800e-01	4.400e-01	4.800e-01	3.600e-01	3.200e-01	4.000e-01	nan	nan	nan	6.000e-01	5.600e-01	6.000e-01
3.500e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.800e-01	4.400e-01	5.200e-01	4.400e-01	4.000e-01	4.800e-01	3.600e-01	3.200e-01	3.600e-01	6.000e-01	6.000e-01	6.400e-01	5.600e-01	5.600e-01	6.000e-01
3.750e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.800e-01	4.400e-01	5.200e-01	4.400e-01	4.000e-01	4.400e-01	3.200e-01	2.800e-01	3.600e-01	nan	nan	nan	nan	nan	nan
4.000e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.800e-01	4.400e-01	4.800e-01	4.000e-01	4.000e-01	4.400e-01	2.800e-01	2.800e-01	3.200e-01	6.000e-01	5.600e-01	6.000e-01	5.600e-01	5.600e-01	6.000e-01
4.250e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.000e-01	4.800e-01	4.000e-01	3.600e-01	4.400e-01	2.800e-01	2.400e-01	3.200e-01	nan	nan	nan	5.600e-01	5.200e-01	5.600e-01
4.500e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.000e-01	4.800e-01	4.000e-01	3.600e-01	4.000e-01	2.400e-01	2.400e-01	2.800e-01	6.000e-01	5.600e-01	6.000e-01	5.600e-01	5.200e-01	5.600e-01
4.750e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.000e-01	4.800e-01	3.600e-01	3.600e-01	4.000e-01	2.400e-01	2.000e-01	2.800e-01	5.600e-01	5.600e-01	6.000e-01	nan	nan	nan
5.000e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.000e-01	4.800e-01	3.600e-01	3.600e-01	3.600e-01	2.400e-01	2.000e-01	2.800e-01	nan	nan	nan	5.600e-01	5.200e-01	5.600e-01
5.250e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.000e-01	4.800e-01	3.600e-01	3.200e-01	3.600e-01	2.000e-01	1.600e-01	2.400e-01	5.600e-01	5.200e-01	6.000e-01	5.200e-01	5.200e-01	5.600e-01
5.500e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.000e-01	4.400e-01	3.600e-01	3.200e-01	3.600e-01	2.000e-01	1.600e-01	2.400e-01	nan	nan	nan	5.200e-01	4.800e-01	5.600e-01
5.750e+03	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.000e-01	4.400e-01	3.200e-01	2.800e-01	3.600e-01	2.000e-01	1.200e-01	2.000e-01	5.600e-01	5.200e-01	5.600e-01	nan	nan	nan
