evals.q.250.	_.mt.100.3.ga.all.each.solution.overall.target.distance	_.mt.100.3.ga.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.all.each.solution.overall.target.distance.max	_.mt.100.3.ga.33.all.each.solution.overall.target.distance	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.max	_.mt.100.3.me.2.all.each.solution.overall.target.distance	_.mt.100.3.me.2.all.each.solution.overall.target.distance.min	_.mt.100.3.me.2.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.max
4.250e+03	5.200e-01	5.100e-01	5.400e-01	5.933e-01	5.867e-01	6.067e-01	6.867e-01	6.733e-01	7.067e-01	7.000e-01	6.867e-01	7.067e-01	6.467e-01	6.367e-01	6.567e-01	nan	nan	nan	7.633e-01	7.533e-01	7.667e-01
4.500e+03	5.167e-01	5.067e-01	5.333e-01	5.833e-01	5.733e-01	6.000e-01	6.833e-01	6.667e-01	7.000e-01	6.933e-01	6.767e-01	7.000e-01	6.367e-01	6.233e-01	6.533e-01	7.667e-01	7.633e-01	7.733e-01	7.600e-01	7.533e-01	7.633e-01
4.750e+03	5.100e-01	5.000e-01	5.267e-01	5.767e-01	5.667e-01	5.900e-01	6.800e-01	6.633e-01	6.967e-01	6.867e-01	6.700e-01	6.967e-01	6.267e-01	6.133e-01	6.400e-01	7.633e-01	7.600e-01	7.667e-01	nan	nan	nan
5.000e+03	5.033e-01	4.933e-01	5.133e-01	5.667e-01	5.567e-01	5.767e-01	6.733e-01	6.567e-01	6.900e-01	6.800e-01	6.667e-01	6.900e-01	6.200e-01	6.067e-01	6.300e-01	nan	nan	nan	7.567e-01	7.500e-01	7.600e-01
5.250e+03	4.967e-01	4.900e-01	5.067e-01	5.600e-01	5.500e-01	5.700e-01	6.700e-01	6.533e-01	6.867e-01	6.733e-01	6.633e-01	6.833e-01	6.133e-01	5.967e-01	6.200e-01	7.600e-01	7.567e-01	7.633e-01	7.533e-01	7.467e-01	7.567e-01
5.500e+03	4.900e-01	4.800e-01	5.000e-01	5.533e-01	5.433e-01	5.600e-01	6.667e-01	6.467e-01	6.867e-01	6.667e-01	6.567e-01	6.800e-01	6.033e-01	5.900e-01	6.133e-01	nan	nan	nan	7.467e-01	7.433e-01	7.533e-01
5.750e+03	4.833e-01	4.767e-01	4.933e-01	5.467e-01	5.367e-01	5.533e-01	6.633e-01	6.367e-01	6.800e-01	6.600e-01	6.500e-01	6.733e-01	5.933e-01	5.800e-01	6.067e-01	7.567e-01	7.533e-01	7.600e-01	nan	nan	nan
6.000e+03	4.800e-01	4.733e-01	4.867e-01	5.400e-01	5.267e-01	5.467e-01	6.567e-01	6.333e-01	6.767e-01	6.533e-01	6.433e-01	6.667e-01	5.867e-01	5.700e-01	6.000e-01	nan	nan	nan	7.433e-01	7.367e-01	7.533e-01
6.250e+03	4.733e-01	4.700e-01	4.833e-01	5.333e-01	5.233e-01	5.400e-01	6.500e-01	6.233e-01	6.700e-01	6.500e-01	6.367e-01	6.600e-01	5.767e-01	5.600e-01	5.867e-01	7.533e-01	7.500e-01	7.600e-01	7.400e-01	7.333e-01	7.467e-01
6.500e+03	4.700e-01	4.667e-01	4.800e-01	5.267e-01	5.167e-01	5.367e-01	6.500e-01	6.200e-01	6.667e-01	6.367e-01	6.300e-01	6.533e-01	5.700e-01	5.500e-01	5.767e-01	7.500e-01	7.433e-01	7.567e-01	7.367e-01	7.300e-01	7.400e-01
6.750e+03	4.667e-01	4.633e-01	4.733e-01	5.233e-01	5.133e-01	5.300e-01	6.433e-01	6.167e-01	6.633e-01	6.300e-01	6.233e-01	6.433e-01	5.600e-01	5.400e-01	5.733e-01	nan	nan	nan	nan	nan	nan
7.000e+03	4.667e-01	4.567e-01	4.700e-01	5.167e-01	5.033e-01	5.267e-01	6.367e-01	6.133e-01	6.567e-01	6.233e-01	6.167e-01	6.333e-01	5.567e-01	5.367e-01	5.667e-01	7.500e-01	7.400e-01	7.533e-01	7.333e-01	7.267e-01	7.400e-01
7.250e+03	4.633e-01	4.533e-01	4.700e-01	5.100e-01	4.967e-01	5.167e-01	6.333e-01	6.067e-01	6.533e-01	6.167e-01	6.067e-01	6.267e-01	5.467e-01	5.233e-01	5.633e-01	nan	nan	nan	7.300e-01	7.233e-01	7.367e-01
7.500e+03	4.600e-01	4.500e-01	4.667e-01	5.000e-01	4.933e-01	5.100e-01	6.267e-01	6.000e-01	6.500e-01	6.100e-01	6.000e-01	6.167e-01	5.367e-01	5.200e-01	5.533e-01	7.433e-01	7.367e-01	7.500e-01	7.267e-01	7.233e-01	7.333e-01
7.750e+03	4.567e-01	4.467e-01	4.633e-01	4.967e-01	4.900e-01	5.067e-01	6.233e-01	5.967e-01	6.467e-01	6.033e-01	5.933e-01	6.100e-01	5.333e-01	5.067e-01	5.500e-01	nan	nan	nan	nan	nan	nan
8.000e+03	4.500e-01	4.467e-01	4.600e-01	4.933e-01	4.800e-01	5.000e-01	6.200e-01	5.933e-01	6.433e-01	5.967e-01	5.900e-01	6.100e-01	5.200e-01	4.900e-01	5.467e-01	7.400e-01	7.367e-01	7.467e-01	7.233e-01	7.167e-01	7.300e-01
8.250e+03	4.500e-01	4.467e-01	4.533e-01	4.867e-01	4.733e-01	4.967e-01	6.167e-01	5.900e-01	6.400e-01	5.933e-01	5.800e-01	6.033e-01	5.100e-01	4.867e-01	5.367e-01	nan	nan	nan	7.233e-01	7.133e-01	7.267e-01
8.500e+03	4.467e-01	4.467e-01	4.533e-01	4.833e-01	4.700e-01	4.900e-01	6.133e-01	5.867e-01	6.333e-01	5.867e-01	5.733e-01	6.033e-01	5.033e-01	4.767e-01	5.300e-01	7.367e-01	7.333e-01	7.433e-01	7.167e-01	7.100e-01	7.233e-01
8.750e+03	4.467e-01	4.433e-01	4.533e-01	4.767e-01	4.700e-01	4.833e-01	6.067e-01	5.833e-01	6.333e-01	5.833e-01	5.667e-01	6.000e-01	4.967e-01	4.700e-01	5.300e-01	7.367e-01	7.300e-01	7.400e-01	nan	nan	nan
9.000e+03	4.467e-01	4.433e-01	4.500e-01	4.733e-01	4.667e-01	4.800e-01	6.033e-01	5.733e-01	6.267e-01	5.767e-01	5.633e-01	5.867e-01	4.900e-01	4.633e-01	5.200e-01	nan	nan	nan	7.133e-01	7.067e-01	7.167e-01
9.250e+03	4.467e-01	4.400e-01	4.467e-01	4.700e-01	4.633e-01	4.767e-01	6.000e-01	5.733e-01	6.233e-01	5.667e-01	5.533e-01	5.867e-01	4.867e-01	4.533e-01	5.100e-01	7.333e-01	7.200e-01	7.367e-01	7.100e-01	7.000e-01	7.133e-01
9.500e+03	4.467e-01	4.400e-01	4.500e-01	4.667e-01	4.600e-01	4.733e-01	5.967e-01	5.667e-01	6.167e-01	5.600e-01	5.467e-01	5.800e-01	4.733e-01	4.467e-01	5.033e-01	nan	nan	nan	7.067e-01	6.967e-01	7.100e-01
9.750e+03	4.467e-01	4.400e-01	4.500e-01	4.633e-01	4.567e-01	4.700e-01	5.933e-01	5.667e-01	6.133e-01	5.600e-01	5.400e-01	5.733e-01	4.733e-01	4.400e-01	4.967e-01	7.267e-01	7.200e-01	7.333e-01	7.033e-01	6.933e-01	7.100e-01
1.000e+04	4.467e-01	4.400e-01	4.467e-01	4.600e-01	4.533e-01	4.667e-01	5.900e-01	5.633e-01	6.133e-01	5.467e-01	5.333e-01	5.700e-01	4.733e-01	4.333e-01	4.933e-01	nan	nan	nan	nan	nan	nan
1.025e+04	4.433e-01	4.400e-01	4.467e-01	4.567e-01	4.533e-01	4.667e-01	5.833e-01	5.600e-01	6.100e-01	5.433e-01	5.267e-01	5.567e-01	4.600e-01	4.300e-01	4.900e-01	7.233e-01	7.167e-01	7.267e-01	7.000e-01	6.900e-01	7.067e-01
1.050e+04	4.400e-01	4.400e-01	4.467e-01	4.567e-01	4.500e-01	4.633e-01	5.767e-01	5.567e-01	6.067e-01	5.400e-01	5.233e-01	5.500e-01	4.533e-01	4.200e-01	4.833e-01	7.200e-01	7.133e-01	7.233e-01	6.967e-01	6.867e-01	7.033e-01
1.075e+04	4.400e-01	4.400e-01	4.467e-01	4.533e-01	4.467e-01	4.600e-01	5.733e-01	5.567e-01	6.067e-01	5.333e-01	5.233e-01	5.467e-01	4.433e-01	4.133e-01	4.733e-01	nan	nan	nan	6.900e-01	6.833e-01	7.000e-01
1.100e+04	4.400e-01	4.400e-01	4.433e-01	4.500e-01	4.433e-01	4.567e-01	5.733e-01	5.533e-01	6.067e-01	5.233e-01	5.167e-01	5.433e-01	4.367e-01	4.067e-01	4.700e-01	7.167e-01	7.067e-01	7.200e-01	nan	nan	nan
1.125e+04	4.400e-01	4.400e-01	4.433e-01	4.467e-01	4.433e-01	4.533e-01	5.667e-01	5.500e-01	6.000e-01	5.167e-01	5.067e-01	5.367e-01	4.333e-01	4.000e-01	4.633e-01	nan	nan	nan	6.900e-01	6.800e-01	6.967e-01
1.150e+04	4.400e-01	4.400e-01	4.433e-01	4.467e-01	4.400e-01	4.500e-01	5.633e-01	5.467e-01	5.967e-01	5.100e-01	5.000e-01	5.333e-01	4.233e-01	3.967e-01	4.567e-01	7.133e-01	7.033e-01	7.167e-01	6.867e-01	6.800e-01	6.933e-01
