_.circularPointsAiming.50.3.de	_.circularPointsAiming.50.3.cabea.cc.11	_.circularPointsAiming.50.3.cabea.e.21	_.circularPointsAiming.50.3.cabea.e.11	_.circularPointsAiming.50.3.cabea.cc.21	_.circularPointsAiming.50.3.ga	_.circularPointsAiming.50.3.ga.33	_.circularPointsAiming.50.3.pso	_.circularPointsAiming.50.3.me.2
4.283e+00	4.278e+00	4.420e+00	4.203e+00	4.428e+00	4.178e+00	4.221e+00	5.135e+00	5.188e+00
4.629e+00	4.387e+00	4.379e+00	4.326e+00	4.239e+00	4.169e+00	4.347e+00	5.047e+00	5.180e+00
4.521e+00	4.255e+00	4.363e+00	4.207e+00	4.510e+00	4.145e+00	4.195e+00	5.056e+00	5.336e+00
4.424e+00	4.473e+00	4.464e+00	4.275e+00	4.313e+00	4.244e+00	4.121e+00	4.981e+00	5.048e+00
4.661e+00	4.331e+00	4.333e+00	4.242e+00	4.358e+00	4.083e+00	4.092e+00	4.753e+00	5.584e+00
4.234e+00	4.370e+00	4.410e+00	4.302e+00	4.313e+00	4.203e+00	4.224e+00	4.900e+00	5.440e+00
4.409e+00	4.244e+00	4.465e+00	4.269e+00	4.435e+00	4.210e+00	4.260e+00	4.775e+00	4.996e+00
5.143e+00	4.364e+00	4.492e+00	4.294e+00	4.342e+00	4.345e+00	4.378e+00	5.086e+00	4.982e+00
4.174e+00	4.312e+00	4.403e+00	4.245e+00	4.431e+00	4.164e+00	4.138e+00	4.833e+00	5.175e+00
4.415e+00	4.350e+00	4.605e+00	4.245e+00	4.217e+00	4.243e+00	4.125e+00	4.855e+00	5.102e+00
4.477e+00	4.334e+00	4.373e+00	4.140e+00	4.331e+00	4.098e+00	4.193e+00	5.001e+00	4.938e+00
4.673e+00	4.471e+00	4.361e+00	4.385e+00	4.390e+00	4.157e+00	4.268e+00	5.095e+00	5.319e+00
4.395e+00	4.293e+00	4.374e+00	4.330e+00	4.301e+00	4.166e+00	4.292e+00	5.059e+00	5.199e+00
4.386e+00	4.127e+00	4.262e+00	4.213e+00	4.297e+00	4.269e+00	4.205e+00	4.718e+00	4.837e+00
4.678e+00	4.321e+00	4.486e+00	4.299e+00	4.467e+00	4.249e+00	4.279e+00	5.217e+00	5.560e+00
4.199e+00	4.362e+00	4.310e+00	4.279e+00	4.402e+00	4.269e+00	4.286e+00	4.963e+00	5.484e+00
4.551e+00	4.248e+00	4.573e+00	4.315e+00	4.204e+00	4.161e+00	4.062e+00	5.522e+00	5.032e+00
4.265e+00	4.209e+00	4.335e+00	4.119e+00	4.302e+00	4.272e+00	4.220e+00	4.620e+00	5.074e+00
4.389e+00	4.261e+00	4.324e+00	4.281e+00	4.468e+00	4.216e+00	4.209e+00	5.571e+00	5.566e+00
4.292e+00	4.362e+00	4.256e+00	4.225e+00	4.247e+00	4.267e+00	4.260e+00	5.064e+00	5.060e+00
4.368e+00	4.232e+00	4.594e+00	4.267e+00	4.341e+00	4.193e+00	4.385e+00	5.207e+00	5.071e+00
4.528e+00	4.276e+00	4.324e+00	4.334e+00	4.459e+00	4.218e+00	4.196e+00	4.971e+00	5.400e+00
4.148e+00	4.313e+00	4.532e+00	4.321e+00	4.291e+00	4.087e+00	4.212e+00	4.924e+00	5.392e+00
4.508e+00	4.483e+00	4.507e+00	4.217e+00	4.349e+00	4.233e+00	4.268e+00	4.796e+00	5.405e+00
4.483e+00	4.446e+00	4.388e+00	4.240e+00	4.270e+00	4.176e+00	4.264e+00	5.079e+00	5.405e+00
4.431e+00	4.267e+00	4.504e+00	4.323e+00	4.353e+00	4.161e+00	4.331e+00	5.068e+00	5.096e+00
4.572e+00	4.344e+00	4.391e+00	4.418e+00	4.236e+00	4.181e+00	4.215e+00	5.012e+00	5.408e+00
4.663e+00	4.389e+00	4.418e+00	4.360e+00	4.515e+00	4.234e+00	4.286e+00	5.337e+00	5.293e+00
4.421e+00	4.423e+00	4.439e+00	4.356e+00	4.390e+00	4.134e+00	4.175e+00	4.880e+00	4.974e+00
4.671e+00	4.344e+00	4.427e+00	4.296e+00	4.282e+00	4.206e+00	4.244e+00	4.692e+00	5.209e+00
