evals.q.250.	_.mt.250.3.ga.all.each.solution.overall.target.distance	_.mt.250.3.ga.all.each.solution.overall.target.distance.min	_.mt.250.3.ga.all.each.solution.overall.target.distance.max	_.mt.250.3.ga.33.all.each.solution.overall.target.distance	_.mt.250.3.ga.33.all.each.solution.overall.target.distance.min	_.mt.250.3.ga.33.all.each.solution.overall.target.distance.max	_.mt.250.3.me.2.all.each.solution.overall.target.distance	_.mt.250.3.me.2.all.each.solution.overall.target.distance.min	_.mt.250.3.me.2.all.each.solution.overall.target.distance.max	_.mt.250.3.cabea.e.11.all.each.solution.overall.target.distance	_.mt.250.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.mt.250.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.mt.250.3.cabea.cc.11.all.each.solution.overall.target.distance	_.mt.250.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.mt.250.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.mt.250.3.cabea.e.21.all.each.solution.overall.target.distance	_.mt.250.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.mt.250.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.mt.250.3.cabea.cc.21.all.each.solution.overall.target.distance	_.mt.250.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.mt.250.3.cabea.cc.21.all.each.solution.overall.target.distance.max
0.000e+00	8.507e-01	8.480e-01	8.547e-01	8.507e-01	8.480e-01	8.547e-01	8.533e-01	8.480e-01	8.560e-01	8.493e-01	8.453e-01	8.520e-01	8.520e-01	8.493e-01	8.573e-01	nan	nan	nan	nan	nan	nan
2.500e+02	8.320e-01	8.267e-01	8.373e-01	8.373e-01	8.320e-01	8.440e-01	8.493e-01	8.453e-01	8.533e-01	8.453e-01	8.413e-01	8.480e-01	8.480e-01	8.453e-01	8.520e-01	nan	nan	nan	8.400e-01	8.360e-01	8.453e-01
5.000e+02	8.080e-01	7.987e-01	8.147e-01	8.240e-01	8.147e-01	8.320e-01	8.440e-01	8.400e-01	8.493e-01	8.427e-01	8.373e-01	8.453e-01	8.427e-01	8.387e-01	8.453e-01	8.400e-01	8.347e-01	8.440e-01	nan	nan	nan
7.500e+02	7.907e-01	7.800e-01	7.973e-01	8.173e-01	8.067e-01	8.240e-01	8.400e-01	8.347e-01	8.453e-01	8.360e-01	8.333e-01	8.400e-01	8.347e-01	8.320e-01	8.400e-01	nan	nan	nan	8.387e-01	8.347e-01	8.427e-01
1.000e+03	7.760e-01	7.653e-01	7.867e-01	8.107e-01	8.013e-01	8.200e-01	8.333e-01	8.293e-01	8.427e-01	8.333e-01	8.293e-01	8.373e-01	8.293e-01	8.267e-01	8.333e-01	8.360e-01	8.320e-01	8.413e-01	8.373e-01	8.333e-01	8.413e-01
1.250e+03	7.600e-01	7.507e-01	7.747e-01	8.040e-01	7.947e-01	8.133e-01	8.280e-01	8.227e-01	8.400e-01	8.307e-01	8.227e-01	8.347e-01	8.227e-01	8.187e-01	8.267e-01	8.360e-01	8.320e-01	8.387e-01	8.347e-01	8.320e-01	8.373e-01
1.500e+03	7.467e-01	7.360e-01	7.613e-01	7.960e-01	7.867e-01	8.053e-01	8.240e-01	8.160e-01	8.347e-01	8.253e-01	8.213e-01	8.293e-01	8.173e-01	8.120e-01	8.213e-01	nan	nan	nan	nan	nan	nan
1.750e+03	7.320e-01	7.227e-01	7.480e-01	7.893e-01	7.800e-01	8.000e-01	8.187e-01	8.120e-01	8.320e-01	8.227e-01	8.187e-01	8.253e-01	8.093e-01	8.040e-01	8.147e-01	8.333e-01	8.307e-01	8.360e-01	8.320e-01	8.293e-01	8.373e-01
2.000e+03	7.200e-01	7.120e-01	7.373e-01	7.840e-01	7.747e-01	7.947e-01	8.133e-01	8.067e-01	8.253e-01	8.173e-01	8.133e-01	8.213e-01	8.040e-01	7.973e-01	8.093e-01	nan	nan	nan	8.307e-01	8.293e-01	8.347e-01
2.250e+03	7.093e-01	7.000e-01	7.293e-01	7.760e-01	7.680e-01	7.893e-01	8.093e-01	8.027e-01	8.187e-01	8.133e-01	8.093e-01	8.173e-01	7.987e-01	7.920e-01	8.040e-01	8.307e-01	8.280e-01	8.347e-01	8.307e-01	8.267e-01	8.347e-01
